(-16, 120, -543), [10, 3, 3], 3.13.aq_eq_aux 
(-16, 121, -550), [10, 4, 9], 3.13.aq_er_ave 
(-16, 122, -555), [10, 5, 4], 3.13.aq_es_avj 
(-15, 107, -475), [11, 3, 6], 3.13.ap_ed_ash 
(-15, 107, -473), [11, 3, 8], 3.13.ap_ed_asf 
(-15, 108, -482), [11, 4, 12], 3.13.ap_ee_aso 
(-15, 109, -489), [11, 5, 5], 3.13.ap_ef_asv 
(-15, 109, -487), [11, 5, 7], 3.13.ap_ef_ast 
(-15, 110, -496), [11, 6, 11], 3.13.ap_eg_atc 
(-15, 110, -493), [11, 6, 1], 3.13.ap_eg_asz 
(-15, 111, -501), [11, 7, 6], 3.13.ap_eh_ath 
(-15, 111, -499), [11, 7, 8], 3.13.ap_eh_atf 
(-14, 92, -393), [12, 1, 10], 3.13.ao_do_apd 
(-14, 94, -407), [12, 3, 9], 3.13.ao_dq_apr 
(-14, 94, -405), [12, 3, 11], 3.13.ao_dq_app 
(-14, 95, -414), [12, 4, 2], 3.13.ao_dr_apy 
(-14, 96, -421), [12, 5, 8], 3.13.ao_ds_aqf 
(-14, 96, -419), [12, 5, 10], 3.13.ao_ds_aqd 
(-14, 97, -426), [12, 6, 3], 3.13.ao_dt_aqk 
(-14, 97, -425), [12, 6, 4], 3.13.ao_dt_aqj 
(-14, 98, -436), [12, 7, 6], 3.13.ao_du_aqu 
(-14, 98, -435), [12, 7, 7], 3.13.ao_du_aqt 
(-14, 98, -433), [12, 7, 9], 3.13.ao_du_aqr 
(-14, 98, -432), [12, 7, 10], 3.13.ao_du_aqq 
(-14, 98, -431), [12, 7, 11], 3.13.ao_du_aqp 
(-14, 99, -443), [12, 8, 12], 3.13.ao_dv_arb 
(-14, 99, -438), [12, 8, 4], 3.13.ao_dv_aqw 
(-14, 99, -437), [12, 8, 5], 3.13.ao_dv_aqv 
(-14, 100, -447), [12, 9, 8], 3.13.ao_dw_arf 
(-14, 100, -445), [12, 9, 10], 3.13.ao_dw_ard 
(-14, 100, -443), [12, 9, 12], 3.13.ao_dw_arb 
(-14, 101, -450), [12, 10, 5], 3.13.ao_dx_ari 
(-13, 78, -318), [0, 0, 7], 3.13.an_da_amg 
(-13, 80, -330), [0, 2, 8], 3.13.an_dc_ams 
(-13, 82, -347), [0, 4, 4], 3.13.an_de_anj 
(-13, 82, -346), [0, 4, 5], 3.13.an_de_ani 
(-13, 82, -343), [0, 4, 8], 3.13.an_de_anf 
(-13, 83, -354), [0, 5, 10], 3.13.an_df_anq 
(-13, 84, -361), [0, 6, 3], 3.13.an_dg_anx 
(-13, 84, -358), [0, 6, 6], 3.13.an_dg_anu 
(-13, 84, -357), [0, 6, 7], 3.13.an_dg_ant 
(-13, 85, -367), [0, 7, 10], 3.13.an_dh_aod 
(-13, 85, -365), [0, 7, 12], 3.13.an_dh_aob 
(-13, 86, -375), [0, 8, 2], 3.13.an_di_aol 
(-13, 86, -371), [0, 8, 6], 3.13.an_di_aoh 
(-13, 86, -369), [0, 8, 8], 3.13.an_di_aof 
(-13, 87, -383), [0, 9, 7], 3.13.an_dj_aot 
(-13, 87, -381), [0, 9, 9], 3.13.an_dj_aor 
