(-19, 166, -847), [1, 2, 1], 3.16.at_gk_abgp 
(-18, 149, -743), [2, 1, 1], 3.16.as_ft_abcp 
(-18, 151, -759), [2, 3, 1], 3.16.as_fv_abdf 
(-18, 152, -767), [2, 0, 1], 3.16.as_fw_abdn 
(-18, 153, -775), [2, 1, 1], 3.16.as_fx_abdv 
(-18, 153, -773), [2, 1, 3], 3.16.as_fx_abdt 
(-17, 134, -655), [3, 2, 1], 3.16.ar_fe_azf 
(-17, 136, -671), [3, 0, 1], 3.16.ar_fg_azv 
(-17, 137, -679), [3, 1, 1], 3.16.ar_fh_abad 
(-17, 138, -687), [3, 2, 1], 3.16.ar_fi_abal 
(-17, 138, -685), [3, 2, 3], 3.16.ar_fi_abaj 
(-17, 139, -695), [3, 3, 1], 3.16.ar_fj_abat 
(-17, 139, -693), [3, 3, 3], 3.16.ar_fj_abar 
(-17, 140, -703), [3, 0, 1], 3.16.ar_fk_abbb 
(-17, 140, -701), [3, 0, 3], 3.16.ar_fk_abaz 
(-17, 140, -699), [3, 0, 1], 3.16.ar_fk_abax 
(-17, 141, -707), [3, 1, 1], 3.16.ar_fl_abbf 
(-17, 142, -713), [3, 2, 3], 3.16.ar_fm_abbl 
(-16, 118, -559), [0, 2, 1], 3.16.aq_eo_avn 
(-16, 119, -567), [0, 3, 1], 3.16.aq_ep_avv 
(-16, 121, -583), [0, 1, 1], 3.16.aq_er_awl 
(-16, 122, -591), [0, 2, 1], 3.16.aq_es_awt 
(-16, 123, -599), [0, 3, 1], 3.16.aq_et_axb 
(-16, 123, -597), [0, 3, 3], 3.16.aq_et_awz 
(-16, 124, -607), [0, 0, 1], 3.16.aq_eu_axj 
(-16, 124, -605), [0, 0, 3], 3.16.aq_eu_axh 
(-16, 125, -615), [0, 1, 1], 3.16.aq_ev_axr 
(-16, 125, -613), [0, 1, 3], 3.16.aq_ev_axp 
(-16, 125, -611), [0, 1, 1], 3.16.aq_ev_axn 
(-16, 126, -623), [0, 2, 1], 3.16.aq_ew_axz 
