(-19, 167, -871), [1, 3, 1], 3.17.at_gl_abhn 
(-19, 168, -879), [1, 0, 1], 3.17.at_gm_abhv 
(-19, 169, -885), [1, 1, 3], 3.17.at_gn_abib 
(-18, 152, -781), [2, 0, 3], 3.17.as_fw_abeb 
(-18, 152, -779), [2, 0, 1], 3.17.as_fw_abdz 
(-18, 153, -789), [2, 1, 3], 3.17.as_fx_abej 
(-18, 154, -797), [2, 2, 3], 3.17.as_fy_aber 
(-18, 154, -795), [2, 2, 1], 3.17.as_fy_abep 
(-18, 155, -806), [2, 3, 2], 3.17.as_fz_abfa 
(-18, 155, -805), [2, 3, 3], 3.17.as_fz_abez 
(-18, 155, -803), [2, 3, 1], 3.17.as_fz_abex 
(-18, 155, -802), [2, 3, 2], 3.17.as_fz_abew 
(-18, 156, -811), [2, 0, 1], 3.17.as_ga_abff 
(-18, 156, -809), [2, 0, 3], 3.17.as_ga_abfd 
(-17, 134, -667), [3, 2, 1], 3.17.ar_fe_azr 
(-17, 135, -675), [3, 3, 1], 3.17.ar_ff_azz 
(-17, 137, -691), [3, 1, 1], 3.17.ar_fh_abap 
(-17, 138, -700), [3, 2, 0], 3.17.ar_fi_abay 
(-17, 138, -699), [3, 2, 1], 3.17.ar_fi_abax 
(-17, 139, -708), [3, 3, 0], 3.17.ar_fj_abbg 
(-17, 139, -707), [3, 3, 1], 3.17.ar_fj_abbf 
(-17, 139, -705), [3, 3, 3], 3.17.ar_fj_abbd 
(-17, 140, -715), [3, 0, 1], 3.17.ar_fk_abbn 
(-17, 140, -713), [3, 0, 3], 3.17.ar_fk_abbl 
(-17, 140, -712), [3, 0, 0], 3.17.ar_fk_abbk 
(-17, 141, -724), [3, 1, 0], 3.17.ar_fl_abbw 
(-17, 141, -721), [3, 1, 3], 3.17.ar_fl_abbt 
(-17, 141, -720), [3, 1, 0], 3.17.ar_fl_abbs 
(-17, 141, -719), [3, 1, 1], 3.17.ar_fl_abbr 
(-17, 142, -732), [3, 2, 0], 3.17.ar_fm_abce 
(-17, 142, -729), [3, 2, 3], 3.17.ar_fm_abcb 
(-17, 142, -727), [3, 2, 1], 3.17.ar_fm_abbz 
(-17, 142, -726), [3, 2, 2], 3.17.ar_fm_abby 
(-17, 143, -736), [3, 3, 0], 3.17.ar_fn_abci 
(-17, 143, -733), [3, 3, 3], 3.17.ar_fn_abcf 
(-17, 144, -741), [3, 0, 3], 3.17.ar_fo_abcn 
(-17, 145, -747), [3, 1, 1], 3.17.ar_fp_abct 
(-16, 118, -569), [0, 2, 3], 3.17.aq_eo_avx 
(-16, 119, -577), [0, 3, 3], 3.17.aq_ep_awf 
(-16, 120, -585), [0, 0, 3], 3.17.aq_eq_awn 
(-16, 121, -591), [0, 1, 1], 3.17.aq_er_awt 
(-16, 122, -601), [0, 2, 3], 3.17.aq_es_axd 
(-16, 122, -599), [0, 2, 1], 3.17.aq_es_axb 
(-16, 123, -610), [0, 3, 2], 3.17.aq_et_axm 
(-16, 123, -609), [0, 3, 3], 3.17.aq_et_axl 
