(-21, 197, -1085), [3, 1, 3], 3.19.av_hp_abpt 
(-21, 200, -1111), [3, 0, 1], 3.19.av_hs_abqt 
(-21, 201, -1119), [3, 1, 1], 3.19.av_ht_abrb 
(-20, 184, -1009), [0, 0, 3], 3.19.au_hc_abmv 
(-20, 185, -1018), [0, 1, 2], 3.19.au_hd_abne 
(-20, 185, -1017), [0, 1, 3], 3.19.au_hd_abnd 
(-20, 186, -1027), [0, 2, 1], 3.19.au_he_abnn 
(-20, 186, -1025), [0, 2, 3], 3.19.au_he_abnl 
(-20, 187, -1034), [0, 3, 2], 3.19.au_hf_abnu 
(-20, 188, -1041), [0, 0, 3], 3.19.au_hg_abob 
(-19, 164, -873), [1, 0, 3], 3.19.at_gi_abhp 
(-19, 167, -899), [1, 3, 1], 3.19.at_gl_abip 
(-19, 168, -908), [1, 0, 0], 3.19.at_gm_abiy 
(-19, 168, -907), [1, 0, 1], 3.19.at_gm_abix 
(-19, 169, -916), [1, 1, 0], 3.19.at_gn_abjg 
(-19, 169, -915), [1, 1, 1], 3.19.at_gn_abjf 
(-19, 170, -923), [1, 2, 1], 3.19.at_go_abjn 
(-19, 171, -934), [1, 3, 2], 3.19.at_gp_abjy 
(-19, 171, -933), [1, 3, 3], 3.19.at_gp_abjx 
(-19, 172, -943), [1, 0, 1], 3.19.at_gq_abkh 
(-19, 172, -941), [1, 0, 3], 3.19.at_gq_abkf 
(-19, 172, -940), [1, 0, 0], 3.19.at_gq_abke 
(-19, 173, -951), [1, 1, 1], 3.19.at_gr_abkp 
(-19, 173, -949), [1, 1, 3], 3.19.at_gr_abkn 
(-19, 173, -948), [1, 1, 0], 3.19.at_gr_abkm 
(-19, 173, -947), [1, 1, 1], 3.19.at_gr_abkl 
(-19, 174, -955), [1, 2, 1], 3.19.at_gs_abkt 
(-19, 175, -961), [1, 3, 3], 3.19.at_gt_abkz 
(-18, 144, -737), [2, 0, 3], 3.19.as_fo_abcj 
(-18, 147, -763), [2, 3, 1], 3.19.as_fr_abdj 
(-18, 150, -789), [2, 2, 3], 3.19.as_fu_abej 
(-18, 151, -797), [2, 3, 3], 3.19.as_fv_aber 
(-18, 152, -805), [2, 0, 3], 3.19.as_fw_abez 
(-18, 153, -814), [2, 1, 2], 3.19.as_fx_abfi 
(-18, 153, -813), [2, 1, 3], 3.19.as_fx_abfh 
(-18, 154, -823), [2, 2, 1], 3.19.as_fy_abfr 
(-18, 154, -822), [2, 2, 2], 3.19.as_fy_abfq 
(-18, 154, -821), [2, 2, 3], 3.19.as_fy_abfp 
(-18, 155, -829), [2, 3, 3], 3.19.as_fz_abfx 
(-18, 156, -841), [2, 0, 3], 3.19.as_ga_abgj 
(-18, 156, -840), [2, 0, 0], 3.19.as_ga_abgi 
(-18, 156, -839), [2, 0, 1], 3.19.as_ga_abgh 
(-18, 156, -837), [2, 0, 3], 3.19.as_ga_abgf 
(-18, 157, -850), [2, 1, 2], 3.19.as_gb_abgs 
(-18, 157, -847), [2, 1, 1], 3.19.as_gb_abgp 
(-18, 157, -846), [2, 1, 2], 3.19.as_gb_abgo 
(-18, 158, -859), [2, 2, 1], 3.19.as_gc_abhb 
(-18, 158, -857), [2, 2, 3], 3.19.as_gc_abgz 
(-18, 158, -856), [2, 2, 0], 3.19.as_gc_abgy 
(-18, 158, -853), [2, 2, 3], 3.19.as_gc_abgv 
(-18, 158, -851), [2, 2, 1], 3.19.as_gc_abgt 
(-18, 159, -866), [2, 3, 2], 3.19.as_gd_abhi 
(-18, 159, -863), [2, 3, 1], 3.19.as_gd_abhf 
(-18, 159, -861), [2, 3, 3], 3.19.as_gd_abhd 
(-18, 160, -873), [2, 0, 3], 3.19.as_ge_abhp 
(-18, 160, -871), [2, 0, 1], 3.19.as_ge_abhn 
(-18, 160, -869), [2, 0, 3], 3.19.as_ge_abhl 
(-18, 160, -867), [2, 0, 1], 3.19.as_ge_abhj 
(-18, 161, -878), [2, 1, 2], 3.19.as_gf_abhu 
(-18, 161, -877), [2, 1, 3], 3.19.as_gf_abht 
(-18, 161, -875), [2, 1, 1], 3.19.as_gf_abhr 
(-18, 162, -883), [2, 2, 1], 3.19.as_gg_abhz 
(-18, 162, -881), [2, 2, 3], 3.19.as_gg_abhx 
(-17, 129, -644), [3, 1, 0], 3.19.ar_ez_ayu 
(-17, 131, -661), [3, 3, 3], 3.19.ar_fb_azl 
(-17, 133, -679), [3, 1, 1], 3.19.ar_fd_abad 
(-17, 134, -687), [3, 2, 1], 3.19.ar_fe_abal 
(-17, 135, -695), [3, 3, 1], 3.19.ar_ff_abat 
(-17, 136, -705), [3, 0, 3], 3.19.ar_fg_abbd 
(-17, 137, -713), [3, 1, 3], 3.19.ar_fh_abbl 
(-17, 137, -711), [3, 1, 1], 3.19.ar_fh_abbj 
(-17, 138, -721), [3, 2, 3], 3.19.ar_fi_abbt 
(-17, 138, -720), [3, 2, 0], 3.19.ar_fi_abbs 
(-17, 138, -719), [3, 2, 1], 3.19.ar_fi_abbr 
(-17, 139, -731), [3, 3, 1], 3.19.ar_fj_abcd 
(-17, 139, -729), [3, 3, 3], 3.19.ar_fj_abcb 
(-17, 139, -728), [3, 3, 0], 3.19.ar_fj_abca 
(-17, 139, -727), [3, 3, 1], 3.19.ar_fj_abbz 
(-17, 140, -740), [3, 0, 0], 3.19.ar_fk_abcm 
(-17, 140, -739), [3, 0, 1], 3.19.ar_fk_abcl 
(-17, 140, -738), [3, 0, 2], 3.19.ar_fk_abck 
(-17, 140, -735), [3, 0, 1], 3.19.ar_fk_abch 
(-17, 141, -748), [3, 1, 0], 3.19.ar_fl_abcu 
(-17, 142, -757), [3, 2, 3], 3.19.ar_fm_abdd 
(-17, 142, -755), [3, 2, 1], 3.19.ar_fm_abdb 
(-17, 142, -754), [3, 2, 2], 3.19.ar_fm_abda 
(-17, 142, -753), [3, 2, 3], 3.19.ar_fm_abcz 
(-17, 143, -763), [3, 3, 1], 3.19.ar_fn_abdj 
(-17, 143, -757), [3, 3, 3], 3.19.ar_fn_abdd 
(-17, 144, -775), [3, 0, 1], 3.19.ar_fo_abdv 
(-17, 144, -773), [3, 0, 3], 3.19.ar_fo_abdt 
(-17, 144, -771), [3, 0, 1], 3.19.ar_fo_abdr 
(-17, 144, -769), [3, 0, 3], 3.19.ar_fo_abdp 
(-17, 144, -768), [3, 0, 0], 3.19.ar_fo_abdo 
(-17, 144, -767), [3, 0, 1], 3.19.ar_fo_abdn 
(-17, 145, -783), [3, 1, 1], 3.19.ar_fp_abed 
(-17, 145, -782), [3, 1, 2], 3.19.ar_fp_abec 
(-17, 145, -781), [3, 1, 3], 3.19.ar_fp_abeb 
(-17, 145, -776), [3, 1, 0], 3.19.ar_fp_abdw 
(-17, 146, -792), [3, 2, 0], 3.19.ar_fq_abem 
(-17, 146, -790), [3, 2, 2], 3.19.ar_fq_abek 
(-17, 146, -789), [3, 2, 3], 3.19.ar_fq_abej 
(-17, 146, -788), [3, 2, 0], 3.19.ar_fq_abei 
(-17, 146, -785), [3, 2, 3], 3.19.ar_fq_abef 
(-17, 146, -783), [3, 2, 1], 3.19.ar_fq_abed 
(-17, 146, -781), [3, 2, 3], 3.19.ar_fq_abeb 
(-17, 147, -788), [3, 3, 0], 3.19.ar_fr_abei 
(-17, 148, -800), [3, 0, 0], 3.19.ar_fs_abeu 
(-17, 148, -799), [3, 0, 1], 3.19.ar_fs_abet 
(-17, 148, -797), [3, 0, 3], 3.19.ar_fs_aber 
(-17, 148, -795), [3, 0, 1], 3.19.ar_fs_abep 
(-17, 148, -794), [3, 0, 2], 3.19.ar_fs_abeo 
(-17, 149, -804), [3, 1, 0], 3.19.ar_ft_abey 
(-17, 149, -803), [3, 1, 1], 3.19.ar_ft_abex 
(-17, 150, -809), [3, 2, 3], 3.19.ar_fu_abfd 
(-17, 151, -815), [3, 3, 1], 3.19.ar_fv_abfj 
(-16, 112, -534), [0, 0, 2], 3.19.aq_ei_auo 
(-16, 115, -559), [0, 3, 1], 3.19.aq_el_avn 
(-16, 117, -577), [0, 1, 3], 3.19.aq_en_awf 
(-16, 118, -586), [0, 2, 2], 3.19.aq_eo_awo 
(-16, 118, -585), [0, 2, 3], 3.19.aq_eo_awn 
(-16, 119, -595), [0, 3, 1], 3.19.aq_ep_awx 
(-16, 119, -593), [0, 3, 3], 3.19.aq_ep_awv 
(-16, 120, -603), [0, 0, 1], 3.19.aq_eq_axf 
(-16, 120, -601), [0, 0, 3], 3.19.aq_eq_axd 
(-16, 122, -621), [0, 2, 3], 3.19.aq_es_axx 
(-16, 122, -619), [0, 2, 1], 3.19.aq_es_axv 
(-16, 122, -617), [0, 2, 3], 3.19.aq_es_axt 
(-16, 124, -638), [0, 0, 2], 3.19.aq_eu_ayo 
(-16, 124, -637), [0, 0, 3], 3.19.aq_eu_ayn 
(-16, 124, -635), [0, 0, 1], 3.19.aq_eu_ayl 
(-16, 124, -634), [0, 0, 2], 3.19.aq_eu_ayk 
(-16, 124, -633), [0, 0, 3], 3.19.aq_eu_ayj 
(-16, 125, -647), [0, 1, 1], 3.19.aq_ev_ayx 
(-16, 125, -641), [0, 1, 3], 3.19.aq_ev_ayr 
(-16, 126, -655), [0, 2, 1], 3.19.aq_ew_azf 
(-16, 126, -653), [0, 2, 3], 3.19.aq_ew_azd 
(-16, 126, -651), [0, 2, 1], 3.19.aq_ew_azb 
(-16, 126, -649), [0, 2, 3], 3.19.aq_ew_ayz 
(-16, 127, -659), [0, 3, 1], 3.19.aq_ex_azj 
(-16, 128, -673), [0, 0, 3], 3.19.aq_ey_azx 
(-16, 128, -671), [0, 0, 1], 3.19.aq_ey_azv 
(-16, 128, -669), [0, 0, 3], 3.19.aq_ey_azt 
(-16, 128, -667), [0, 0, 1], 3.19.aq_ey_azr 
(-16, 128, -663), [0, 0, 1], 3.19.aq_ey_azn 
(-16, 129, -681), [0, 1, 3], 3.19.aq_ez_abaf 
(-16, 129, -673), [0, 1, 3], 3.19.aq_ez_azx 
(-16, 129, -670), [0, 1, 2], 3.19.aq_ez_azu 
(-16, 130, -690), [0, 2, 2], 3.19.aq_fa_abao 
(-16, 130, -689), [0, 2, 3], 3.19.aq_fa_aban 
(-16, 130, -687), [0, 2, 1], 3.19.aq_fa_abal 
(-16, 130, -685), [0, 2, 3], 3.19.aq_fa_abaj 
(-16, 130, -683), [0, 2, 1], 3.19.aq_fa_abah 
(-16, 130, -681), [0, 2, 3], 3.19.aq_fa_abaf 
(-16, 130, -679), [0, 2, 1], 3.19.aq_fa_abad 
(-16, 131, -697), [0, 3, 3], 3.19.aq_fb_abav 
(-16, 131, -693), [0, 3, 3], 3.19.aq_fb_abar 
(-16, 131, -691), [0, 3, 1], 3.19.aq_fb_abap 
(-16, 131, -689), [0, 3, 3], 3.19.aq_fb_aban 
(-16, 131, -686), [0, 3, 2], 3.19.aq_fb_abak 
(-16, 132, -707), [0, 0, 1], 3.19.aq_fc_abbf 
(-16, 132, -706), [0, 0, 2], 3.19.aq_fc_abbe 
(-16, 132, -705), [0, 0, 3], 3.19.aq_fc_abbd 
(-16, 132, -701), [0, 0, 3], 3.19.aq_fc_abaz 
(-16, 132, -699), [0, 0, 1], 3.19.aq_fc_abax 
(-16, 132, -697), [0, 0, 3], 3.19.aq_fc_abav 
(-16, 132, -695), [0, 0, 1], 3.19.aq_fc_abat 
(-16, 132, -693), [0, 0, 3], 3.19.aq_fc_abar 
(-16, 133, -717), [0, 1, 3], 3.19.aq_fd_abbp 
(-16, 133, -715), [0, 1, 1], 3.19.aq_fd_abbn 
(-16, 133, -709), [0, 1, 3], 3.19.aq_fd_abbh 
(-16, 133, -705), [0, 1, 3], 3.19.aq_fd_abbd 
(-16, 133, -701), [0, 1, 3], 3.19.aq_fd_abaz 
(-16, 134, -723), [0, 2, 1], 3.19.aq_fe_abbv 
(-16, 134, -721), [0, 2, 3], 3.19.aq_fe_abbt 
(-16, 134, -719), [0, 2, 1], 3.19.aq_fe_abbr 
(-16, 134, -717), [0, 2, 3], 3.19.aq_fe_abbp 
(-16, 134, -715), [0, 2, 1], 3.19.aq_fe_abbn 
(-16, 134, -714), [0, 2, 2], 3.19.aq_fe_abbm 
(-16, 134, -713), [0, 2, 3], 3.19.aq_fe_abbl 
(-16, 134, -711), [0, 2, 1], 3.19.aq_fe_abbj 
(-16, 134, -709), [0, 2, 3], 3.19.aq_fe_abbh 
(-16, 134, -707), [0, 2, 1], 3.19.aq_fe_abbf 
(-16, 135, -727), [0, 3, 1], 3.19.aq_ff_abbz 
(-16, 135, -721), [0, 3, 3], 3.19.aq_ff_abbt 
(-16, 135, -718), [0, 3, 2], 3.19.aq_ff_abbq 
(-16, 135, -717), [0, 3, 3], 3.19.aq_ff_abbp 
(-16, 136, -731), [0, 0, 1], 3.19.aq_fg_abcd 
(-16, 136, -729), [0, 0, 3], 3.19.aq_fg_abcb 
(-16, 136, -727), [0, 0, 1], 3.19.aq_fg_abbz 
(-16, 136, -725), [0, 0, 3], 3.19.aq_fg_abbx 
(-16, 136, -723), [0, 0, 1], 3.19.aq_fg_abbv 
(-16, 136, -721), [0, 0, 3], 3.19.aq_fg_abbt 
(-16, 137, -735), [0, 1, 1], 3.19.aq_fh_abch 
(-16, 137, -732), [0, 1, 0], 3.19.aq_fh_abce 
(-16, 137, -730), [0, 1, 2], 3.19.aq_fh_abcc 
(-16, 137, -729), [0, 1, 3], 3.19.aq_fh_abcb 
(-16, 138, -739), [0, 2, 1], 3.19.aq_fi_abcl 
(-16, 138, -737), [0, 2, 3], 3.19.aq_fi_abcj 
(-16, 138, -736), [0, 2, 0], 3.19.aq_fi_abci 
(-16, 138, -735), [0, 2, 1], 3.19.aq_fi_abch 
(-16, 140, -747), [0, 0, 1], 3.19.aq_fk_abct 
(-15, 94, -415), [1, 2, 1], 3.19.ap_dq_apz 
(-15, 96, -432), [1, 0, 0], 3.19.ap_ds_aqq 
(-15, 98, -449), [1, 2, 3], 3.19.ap_du_arh 
(-15, 100, -467), [1, 0, 1], 3.19.ap_dw_arz 
(-15, 101, -476), [1, 1, 0], 3.19.ap_dx_asi 
(-15, 102, -483), [1, 2, 1], 3.19.ap_dy_asp 
(-15, 104, -501), [1, 0, 3], 3.19.ap_ea_ath 
(-15, 104, -499), [1, 0, 1], 3.19.ap_ea_atf 
(-15, 105, -511), [1, 1, 1], 3.19.ap_eb_atr 
(-15, 105, -509), [1, 1, 3], 3.19.ap_eb_atp 
(-15, 106, -519), [1, 2, 1], 3.19.ap_ec_atz 
(-15, 106, -518), [1, 2, 2], 3.19.ap_ec_aty 
(-15, 106, -517), [1, 2, 3], 3.19.ap_ec_atx 
(-15, 106, -516), [1, 2, 0], 3.19.ap_ec_atw 
(-15, 106, -515), [1, 2, 1], 3.19.ap_ec_atv 
(-15, 108, -537), [1, 0, 3], 3.19.ap_ee_aur 
(-15, 108, -536), [1, 0, 0], 3.19.ap_ee_auq 
(-15, 108, -533), [1, 0, 3], 3.19.ap_ee_aun 
(-15, 108, -531), [1, 0, 1], 3.19.ap_ee_aul 
(-15, 110, -553), [1, 2, 3], 3.19.ap_eg_avh 
(-15, 110, -547), [1, 2, 1], 3.19.ap_eg_avb 
(-15, 111, -563), [1, 3, 1], 3.19.ap_eh_avr 
(-15, 111, -553), [1, 3, 3], 3.19.ap_eh_avh 
(-15, 112, -572), [1, 0, 0], 3.19.ap_ei_awa 
(-15, 112, -571), [1, 0, 1], 3.19.ap_ei_avz 
(-15, 112, -569), [1, 0, 3], 3.19.ap_ei_avx 
(-15, 112, -567), [1, 0, 1], 3.19.ap_ei_avv 
(-15, 112, -565), [1, 0, 3], 3.19.ap_ei_avt 
(-15, 112, -561), [1, 0, 3], 3.19.ap_ei_avp 
(-15, 113, -576), [1, 1, 0], 3.19.ap_ej_awe 
(-15, 114, -587), [1, 2, 1], 3.19.ap_ek_awp 
(-15, 114, -585), [1, 2, 3], 3.19.ap_ek_awn 
(-15, 114, -583), [1, 2, 1], 3.19.ap_ek_awl 
(-15, 114, -581), [1, 2, 3], 3.19.ap_ek_awj 
(-15, 114, -579), [1, 2, 1], 3.19.ap_ek_awh 
(-15, 114, -576), [1, 2, 0], 3.19.ap_ek_awe 
(-15, 115, -585), [1, 3, 3], 3.19.ap_el_awn 
(-15, 116, -605), [1, 0, 3], 3.19.ap_em_axh 
(-15, 116, -603), [1, 0, 1], 3.19.ap_em_axf 
(-15, 116, -601), [1, 0, 3], 3.19.ap_em_axd 
(-15, 116, -599), [1, 0, 1], 3.19.ap_em_axb 
(-15, 116, -597), [1, 0, 3], 3.19.ap_em_awz 
(-15, 116, -595), [1, 0, 1], 3.19.ap_em_awx 
(-15, 116, -593), [1, 0, 3], 3.19.ap_em_awv 
(-15, 118, -624), [1, 2, 0], 3.19.ap_eo_aya 
(-15, 118, -623), [1, 2, 1], 3.19.ap_eo_axz 
(-15, 118, -621), [1, 2, 3], 3.19.ap_eo_axx 
(-15, 118, -619), [1, 2, 1], 3.19.ap_eo_axv 
(-15, 118, -615), [1, 2, 1], 3.19.ap_eo_axr 
(-15, 118, -613), [1, 2, 3], 3.19.ap_eo_axp 
(-15, 118, -611), [1, 2, 1], 3.19.ap_eo_axn 
(-15, 118, -609), [1, 2, 3], 3.19.ap_eo_axl 
(-15, 118, -607), [1, 2, 1], 3.19.ap_eo_axj 
(-15, 119, -632), [1, 3, 0], 3.19.ap_ep_ayi 
(-15, 119, -629), [1, 3, 3], 3.19.ap_ep_ayf 
(-15, 119, -616), [1, 3, 0], 3.19.ap_ep_axs 
(-15, 120, -641), [1, 0, 3], 3.19.ap_eq_ayr 
(-15, 120, -639), [1, 0, 1], 3.19.ap_eq_ayp 
(-15, 120, -637), [1, 0, 3], 3.19.ap_eq_ayn 
(-15, 120, -636), [1, 0, 0], 3.19.ap_eq_aym 
(-15, 120, -633), [1, 0, 3], 3.19.ap_eq_ayj 
(-15, 120, -631), [1, 0, 1], 3.19.ap_eq_ayh 
(-15, 120, -629), [1, 0, 3], 3.19.ap_eq_ayf 
(-15, 120, -625), [1, 0, 3], 3.19.ap_eq_ayb 
(-15, 120, -623), [1, 0, 1], 3.19.ap_eq_axz 
(-15, 120, -621), [1, 0, 3], 3.19.ap_eq_axx 
(-15, 121, -649), [1, 1, 3], 3.19.ap_er_ayz 
(-15, 121, -633), [1, 1, 3], 3.19.ap_er_ayj 
(-15, 121, -632), [1, 1, 0], 3.19.ap_er_ayi 
(-15, 121, -631), [1, 1, 1], 3.19.ap_er_ayh 
(-15, 122, -656), [1, 2, 0], 3.19.ap_es_azg 
(-15, 122, -655), [1, 2, 1], 3.19.ap_es_azf 
(-15, 122, -653), [1, 2, 3], 3.19.ap_es_azd 
(-15, 122, -651), [1, 2, 1], 3.19.ap_es_azb 
(-15, 122, -649), [1, 2, 3], 3.19.ap_es_ayz 
(-15, 122, -647), [1, 2, 1], 3.19.ap_es_ayx 
(-15, 122, -644), [1, 2, 0], 3.19.ap_es_ayu 
(-15, 122, -643), [1, 2, 1], 3.19.ap_es_ayt 
(-15, 122, -641), [1, 2, 3], 3.19.ap_es_ayr 
(-15, 122, -639), [1, 2, 1], 3.19.ap_es_ayp 
(-15, 122, -638), [1, 2, 2], 3.19.ap_es_ayo 
(-15, 122, -637), [1, 2, 3], 3.19.ap_es_ayn 
(-15, 122, -635), [1, 2, 1], 3.19.ap_es_ayl 
(-15, 123, -657), [1, 3, 3], 3.19.ap_et_azh 
(-15, 123, -656), [1, 3, 0], 3.19.ap_et_azg 
(-15, 124, -661), [1, 0, 3], 3.19.ap_eu_azl 
(-15, 124, -659), [1, 0, 1], 3.19.ap_eu_azj 
(-15, 124, -657), [1, 0, 3], 3.19.ap_eu_azh 
(-15, 124, -656), [1, 0, 0], 3.19.ap_eu_azg 
(-15, 124, -653), [1, 0, 3], 3.19.ap_eu_azd 
(-15, 124, -651), [1, 0, 1], 3.19.ap_eu_azb 
(-15, 124, -649), [1, 0, 3], 3.19.ap_eu_ayz 
(-15, 125, -653), [1, 1, 3], 3.19.ap_ev_azd 
(-15, 126, -667), [1, 2, 1], 3.19.ap_ew_azr 
(-15, 126, -663), [1, 2, 1], 3.19.ap_ew_azn 
(-15, 127, -673), [1, 3, 3], 3.19.ap_ex_azx 
(-15, 128, -677), [1, 0, 3], 3.19.ap_ey_abab 
(-15, 128, -676), [1, 0, 0], 3.19.ap_ey_abaa 
(-15, 128, -673), [1, 0, 3], 3.19.ap_ey_azx 
(-15, 129, -681), [1, 1, 3], 3.19.ap_ez_abaf 
(-14, 80, -331), [2, 0, 1], 3.19.ao_dc_amt 
(-14, 81, -339), [2, 1, 1], 3.19.ao_dd_anb 
(-14, 82, -347), [2, 2, 1], 3.19.ao_de_anj 
(-14, 83, -357), [2, 3, 3], 3.19.ao_df_ant 
(-14, 84, -365), [2, 0, 3], 3.19.ao_dg_aob 
(-14, 85, -373), [2, 1, 3], 3.19.ao_dh_aoj 
(-14, 86, -383), [2, 2, 1], 3.19.ao_di_aot 
(-14, 86, -382), [2, 2, 2], 3.19.ao_di_aos 
(-14, 86, -381), [2, 2, 3], 3.19.ao_di_aor 
(-14, 88, -398), [2, 0, 2], 3.19.ao_dk_api 
(-14, 88, -397), [2, 0, 3], 3.19.ao_dk_aph 
(-14, 89, -409), [2, 1, 3], 3.19.ao_dl_apt 
(-14, 90, -417), [2, 2, 3], 3.19.ao_dm_aqb 
(-14, 90, -415), [2, 2, 1], 3.19.ao_dm_apz 
(-14, 90, -413), [2, 2, 3], 3.19.ao_dm_apx 
