(-21, 197, -1085), [17, 7, 17], 3.19.av_hp_abpt 
(-21, 200, -1111), [17, 10, 10], 3.19.av_hs_abqt 
(-21, 201, -1119), [17, 11, 2], 3.19.av_ht_abrb 
(-20, 184, -1009), [18, 13, 17], 3.19.au_hc_abmv 
(-20, 185, -1018), [18, 14, 8], 3.19.au_hd_abne 
(-20, 185, -1017), [18, 14, 9], 3.19.au_hd_abnd 
(-20, 186, -1027), [18, 15, 18], 3.19.au_he_abnn 
(-20, 186, -1025), [18, 15, 1], 3.19.au_he_abnl 
(-20, 187, -1034), [18, 16, 11], 3.19.au_hf_abnu 
(-20, 188, -1041), [18, 17, 4], 3.19.au_hg_abob 
(-19, 164, -873), [0, 12, 1], 3.19.at_gi_abhp 
(-19, 167, -899), [0, 15, 13], 3.19.at_gl_abip 
(-19, 168, -908), [0, 16, 4], 3.19.at_gm_abiy 
(-19, 168, -907), [0, 16, 5], 3.19.at_gm_abix 
(-19, 169, -916), [0, 17, 15], 3.19.at_gn_abjg 
(-19, 169, -915), [0, 17, 16], 3.19.at_gn_abjf 
(-19, 170, -923), [0, 18, 8], 3.19.at_go_abjn 
(-19, 171, -934), [0, 0, 16], 3.19.at_gp_abjy 
(-19, 171, -933), [0, 0, 17], 3.19.at_gp_abjx 
(-19, 172, -943), [0, 1, 7], 3.19.at_gq_abkh 
(-19, 172, -941), [0, 1, 9], 3.19.at_gq_abkf 
(-19, 172, -940), [0, 1, 10], 3.19.at_gq_abke 
(-19, 173, -951), [0, 2, 18], 3.19.at_gr_abkp 
(-19, 173, -949), [0, 2, 1], 3.19.at_gr_abkn 
(-19, 173, -948), [0, 2, 2], 3.19.at_gr_abkm 
(-19, 173, -947), [0, 2, 3], 3.19.at_gr_abkl 
(-19, 174, -955), [0, 3, 14], 3.19.at_gs_abkt 
(-19, 175, -961), [0, 4, 8], 3.19.at_gt_abkz 
(-18, 144, -737), [1, 11, 4], 3.19.as_fo_abcj 
(-18, 147, -763), [1, 14, 16], 3.19.as_fr_abdj 
(-18, 150, -789), [1, 17, 9], 3.19.as_fu_abej 
(-18, 151, -797), [1, 18, 1], 3.19.as_fv_aber 
(-18, 152, -805), [1, 0, 12], 3.19.as_fw_abez 
(-18, 153, -814), [1, 1, 3], 3.19.as_fx_abfi 
(-18, 153, -813), [1, 1, 4], 3.19.as_fx_abfh 
(-18, 154, -823), [1, 2, 13], 3.19.as_fy_abfr 
(-18, 154, -822), [1, 2, 14], 3.19.as_fy_abfq 
