(-24, 258, -1591), [22, 5, 19], 3.23.ay_jy_acjf 
(-23, 239, -1455), [0, 9, 17], 3.23.ax_jf_acdz 
(-23, 240, -1464), [0, 10, 8], 3.23.ax_jg_acei 
(-23, 241, -1473), [0, 11, 22], 3.23.ax_jh_acer 
(-23, 242, -1483), [0, 12, 12], 3.23.ax_ji_acfb 
(-23, 243, -1491), [0, 13, 4], 3.23.ax_jj_acfj 
(-22, 221, -1328), [1, 14, 6], 3.23.aw_in_abzc 
(-22, 222, -1337), [1, 15, 20], 3.23.aw_io_abzl 
(-22, 223, -1347), [1, 16, 10], 3.23.aw_ip_abzv 
(-22, 223, -1346), [1, 16, 11], 3.23.aw_ip_abzu 
(-22, 224, -1355), [1, 17, 2], 3.23.aw_iq_acad 
(-22, 225, -1366), [1, 18, 14], 3.23.aw_ir_acao 
(-22, 226, -1375), [1, 19, 5], 3.23.aw_is_acax 
(-22, 226, -1374), [1, 19, 6], 3.23.aw_is_acaw 
(-22, 226, -1373), [1, 19, 7], 3.23.aw_is_acav 
(-22, 227, -1382), [1, 20, 21], 3.23.aw_it_acbe 
(-22, 228, -1389), [1, 21, 14], 3.23.aw_iu_acbl 
(-21, 202, -1192), [2, 18, 4], 3.23.av_hu_abtw 
(-21, 204, -1211), [2, 20, 8], 3.23.av_hw_abup 
(-21, 204, -1210), [2, 20, 9], 3.23.av_hw_abuo 
(-21, 205, -1220), [2, 21, 22], 3.23.av_hx_abuy 
(-21, 206, -1229), [2, 22, 13], 3.23.av_hy_abvh 
(-21, 206, -1228), [2, 22, 14], 3.23.av_hy_abvg 
(-21, 207, -1240), [2, 0, 2], 3.23.av_hz_abvs 
(-21, 207, -1237), [2, 0, 5], 3.23.av_hz_abvp 
(-21, 208, -1249), [2, 1, 16], 3.23.av_ia_abwb 
(-21, 208, -1248), [2, 1, 17], 3.23.av_ia_abwa 
(-21, 208, -1247), [2, 1, 18], 3.23.av_ia_abvz 
(-21, 209, -1259), [2, 2, 6], 3.23.av_ib_abwl 
(-21, 209, -1257), [2, 2, 8], 3.23.av_ib_abwj 
(-21, 209, -1256), [2, 2, 9], 3.23.av_ib_abwi 
(-21, 209, -1255), [2, 2, 10], 3.23.av_ib_abwh 
(-21, 209, -1253), [2, 2, 12], 3.23.av_ib_abwf 
