(-25, 281, -1809), [0, 6, 16], 3.25.az_kv_acrp 
(-24, 260, -1649), [1, 10, 1], 3.25.ay_ka_acll 
(-24, 262, -1669), [1, 12, 6], 3.25.ay_kc_acmf 
(-24, 263, -1679), [1, 13, 21], 3.25.ay_kd_acmp 
(-24, 263, -1678), [1, 13, 22], 3.25.ay_kd_acmo 
(-24, 264, -1689), [1, 14, 11], 3.25.ay_ke_acmz 
(-24, 264, -1687), [1, 14, 13], 3.25.ay_ke_acmx 
(-23, 241, -1509), [2, 16, 16], 3.25.ax_jh_acgb 
(-23, 243, -1529), [2, 18, 21], 3.25.ax_jj_acgv 
(-23, 244, -1539), [2, 19, 11], 3.25.ax_jk_achf 
(-23, 244, -1538), [2, 19, 12], 3.25.ax_jk_ache 
(-23, 245, -1549), [2, 20, 1], 3.25.ax_jl_achp 
(-23, 245, -1548), [2, 20, 2], 3.25.ax_jl_acho 
(-23, 245, -1547), [2, 20, 3], 3.25.ax_jl_achn 
(-23, 246, -1559), [2, 21, 16], 3.25.ax_jm_achz 
(-23, 246, -1557), [2, 21, 18], 3.25.ax_jm_achx 
(-23, 246, -1556), [2, 21, 19], 3.25.ax_jm_achw 
(-23, 247, -1569), [2, 22, 6], 3.25.ax_jn_acij 
(-23, 247, -1568), [2, 22, 7], 3.25.ax_jn_acii 
(-23, 247, -1567), [2, 22, 8], 3.25.ax_jn_acih 
(-23, 249, -1583), [2, 24, 17], 3.25.ax_jp_acix 
(-22, 221, -1359), [3, 21, 16], 3.25.aw_in_acah 
(-22, 222, -1369), [3, 22, 6], 3.25.aw_io_acar 
(-22, 223, -1378), [3, 23, 22], 3.25.aw_ip_acba 
(-22, 224, -1389), [3, 24, 11], 3.25.aw_iq_acbl 
(-22, 225, -1399), [3, 0, 1], 3.25.aw_ir_acbv 
(-22, 225, -1398), [3, 0, 2], 3.25.aw_ir_acbu 
(-22, 226, -1409), [3, 1, 16], 3.25.aw_is_accf 
(-22, 226, -1408), [3, 1, 17], 3.25.aw_is_acce 
(-22, 226, -1407), [3, 1, 18], 3.25.aw_is_accd 
(-22, 227, -1419), [3, 2, 6], 3.25.aw_it_accp 
(-22, 227, -1418), [3, 2, 7], 3.25.aw_it_acco 
(-22, 227, -1417), [3, 2, 8], 3.25.aw_it_accn 
(-22, 228, -1429), [3, 3, 21], 3.25.aw_iu_accz 
(-22, 228, -1427), [3, 3, 23], 3.25.aw_iu_accx 
(-22, 229, -1439), [3, 4, 11], 3.25.aw_iv_acdj 
(-22, 229, -1437), [3, 4, 13], 3.25.aw_iv_acdh 
(-22, 229, -1434), [3, 4, 16], 3.25.aw_iv_acde 
(-22, 230, -1449), [3, 5, 1], 3.25.aw_iw_acdt 
(-22, 230, -1448), [3, 5, 2], 3.25.aw_iw_acds 
(-22, 230, -1447), [3, 5, 3], 3.25.aw_iw_acdr 
(-22, 230, -1443), [3, 5, 7], 3.25.aw_iw_acdn 
(-22, 231, -1458), [3, 6, 17], 3.25.aw_ix_acec 
(-22, 231, -1454), [3, 6, 21], 3.25.aw_ix_acdy 
(-22, 231, -1453), [3, 6, 22], 3.25.aw_ix_acdx 
(-22, 232, -1463), [3, 7, 12], 3.25.aw_iy_aceh 
(-22, 232, -1462), [3, 7, 13], 3.25.aw_iy_aceg 
(-22, 232, -1461), [3, 7, 14], 3.25.aw_iy_acef 
(-22, 234, -1477), [3, 9, 23], 3.25.aw_ja_acev 
(-21, 201, -1209), [4, 1, 16], 3.25.av_ht_abun 
(-21, 202, -1219), [4, 2, 6], 3.25.av_hu_abux 
(-21, 204, -1238), [4, 4, 12], 3.25.av_hw_abvq 
(-21, 206, -1259), [4, 6, 16], 3.25.av_hy_abwl 
(-21, 206, -1258), [4, 6, 17], 3.25.av_hy_abwk 
(-21, 208, -1279), [4, 8, 21], 3.25.av_ia_abxf 
(-21, 208, -1278), [4, 8, 22], 3.25.av_ia_abxe 
(-21, 208, -1277), [4, 8, 23], 3.25.av_ia_abxd 
(-21, 208, -1276), [4, 8, 24], 3.25.av_ia_abxc 
(-21, 209, -1288), [4, 9, 12], 3.25.av_ib_abxo 
(-21, 209, -1287), [4, 9, 13], 3.25.av_ib_abxn 
(-21, 210, -1299), [4, 10, 1], 3.25.av_ic_abxz 
(-21, 210, -1297), [4, 10, 3], 3.25.av_ic_abxx 
(-21, 210, -1296), [4, 10, 4], 3.25.av_ic_abxw 
(-21, 211, -1309), [4, 11, 16], 3.25.av_id_abyj 
(-21, 211, -1307), [4, 11, 18], 3.25.av_id_abyh 
(-21, 211, -1304), [4, 11, 21], 3.25.av_id_abye 
(-21, 211, -1303), [4, 11, 22], 3.25.av_id_abyd 
(-21, 212, -1319), [4, 12, 6], 3.25.av_ie_abyt 
(-21, 212, -1317), [4, 12, 8], 3.25.av_ie_abyr 
(-21, 212, -1316), [4, 12, 9], 3.25.av_ie_abyq 
(-21, 212, -1313), [4, 12, 12], 3.25.av_ie_abyn 
(-21, 213, -1327), [4, 13, 23], 3.25.av_if_abzb 
(-21, 213, -1326), [4, 13, 24], 3.25.av_if_abza 
(-21, 214, -1339), [4, 14, 11], 3.25.av_ig_abzn 
(-21, 214, -1338), [4, 14, 12], 3.25.av_ig_abzm 
(-21, 214, -1333), [4, 14, 17], 3.25.av_ig_abzh 
(-21, 214, -1331), [4, 14, 19], 3.25.av_ig_abzf 
(-21, 215, -1349), [4, 15, 1], 3.25.av_ih_abzx 
(-21, 215, -1348), [4, 15, 2], 3.25.av_ih_abzw 
(-21, 215, -1347), [4, 15, 3], 3.25.av_ih_abzv 
(-21, 215, -1343), [4, 15, 7], 3.25.av_ih_abzr 
(-21, 215, -1342), [4, 15, 8], 3.25.av_ih_abzq 
(-21, 215, -1337), [4, 15, 13], 3.25.av_ih_abzl 
(-21, 216, -1354), [4, 16, 21], 3.25.av_ii_acac 
(-21, 216, -1353), [4, 16, 22], 3.25.av_ii_acab 
(-21, 216, -1352), [4, 16, 23], 3.25.av_ii_acaa 
(-21, 216, -1349), [4, 16, 1], 3.25.av_ii_abzx 
(-21, 216, -1348), [4, 16, 2], 3.25.av_ii_abzw 
(-21, 217, -1359), [4, 17, 16], 3.25.av_ij_acah 
(-21, 218, -1367), [4, 18, 8], 3.25.av_ik_acap 
(-21, 218, -1366), [4, 18, 9], 3.25.av_ik_acao 
(-21, 218, -1363), [4, 18, 12], 3.25.av_ik_acal 
(-21, 219, -1373), [4, 19, 2], 3.25.av_il_acav 
(-21, 219, -1371), [4, 19, 4], 3.25.av_il_acat 
(-20, 182, -1069), [5, 7, 6], 3.25.au_ha_abpd 
(-20, 183, -1079), [5, 8, 21], 3.25.au_hb_abpn 
(-20, 184, -1089), [5, 9, 11], 3.25.au_hc_abpx 
(-20, 184, -1088), [5, 9, 12], 3.25.au_hc_abpw 
(-20, 185, -1098), [5, 10, 2], 3.25.au_hd_abqg 
(-20, 186, -1109), [5, 11, 16], 3.25.au_he_abqr 
(-20, 186, -1107), [5, 11, 18], 3.25.au_he_abqp 
(-20, 188, -1129), [5, 13, 21], 3.25.au_hg_abrl 
(-20, 188, -1128), [5, 13, 22], 3.25.au_hg_abrk 
(-20, 188, -1127), [5, 13, 23], 3.25.au_hg_abrj 
(-20, 189, -1139), [5, 14, 11], 3.25.au_hh_abrv 
(-20, 189, -1138), [5, 14, 12], 3.25.au_hh_abru 
(-20, 189, -1137), [5, 14, 13], 3.25.au_hh_abrt 
(-20, 189, -1136), [5, 14, 14], 3.25.au_hh_abrs 
(-20, 190, -1149), [5, 15, 1], 3.25.au_hi_absf 
(-20, 190, -1148), [5, 15, 2], 3.25.au_hi_abse 
