(-4, 9, -15), [0, 1, 1], 3.2.ae_j_ap 
(-3, 2, 1), [1, 2, 1], 3.2.ad_c_b 
(-3, 6, -9), [1, 2, 3], 3.2.ad_g_aj 
(-2, 0, 3), [2, 0, 3], 3.2.ac_a_d 
(-2, 1, 1), [2, 1, 1], 3.2.ac_b_b 
(-2, 3, -5), [2, 3, 3], 3.2.ac_d_af 
(-2, 3, -3), [2, 3, 1], 3.2.ac_d_ad 
(-2, 5, -7), [2, 1, 1], 3.2.ac_f_ah 
(-1, -1, 5), [3, 3, 1], 3.2.ab_ab_f 
(-1, 0, -1), [3, 0, 3], 3.2.ab_a_ab 
(-1, 0, 1), [3, 0, 1], 3.2.ab_a_b 
(-1, 0, 3), [3, 0, 3], 3.2.ab_a_d 
(-1, 2, -5), [3, 2, 3], 3.2.ab_c_af 
(-1, 2, -3), [3, 2, 1], 3.2.ab_c_ad 
(-1, 2, -1), [3, 2, 3], 3.2.ab_c_ab 
(-1, 4, -3), [3, 0, 1], 3.2.ab_e_ad 
(0, -1, -1), [0, 3, 3], 3.2.a_ab_ab 
(0, -1, 1), [0, 3, 1], 3.2.a_ab_b 
(0, 0, -3), [0, 0, 1], 3.2.a_a_ad 
(0, 0, 3), [0, 0, 3], 3.2.a_a_d 
(0, 1, -3), [0, 1, 1], 3.2.a_b_ad 
(0, 1, -1), [0, 1, 3], 3.2.a_b_ab 
(0, 1, 1), [0, 1, 1], 3.2.a_b_b 
(0, 1, 3), [0, 1, 3], 3.2.a_b_d 
(0, 3, -1), [0, 3, 3], 3.2.a_d_ab 
(0, 3, 1), [0, 3, 1], 3.2.a_d_b 
(1, -1, -5), [1, 3, 3], 3.2.b_ab_af 
(1, 0, -3), [1, 0, 1], 3.2.b_a_ad 
(1, 0, -1), [1, 0, 3], 3.2.b_a_ab 
(1, 0, 1), [1, 0, 1], 3.2.b_a_b 
(1, 2, 1), [1, 2, 1], 3.2.b_c_b 
(1, 2, 3), [1, 2, 3], 3.2.b_c_d 
(1, 2, 5), [1, 2, 1], 3.2.b_c_f 
(1, 4, 3), [1, 0, 3], 3.2.b_e_d 
(2, 0, -3), [2, 0, 1], 3.2.c_a_ad 
(2, 1, -1), [2, 1, 3], 3.2.c_b_ab 
(2, 3, 3), [2, 3, 3], 3.2.c_d_d 
(2, 3, 5), [2, 3, 1], 3.2.c_d_f 
(2, 5, 7), [2, 1, 3], 3.2.c_f_h 
(3, 2, -1), [3, 2, 3], 3.2.d_c_ab 
(3, 6, 9), [3, 2, 1], 3.2.d_g_j 
(4, 9, 15), [0, 1, 3], 3.2.e_j_p 
