(-5, 13, -25), [1, 1, 2], 3.3.af_n_az 
(-5, 15, -31), [1, 0, 2], 3.3.af_p_abf 
(-4, 6, -7), [2, 0, 2], 3.3.ae_g_ah 
(-4, 8, -13), [2, 2, 2], 3.3.ae_i_an 
(-4, 10, -19), [2, 1, 2], 3.3.ae_k_at 
(-4, 12, -23), [2, 0, 1], 3.3.ae_m_ax 
(-3, 0, 8), [0, 0, 2], 3.3.ad_a_i 
(-3, 1, 5), [0, 1, 2], 3.3.ad_b_f 
(-3, 2, 1), [0, 2, 1], 3.3.ad_c_b 
(-3, 2, 2), [0, 2, 2], 3.3.ad_c_c 
(-3, 4, -5), [0, 1, 1], 3.3.ad_e_af 
(-3, 6, -11), [0, 0, 1], 3.3.ad_g_al 
(-3, 8, -17), [0, 2, 1], 3.3.ad_i_ar 
(-3, 8, -13), [0, 2, 2], 3.3.ad_i_an 
(-2, -2, 11), [1, 1, 2], 3.3.ac_ac_l 
(-2, -1, 7), [1, 2, 1], 3.3.ac_ab_h 
(-2, 0, 5), [1, 0, 2], 3.3.ac_a_f 
(-2, 0, 7), [1, 0, 1], 3.3.ac_a_h 
(-2, 1, -1), [1, 1, 2], 3.3.ac_b_ab 
(-2, 1, 1), [1, 1, 1], 3.3.ac_b_b 
(-2, 2, -5), [1, 2, 1], 3.3.ac_c_af 
(-2, 2, -1), [1, 2, 2], 3.3.ac_c_ab 
(-2, 2, 1), [1, 2, 1], 3.3.ac_c_b 
(-2, 3, -1), [1, 0, 2], 3.3.ac_d_ab 
(-2, 4, -11), [1, 1, 1], 3.3.ac_e_al 
(-2, 4, -7), [1, 1, 2], 3.3.ac_e_ah 
(-2, 4, -5), [1, 1, 1], 3.3.ac_e_af 
(-2, 5, -11), [1, 2, 1], 3.3.ac_f_al 
(-2, 6, -11), [1, 0, 1], 3.3.ac_g_al 
(-2, 6, -10), [1, 0, 2], 3.3.ac_g_ak 
(-2, 6, -7), [1, 0, 2], 3.3.ac_g_ah 
(-2, 8, -11), [1, 2, 1], 3.3.ac_i_al 
(-1, -2, 4), [2, 1, 1], 3.3.ab_ac_e 
(-1, -2, 7), [2, 1, 1], 3.3.ab_ac_h 
(-1, -2, 8), [2, 1, 2], 3.3.ab_ac_i 
(-1, 0, -1), [2, 0, 2], 3.3.ab_a_ab 
(-1, 0, 1), [2, 0, 1], 3.3.ab_a_b 
(-1, 0, 4), [2, 0, 1], 3.3.ab_a_e 
(-1, 0, 5), [2, 0, 2], 3.3.ab_a_f 
(-1, 0, 7), [2, 0, 1], 3.3.ab_a_h 
(-1, 1, -4), [2, 1, 2], 3.3.ab_b_ae 
(-1, 2, -7), [2, 2, 2], 3.3.ab_c_ah 
(-1, 2, -5), [2, 2, 1], 3.3.ab_c_af 
(-1, 2, -1), [2, 2, 2], 3.3.ab_c_ab 
(-1, 4, -7), [2, 1, 2], 3.3.ab_e_ah 
(-1, 4, -5), [2, 1, 1], 3.3.ab_e_af 
(-1, 6, -5), [2, 0, 1], 3.3.ab_g_af 
(-1, 7, -5), [2, 1, 1], 3.3.ab_h_af 
(0, -2, -1), [0, 1, 2], 3.3.a_ac_ab 
(0, -2, 1), [0, 1, 1], 3.3.a_ac_b 
