(-7, 26, -63), [1, 2, 1], 3.4.ah_ba_acl 
(-6, 17, -35), [2, 1, 1], 3.4.ag_r_abj 
(-6, 19, -43), [2, 3, 1], 3.4.ag_t_abr 
(-6, 20, -47), [2, 0, 1], 3.4.ag_u_abv 
(-6, 21, -51), [2, 1, 1], 3.4.ag_v_abz 
(-6, 21, -49), [2, 1, 3], 3.4.ag_v_abx 
(-5, 10, -15), [3, 2, 1], 3.4.af_k_ap 
(-5, 12, -23), [3, 0, 1], 3.4.af_m_ax 
(-5, 14, -31), [3, 2, 1], 3.4.af_o_abf 
(-5, 14, -29), [3, 2, 3], 3.4.af_o_abd 
(-5, 16, -39), [3, 0, 1], 3.4.af_q_abn 
(-5, 16, -37), [3, 0, 3], 3.4.af_q_abl 
(-5, 16, -35), [3, 0, 1], 3.4.af_q_abj 
(-5, 18, -41), [3, 2, 3], 3.4.af_s_abp 
(-4, 2, 9), [0, 2, 1], 3.4.ae_c_j 
(-4, 3, 5), [0, 3, 1], 3.4.ae_d_f 
(-4, 5, -3), [0, 1, 1], 3.4.ae_f_ad 
(-4, 7, -11), [0, 3, 1], 3.4.ae_h_al 
(-4, 7, -9), [0, 3, 3], 3.4.ae_h_aj 
(-4, 9, -19), [0, 1, 1], 3.4.ae_j_at 
(-4, 9, -17), [0, 1, 3], 3.4.ae_j_ar 
(-4, 9, -15), [0, 1, 1], 3.4.ae_j_ap 
(-4, 11, -27), [0, 3, 1], 3.4.ae_l_abb 
(-4, 11, -25), [0, 3, 3], 3.4.ae_l_az 
(-4, 11, -23), [0, 3, 1], 3.4.ae_l_ax 
(-4, 11, -21), [0, 3, 3], 3.4.ae_l_av 
(-4, 13, -31), [0, 1, 1], 3.4.ae_n_abf 
(-4, 13, -29), [0, 1, 3], 3.4.ae_n_abd 
(-4, 13, -27), [0, 1, 1], 3.4.ae_n_abb 
(-4, 15, -31), [0, 3, 1], 3.4.ae_p_abf 
(-3, -2, 17), [1, 2, 1], 3.4.ad_ac_r 
(-3, -1, 13), [1, 3, 1], 3.4.ad_ab_n 
(-3, 0, 9), [1, 0, 1], 3.4.ad_a_j 
(-3, 0, 11), [1, 0, 3], 3.4.ad_a_l 
(-3, 2, 1), [1, 2, 1], 3.4.ad_c_b 
(-3, 2, 3), [1, 2, 3], 3.4.ad_c_d 
(-3, 2, 5), [1, 2, 1], 3.4.ad_c_f 
(-3, 4, -7), [1, 0, 1], 3.4.ad_e_ah 
(-3, 4, -5), [1, 0, 3], 3.4.ad_e_af 
(-3, 4, -3), [1, 0, 1], 3.4.ad_e_ad 
(-3, 4, -1), [1, 0, 3], 3.4.ad_e_ab 
(-3, 6, -15), [1, 2, 1], 3.4.ad_g_ap 
(-3, 6, -13), [1, 2, 3], 3.4.ad_g_an 
(-3, 6, -11), [1, 2, 1], 3.4.ad_g_al 
(-3, 6, -9), [1, 2, 3], 3.4.ad_g_aj 
(-3, 6, -7), [1, 2, 1], 3.4.ad_g_ah 
(-3, 8, -23), [1, 0, 1], 3.4.ad_i_ax 
(-3, 8, -21), [1, 0, 3], 3.4.ad_i_av 
(-3, 8, -19), [1, 0, 1], 3.4.ad_i_at 
(-3, 8, -17), [1, 0, 3], 3.4.ad_i_ar 
(-3, 8, -15), [1, 0, 1], 3.4.ad_i_ap 
(-3, 8, -13), [1, 0, 3], 3.4.ad_i_an 
(-3, 8, -11), [1, 0, 1], 3.4.ad_i_al 
(-3, 10, -23), [1, 2, 1], 3.4.ad_k_ax 
(-3, 10, -21), [1, 2, 3], 3.4.ad_k_av 
(-3, 10, -19), [1, 2, 1], 3.4.ad_k_at 
(-3, 10, -17), [1, 2, 3], 3.4.ad_k_ar 
(-3, 12, -23), [1, 0, 1], 3.4.ad_m_ax 
(-3, 12, -21), [1, 0, 3], 3.4.ad_m_av 
(-2, -3, 13), [2, 1, 1], 3.4.ac_ad_n 
(-2, -3, 15), [2, 1, 3], 3.4.ac_ad_p 
(-2, -3, 17), [2, 1, 1], 3.4.ac_ad_r 
(-2, -3, 19), [2, 1, 3], 3.4.ac_ad_t 
(-2, -2, 11), [2, 2, 3], 3.4.ac_ac_l 
