(-8, 34, -93), [0, 2, 3], 3.5.ai_bi_adp 
(-7, 24, -59), [1, 0, 1], 3.5.ah_y_ach 
(-7, 25, -63), [1, 1, 1], 3.5.ah_z_acl 
(-7, 26, -68), [1, 2, 0], 3.5.ah_ba_acq 
(-7, 27, -73), [1, 3, 3], 3.5.ah_bb_acv 
(-7, 27, -72), [1, 3, 0], 3.5.ah_bb_acu 
(-7, 27, -71), [1, 3, 1], 3.5.ah_bb_act 
(-7, 29, -77), [1, 1, 3], 3.5.ah_bd_acz 
(-6, 15, -29), [2, 3, 3], 3.5.ag_p_abd 
(-6, 16, -33), [2, 0, 3], 3.5.ag_q_abh 
(-6, 18, -41), [2, 2, 3], 3.5.ag_s_abp 
(-6, 19, -47), [2, 3, 1], 3.5.ag_t_abv 
(-6, 20, -51), [2, 0, 1], 3.5.ag_u_abz 
(-6, 20, -49), [2, 0, 3], 3.5.ag_u_abx 
(-6, 20, -47), [2, 0, 1], 3.5.ag_u_abv 
(-6, 22, -59), [2, 2, 1], 3.5.ag_w_ach 
(-6, 22, -57), [2, 2, 3], 3.5.ag_w_acf 
(-6, 23, -61), [2, 3, 3], 3.5.ag_x_acj 
(-6, 24, -63), [2, 0, 1], 3.5.ag_y_acl 
(-6, 24, -61), [2, 0, 3], 3.5.ag_y_acj 
(-5, 6, 1), [3, 2, 1], 3.5.af_g_b 
(-5, 8, -8), [3, 0, 0], 3.5.af_i_ai 
(-5, 8, -7), [3, 0, 1], 3.5.af_i_ah 
(-5, 12, -26), [3, 0, 2], 3.5.af_m_aba 
(-5, 13, -28), [3, 1, 0], 3.5.af_n_abc 
(-5, 14, -33), [3, 2, 3], 3.5.af_o_abh 
(-5, 14, -31), [3, 2, 1], 3.5.af_o_abf 
(-5, 16, -41), [3, 0, 3], 3.5.af_q_abp 
(-5, 16, -39), [3, 0, 1], 3.5.af_q_abn 
(-5, 16, -37), [3, 0, 3], 3.5.af_q_abl 
(-5, 17, -39), [3, 1, 1], 3.5.af_r_abn 
(-5, 18, -47), [3, 2, 1], 3.5.af_s_abv 
(-5, 18, -43), [3, 2, 1], 3.5.af_s_abr 
(-5, 20, -49), [3, 0, 3], 3.5.af_u_abx 
(-4, -2, 27), [0, 2, 3], 3.5.ae_ac_bb 
