(-11, 59, -195), [1, 3, 1], 3.7.al_ch_ahn 
(-10, 48, -151), [2, 0, 1], 3.7.ak_bw_afv 
(-10, 51, -166), [2, 3, 2], 3.7.ak_bz_agk 
(-10, 52, -169), [2, 0, 3], 3.7.ak_ca_agn 
(-9, 39, -117), [3, 3, 3], 3.7.aj_bn_aen 
(-9, 41, -127), [3, 1, 1], 3.7.aj_bp_aex 
(-9, 41, -125), [3, 1, 3], 3.7.aj_bp_aev 
(-9, 42, -132), [3, 2, 0], 3.7.aj_bq_afc 
(-9, 43, -137), [3, 3, 3], 3.7.aj_br_afh 
(-9, 43, -135), [3, 3, 1], 3.7.aj_br_aff 
(-9, 44, -143), [3, 0, 1], 3.7.aj_bs_afn 
(-9, 44, -142), [3, 0, 2], 3.7.aj_bs_afm 
(-9, 44, -139), [3, 0, 1], 3.7.aj_bs_afj 
(-9, 45, -145), [3, 1, 3], 3.7.aj_bt_afp 
(-9, 45, -143), [3, 1, 1], 3.7.aj_bt_afn 
(-8, 28, -73), [0, 0, 3], 3.7.ai_bc_acv 
(-8, 30, -83), [0, 2, 1], 3.7.ai_be_adf 
(-8, 31, -89), [0, 3, 3], 3.7.ai_bf_adl 
(-8, 32, -94), [0, 0, 2], 3.7.ai_bg_adq 
(-8, 32, -93), [0, 0, 3], 3.7.ai_bg_adp 
(-8, 33, -99), [0, 1, 1], 3.7.ai_bh_adv 
(-8, 34, -103), [0, 2, 1], 3.7.ai_bi_adz 
(-8, 34, -101), [0, 2, 3], 3.7.ai_bi_adx 
(-8, 35, -110), [0, 3, 2], 3.7.ai_bj_aeg 
(-8, 35, -108), [0, 3, 0], 3.7.ai_bj_aee 
(-8, 36, -115), [0, 0, 1], 3.7.ai_bk_ael 
(-8, 36, -114), [0, 0, 2], 3.7.ai_bk_aek 
(-8, 36, -113), [0, 0, 3], 3.7.ai_bk_aej 
(-8, 36, -111), [0, 0, 1], 3.7.ai_bk_aeh 
(-8, 36, -110), [0, 0, 2], 3.7.ai_bk_aeg 
(-8, 36, -109), [0, 0, 3], 3.7.ai_bk_aef 
(-8, 38, -121), [0, 2, 3], 3.7.ai_bm_aer 
(-8, 38, -117), [0, 2, 3], 3.7.ai_bm_aen 
(-8, 39, -122), [0, 3, 2], 3.7.ai_bn_aes 
(-8, 40, -125), [0, 0, 3], 3.7.ai_bo_aev 
(-7, 20, -44), [1, 0, 0], 3.7.ah_u_abs 
(-7, 22, -55), [1, 2, 1], 3.7.ah_w_acd 
(-7, 24, -66), [1, 0, 2], 3.7.ah_y_aco 
(-7, 24, -65), [1, 0, 3], 3.7.ah_y_acn 
(-7, 24, -61), [1, 0, 3], 3.7.ah_y_acj 
(-7, 26, -75), [1, 2, 1], 3.7.ah_ba_acx 
(-7, 26, -71), [1, 2, 1], 3.7.ah_ba_act 
(-7, 28, -87), [1, 0, 1], 3.7.ah_bc_adj 
(-7, 28, -86), [1, 0, 2], 3.7.ah_bc_adi 
(-7, 28, -85), [1, 0, 3], 3.7.ah_bc_adh 
(-7, 28, -82), [1, 0, 2], 3.7.ah_bc_ade 
(-7, 28, -81), [1, 0, 3], 3.7.ah_bc_add 
(-7, 28, -79), [1, 0, 1], 3.7.ah_bc_adb 
(-7, 29, -92), [1, 1, 0], 3.7.ah_bd_ado 
(-7, 30, -97), [1, 2, 3], 3.7.ah_be_adt 
(-7, 30, -95), [1, 2, 1], 3.7.ah_be_adr 
(-7, 30, -87), [1, 2, 1], 3.7.ah_be_adj 
(-7, 31, -101), [1, 3, 3], 3.7.ah_bf_adx 
(-7, 31, -97), [1, 3, 3], 3.7.ah_bf_adt 
(-7, 31, -95), [1, 3, 1], 3.7.ah_bf_adr 
(-7, 32, -101), [1, 0, 3], 3.7.ah_bg_adx 
(-7, 32, -99), [1, 0, 1], 3.7.ah_bg_adv 
(-7, 32, -97), [1, 0, 3], 3.7.ah_bg_adt 
(-7, 34, -103), [1, 2, 1], 3.7.ah_bi_adz 
(-6, 7, 10), [2, 3, 2], 3.7.ag_h_k 
(-6, 8, 5), [2, 0, 1], 3.7.ag_i_f 
(-6, 10, -5), [2, 2, 3], 3.7.ag_k_af 
(-6, 11, -11), [2, 3, 1], 3.7.ag_l_al 
(-6, 12, -15), [2, 0, 1], 3.7.ag_m_ap 
(-6, 12, -13), [2, 0, 3], 3.7.ag_m_an 
(-6, 14, -27), [2, 2, 1], 3.7.ag_o_abb 
(-6, 14, -25), [2, 2, 3], 3.7.ag_o_az 
(-6, 14, -23), [2, 2, 1], 3.7.ag_o_ax 
(-6, 16, -37), [2, 0, 3], 3.7.ag_q_abl 
(-6, 16, -33), [2, 0, 3], 3.7.ag_q_abh 
(-6, 17, -41), [2, 1, 3], 3.7.ag_r_abp 
(-6, 18, -47), [2, 2, 1], 3.7.ag_s_abv 
(-6, 18, -45), [2, 2, 3], 3.7.ag_s_abt 
(-6, 18, -43), [2, 2, 1], 3.7.ag_s_abr 
(-6, 18, -41), [2, 2, 3], 3.7.ag_s_abp 
(-6, 19, -47), [2, 3, 1], 3.7.ag_t_abv 
(-6, 19, -45), [2, 3, 3], 3.7.ag_t_abt 
(-6, 20, -57), [2, 0, 3], 3.7.ag_u_acf 
(-6, 20, -55), [2, 0, 1], 3.7.ag_u_acd 
(-6, 20, -53), [2, 0, 3], 3.7.ag_u_acb 
(-6, 20, -51), [2, 0, 1], 3.7.ag_u_abz 
(-6, 22, -69), [2, 2, 3], 3.7.ag_w_acr 
(-6, 22, -67), [2, 2, 1], 3.7.ag_w_acp 
(-6, 22, -65), [2, 2, 3], 3.7.ag_w_acn 
(-6, 22, -62), [2, 2, 2], 3.7.ag_w_ack 
(-6, 22, -61), [2, 2, 3], 3.7.ag_w_acj 
(-6, 22, -59), [2, 2, 1], 3.7.ag_w_ach 
(-6, 22, -57), [2, 2, 3], 3.7.ag_w_acf 
(-6, 24, -80), [2, 0, 0], 3.7.ag_y_adc 
(-6, 24, -79), [2, 0, 1], 3.7.ag_y_adb 
(-6, 24, -75), [2, 0, 1], 3.7.ag_y_acx 
(-6, 24, -73), [2, 0, 3], 3.7.ag_y_acv 
(-6, 24, -71), [2, 0, 1], 3.7.ag_y_act 
(-6, 24, -69), [2, 0, 3], 3.7.ag_y_acr 
(-6, 24, -67), [2, 0, 1], 3.7.ag_y_acp 
(-6, 24, -65), [2, 0, 3], 3.7.ag_y_acn 
(-6, 26, -85), [2, 2, 3], 3.7.ag_ba_adh 
(-6, 26, -83), [2, 2, 1], 3.7.ag_ba_adf 
(-6, 26, -81), [2, 2, 3], 3.7.ag_ba_add 
(-6, 26, -79), [2, 2, 1], 3.7.ag_ba_adb 
(-6, 26, -75), [2, 2, 1], 3.7.ag_ba_acx 
(-6, 26, -73), [2, 2, 3], 3.7.ag_ba_acv 
(-6, 26, -71), [2, 2, 1], 3.7.ag_ba_act 
(-6, 27, -81), [2, 3, 3], 3.7.ag_bb_add 
(-6, 28, -85), [2, 0, 3], 3.7.ag_bc_adh 
(-6, 28, -83), [2, 0, 1], 3.7.ag_bc_adf 
(-6, 28, -81), [2, 0, 3], 3.7.ag_bc_add 
(-6, 28, -79), [2, 0, 1], 3.7.ag_bc_adb 
(-6, 30, -87), [2, 2, 1], 3.7.ag_be_adj 
(-6, 30, -85), [2, 2, 3], 3.7.ag_be_adh 
(-5, -2, 44), [3, 2, 0], 3.7.af_ac_bs 
(-5, -1, 39), [3, 3, 3], 3.7.af_ab_bn 
(-5, 0, 33), [3, 0, 1], 3.7.af_a_bh 
(-5, 2, 23), [3, 2, 3], 3.7.af_c_x 
(-5, 2, 24), [3, 2, 0], 3.7.af_c_y 
(-5, 3, 19), [3, 3, 3], 3.7.af_d_t 
(-5, 4, 12), [3, 0, 0], 3.7.af_e_m 
(-5, 4, 13), [3, 0, 1], 3.7.af_e_n 
(-5, 5, 8), [3, 1, 0], 3.7.af_f_i 
(-5, 5, 12), [3, 1, 0], 3.7.af_f_m 
(-5, 6, 3), [3, 2, 3], 3.7.af_g_d 
(-5, 6, 4), [3, 2, 0], 3.7.af_g_e 
(-5, 7, -4), [3, 3, 0], 3.7.af_h_ae 
(-5, 8, -9), [3, 0, 3], 3.7.af_i_aj 
(-5, 8, -8), [3, 0, 0], 3.7.af_i_ai 
(-5, 8, -3), [3, 0, 1], 3.7.af_i_ad 
(-5, 10, -17), [3, 2, 3], 3.7.af_k_ar 
(-5, 10, -13), [3, 2, 3], 3.7.af_k_an 
(-5, 10, -11), [3, 2, 1], 3.7.af_k_al 
(-5, 12, -29), [3, 0, 3], 3.7.af_m_abd 
(-5, 12, -27), [3, 0, 1], 3.7.af_m_abb 
(-5, 12, -23), [3, 0, 1], 3.7.af_m_ax 
(-5, 12, -19), [3, 0, 1], 3.7.af_m_at 
(-5, 13, -34), [3, 1, 2], 3.7.af_n_abi 
(-5, 14, -41), [3, 2, 3], 3.7.af_o_abp 
(-5, 14, -39), [3, 2, 1], 3.7.af_o_abn 
(-5, 14, -37), [3, 2, 3], 3.7.af_o_abl 
(-5, 14, -33), [3, 2, 3], 3.7.af_o_abh 
(-5, 14, -29), [3, 2, 3], 3.7.af_o_abd 
(-5, 14, -27), [3, 2, 1], 3.7.af_o_abb 
(-5, 16, -51), [3, 0, 1], 3.7.af_q_abz 
(-5, 16, -47), [3, 0, 1], 3.7.af_q_abv 
(-5, 16, -43), [3, 0, 1], 3.7.af_q_abr 
(-5, 16, -41), [3, 0, 3], 3.7.af_q_abp 
(-5, 16, -39), [3, 0, 1], 3.7.af_q_abn 
(-5, 18, -61), [3, 2, 3], 3.7.af_s_acj 
(-5, 18, -59), [3, 2, 1], 3.7.af_s_ach 
(-5, 18, -57), [3, 2, 3], 3.7.af_s_acf 
(-5, 18, -53), [3, 2, 3], 3.7.af_s_acb 
(-5, 18, -51), [3, 2, 1], 3.7.af_s_abz 
(-5, 18, -47), [3, 2, 1], 3.7.af_s_abv 
(-5, 18, -45), [3, 2, 3], 3.7.af_s_abt 
(-5, 20, -69), [3, 0, 3], 3.7.af_u_acr 
(-5, 20, -67), [3, 0, 1], 3.7.af_u_acp 
(-5, 20, -61), [3, 0, 3], 3.7.af_u_acj 
(-5, 20, -59), [3, 0, 1], 3.7.af_u_ach 
(-5, 20, -57), [3, 0, 3], 3.7.af_u_acf 
(-5, 20, -55), [3, 0, 1], 3.7.af_u_acd 
(-5, 20, -53), [3, 0, 3], 3.7.af_u_acb 
(-5, 20, -51), [3, 0, 1], 3.7.af_u_abz 
(-5, 22, -69), [3, 2, 3], 3.7.af_w_acr 
(-5, 22, -68), [3, 2, 0], 3.7.af_w_acq 
(-5, 22, -65), [3, 2, 3], 3.7.af_w_acn 
(-5, 22, -61), [3, 2, 3], 3.7.af_w_acj 
(-5, 22, -59), [3, 2, 1], 3.7.af_w_ach 
(-5, 22, -57), [3, 2, 3], 3.7.af_w_acf 
