(-12, 69, -243), [4, 5, 5], 3.8.am_cr_ajj 
(-11, 58, -197), [5, 2, 3], 3.8.al_cg_ahp 
(-11, 59, -203), [5, 3, 5], 3.8.al_ch_ahv 
(-11, 60, -207), [5, 4, 1], 3.8.al_ci_ahz 
(-11, 61, -213), [5, 5, 3], 3.8.al_cj_aif 
(-11, 62, -217), [5, 6, 7], 3.8.al_ck_aij 
(-10, 47, -151), [6, 7, 1], 3.8.ak_bv_afv 
(-10, 49, -161), [6, 1, 7], 3.8.ak_bx_agf 
(-10, 50, -167), [6, 2, 1], 3.8.ak_by_agl 
(-10, 51, -173), [6, 3, 3], 3.8.ak_bz_agr 
(-10, 51, -171), [6, 3, 5], 3.8.ak_bz_agp 
(-10, 52, -177), [6, 4, 7], 3.8.ak_ca_agv 
(-10, 53, -185), [6, 5, 7], 3.8.ak_cb_ahd 
(-10, 53, -183), [6, 5, 1], 3.8.ak_cb_ahb 
(-10, 53, -181), [6, 5, 3], 3.8.ak_cb_agz 
(-10, 55, -189), [6, 7, 3], 3.8.ak_cd_ahh 
(-9, 38, -115), [7, 6, 5], 3.8.aj_bm_ael 
(-9, 40, -127), [7, 0, 1], 3.8.aj_bo_aex 
(-9, 40, -125), [7, 0, 3], 3.8.aj_bo_aev 
(-9, 41, -131), [7, 1, 5], 3.8.aj_bp_afb 
(-9, 42, -137), [7, 2, 7], 3.8.aj_bq_afh 
(-9, 42, -135), [7, 2, 1], 3.8.aj_bq_aff 
(-9, 44, -149), [7, 4, 3], 3.8.aj_bs_aft 
(-9, 44, -147), [7, 4, 5], 3.8.aj_bs_afr 
(-9, 44, -145), [7, 4, 7], 3.8.aj_bs_afp 
(-9, 44, -143), [7, 4, 1], 3.8.aj_bs_afn 
(-9, 45, -155), [7, 5, 5], 3.8.aj_bt_afz 
(-9, 46, -159), [7, 6, 1], 3.8.aj_bu_agd 
(-9, 46, -157), [7, 6, 3], 3.8.aj_bu_agb 
(-9, 46, -155), [7, 6, 5], 3.8.aj_bu_afz 
(-9, 46, -153), [7, 6, 7], 3.8.aj_bu_afx 
(-9, 47, -161), [7, 7, 7], 3.8.aj_bv_agf 
(-9, 47, -157), [7, 7, 3], 3.8.aj_bv_agb 
(-9, 48, -163), [7, 0, 5], 3.8.aj_bw_agh 
(-9, 48, -161), [7, 0, 7], 3.8.aj_bw_agf 
(-8, 23, -47), [0, 7, 1], 3.8.ai_x_abv 
(-8, 27, -69), [0, 3, 3], 3.8.ai_bb_acr 
(-8, 29, -81), [0, 5, 7], 3.8.ai_bd_add 
(-8, 29, -79), [0, 5, 1], 3.8.ai_bd_adb 
(-8, 31, -91), [0, 7, 5], 3.8.ai_bf_adn 
(-8, 31, -89), [0, 7, 7], 3.8.ai_bf_adl 
(-8, 33, -103), [0, 1, 1], 3.8.ai_bh_adz 
(-8, 33, -101), [0, 1, 3], 3.8.ai_bh_adx 
(-8, 33, -99), [0, 1, 5], 3.8.ai_bh_adv 
(-8, 35, -115), [0, 3, 5], 3.8.ai_bj_ael 
(-8, 35, -113), [0, 3, 7], 3.8.ai_bj_aej 
(-8, 35, -111), [0, 3, 1], 3.8.ai_bj_aeh 
(-8, 35, -109), [0, 3, 3], 3.8.ai_bj_aef 
(-8, 35, -107), [0, 3, 5], 3.8.ai_bj_aed 
