(-13, 81, -305), [5, 0, 1], 3.9.an_dd_alt 
(-12, 68, -245), [6, 5, 7], 3.9.am_cq_ajl 
(-12, 70, -257), [6, 7, 4], 3.9.am_cs_ajx 
(-12, 71, -263), [6, 8, 7], 3.9.am_ct_akd 
(-12, 71, -262), [6, 8, 8], 3.9.am_ct_akc 
(-12, 72, -269), [6, 0, 1], 3.9.am_cu_akj 
(-11, 57, -197), [7, 3, 1], 3.9.al_cf_ahp 
(-11, 59, -209), [7, 5, 7], 3.9.al_ch_aib 
(-11, 60, -215), [7, 6, 1], 3.9.al_ci_aih 
(-11, 60, -214), [7, 6, 2], 3.9.al_ci_aig 
(-11, 61, -221), [7, 7, 4], 3.9.al_cj_ain 
(-11, 61, -220), [7, 7, 5], 3.9.al_cj_aim 
(-11, 62, -227), [7, 8, 7], 3.9.al_ck_ait 
(-11, 62, -224), [7, 8, 1], 3.9.al_ck_aiq 
(-11, 63, -233), [7, 0, 1], 3.9.al_cl_aiz 
(-11, 63, -232), [7, 0, 2], 3.9.al_cl_aiy 
(-11, 63, -229), [7, 0, 5], 3.9.al_cl_aiv 
(-11, 64, -235), [7, 1, 8], 3.9.al_cm_ajb 
(-11, 65, -239), [7, 2, 4], 3.9.al_cn_ajf 
(-10, 45, -143), [8, 0, 1], 3.9.ak_bt_afn 
(-10, 46, -149), [8, 1, 4], 3.9.ak_bu_aft 
(-10, 47, -154), [8, 2, 8], 3.9.ak_bv_afy 
(-10, 48, -161), [8, 3, 1], 3.9.ak_bw_agf 
(-10, 49, -166), [8, 4, 5], 3.9.ak_bx_agk 
(-10, 50, -173), [8, 5, 7], 3.9.ak_by_agr 
(-10, 50, -172), [8, 5, 8], 3.9.ak_by_agq 
(-10, 51, -179), [8, 6, 1], 3.9.ak_bz_agx 
(-10, 52, -185), [8, 7, 4], 3.9.ak_ca_ahd 
(-10, 52, -182), [8, 7, 7], 3.9.ak_ca_aha 
(-10, 52, -181), [8, 7, 8], 3.9.ak_ca_agz 
(-10, 53, -191), [8, 8, 7], 3.9.ak_cb_ahj 
(-10, 53, -187), [8, 8, 2], 3.9.ak_cb_ahf 
(-10, 54, -197), [8, 0, 1], 3.9.ak_cc_ahp 
(-10, 54, -196), [8, 0, 2], 3.9.ak_cc_aho 
(-10, 54, -193), [8, 0, 5], 3.9.ak_cc_ahl 
(-10, 54, -191), [8, 0, 7], 3.9.ak_cc_ahj 
(-10, 55, -202), [8, 1, 5], 3.9.ak_cd_ahu 
(-10, 55, -197), [8, 1, 1], 3.9.ak_cd_ahp 
(-10, 56, -205), [8, 2, 2], 3.9.ak_ce_ahx 
(-10, 56, -203), [8, 2, 4], 3.9.ak_ce_ahv 
(-10, 56, -202), [8, 2, 5], 3.9.ak_ce_ahu 
(-10, 57, -206), [8, 3, 1], 3.9.ak_cf_ahy 
(-10, 58, -209), [8, 4, 7], 3.9.ak_cg_aib 
(-9, 34, -95), [0, 7, 4], 3.9.aj_bi_adr 
(-9, 35, -101), [0, 8, 7], 3.9.aj_bj_adx 
(-9, 37, -113), [0, 1, 4], 3.9.aj_bl_aej 
(-9, 38, -119), [0, 2, 7], 3.9.aj_bm_aep 
(-9, 40, -131), [0, 4, 4], 3.9.aj_bo_afb 
(-9, 40, -130), [0, 4, 5], 3.9.aj_bo_afa 
(-9, 42, -143), [0, 6, 1], 3.9.aj_bq_afn 
(-9, 42, -139), [0, 6, 5], 3.9.aj_bq_afj 
(-9, 43, -148), [0, 7, 5], 3.9.aj_br_afs 
(-9, 44, -155), [0, 8, 7], 3.9.aj_bs_afz 
(-9, 44, -154), [0, 8, 8], 3.9.aj_bs_afy 
(-9, 44, -151), [0, 8, 2], 3.9.aj_bs_afv 
(-9, 44, -149), [0, 8, 4], 3.9.aj_bs_aft 
(-9, 44, -148), [0, 8, 5], 3.9.aj_bs_afs 
(-9, 45, -160), [0, 0, 2], 3.9.aj_bt_age 
(-9, 46, -167), [0, 1, 4], 3.9.aj_bu_agl 
(-9, 46, -164), [0, 1, 7], 3.9.aj_bu_agi 
(-9, 46, -163), [0, 1, 8], 3.9.aj_bu_agh 
(-9, 46, -161), [0, 1, 1], 3.9.aj_bu_agf 
(-9, 47, -173), [0, 2, 7], 3.9.aj_bv_agr 
(-9, 47, -172), [0, 2, 8], 3.9.aj_bv_agq 
(-9, 47, -169), [0, 2, 2], 3.9.aj_bv_agn 
(-9, 47, -167), [0, 2, 4], 3.9.aj_bv_agl 
(-9, 48, -173), [0, 3, 7], 3.9.aj_bw_agr 
(-9, 48, -170), [0, 3, 1], 3.9.aj_bw_ago 
(-9, 48, -169), [0, 3, 2], 3.9.aj_bw_agn 
(-9, 49, -175), [0, 4, 5], 3.9.aj_bx_agt 
(-9, 49, -173), [0, 4, 7], 3.9.aj_bx_agr 
(-9, 50, -179), [0, 5, 1], 3.9.aj_by_agx 
(-9, 50, -176), [0, 5, 4], 3.9.aj_by_agu 
(-9, 50, -175), [0, 5, 5], 3.9.aj_by_agt 
(-9, 51, -179), [0, 6, 1], 3.9.aj_bz_agx 
(-8, 22, -41), [1, 4, 4], 3.9.ai_w_abp 
(-8, 23, -47), [1, 5, 7], 3.9.ai_x_abv 
(-8, 24, -53), [1, 6, 1], 3.9.ai_y_acb 
(-8, 24, -52), [1, 6, 2], 3.9.ai_y_aca 
(-8, 26, -65), [1, 8, 7], 3.9.ai_ba_acn 
(-8, 28, -77), [1, 1, 4], 3.9.ai_bc_acz 
(-8, 30, -89), [1, 3, 1], 3.9.ai_be_adl 
(-8, 30, -85), [1, 3, 5], 3.9.ai_be_adh 
(-8, 31, -95), [1, 4, 4], 3.9.ai_bf_adr 
(-8, 32, -101), [1, 5, 7], 3.9.ai_bg_adx 
(-8, 32, -97), [1, 5, 2], 3.9.ai_bg_adt 
(-8, 32, -95), [1, 5, 4], 3.9.ai_bg_adr 
(-8, 34, -113), [1, 7, 4], 3.9.ai_bi_aej 
(-8, 34, -109), [1, 7, 8], 3.9.ai_bi_aef 
(-8, 34, -107), [1, 7, 1], 3.9.ai_bi_aed 
(-8, 35, -113), [1, 8, 4], 3.9.ai_bj_aej 
(-8, 36, -125), [1, 0, 1], 3.9.ai_bk_aev 
(-8, 36, -121), [1, 0, 5], 3.9.ai_bk_aer 
(-8, 36, -119), [1, 0, 7], 3.9.ai_bk_aep 
(-8, 36, -115), [1, 0, 2], 3.9.ai_bk_ael 
(-8, 37, -130), [1, 1, 5], 3.9.ai_bl_afa 
(-8, 38, -137), [1, 2, 7], 3.9.ai_bm_afh 
