(-12, 69, -266), [10, 3, 9], 3.11.am_cr_akg 
(-12, 73, -292), [10, 7, 5], 3.11.am_cv_alg 
(-12, 73, -291), [10, 7, 6], 3.11.am_cv_alf 
(-12, 74, -296), [10, 8, 1], 3.11.am_cw_alk 
(-12, 75, -305), [10, 9, 3], 3.11.am_cx_alt 
(-12, 75, -303), [10, 9, 5], 3.11.am_cx_alr 
(-12, 75, -302), [10, 9, 6], 3.11.am_cx_alq 
(-12, 77, -313), [10, 0, 6], 3.11.am_cz_amb 
(-11, 55, -195), [0, 0, 3], 3.11.al_cd_ahn 
(-11, 57, -207), [0, 2, 2], 3.11.al_cf_ahz 
(-11, 58, -214), [0, 3, 6], 3.11.al_cg_aig 
(-11, 60, -228), [0, 5, 3], 3.11.al_ci_aiu 
(-11, 61, -234), [0, 6, 8], 3.11.al_cj_aja 
(-11, 61, -233), [0, 6, 9], 3.11.al_cj_aiz 
(-11, 62, -240), [0, 7, 2], 3.11.al_ck_ajg 
(-11, 62, -238), [0, 7, 4], 3.11.al_ck_aje 
(-11, 63, -246), [0, 8, 7], 3.11.al_cl_ajm 
(-11, 63, -245), [0, 8, 8], 3.11.al_cl_ajl 
(-11, 63, -244), [0, 8, 9], 3.11.al_cl_ajk 
(-11, 63, -243), [0, 8, 10], 3.11.al_cl_ajj 
(-11, 63, -241), [0, 8, 1], 3.11.al_cl_ajh 
(-11, 64, -252), [0, 9, 1], 3.11.al_cm_ajs 
(-11, 65, -261), [0, 10, 3], 3.11.al_cn_akb 
(-11, 65, -259), [0, 10, 5], 3.11.al_cn_ajz 
(-11, 65, -257), [0, 10, 7], 3.11.al_cn_ajx 
(-11, 65, -255), [0, 10, 9], 3.11.al_cn_ajv 
(-11, 66, -258), [0, 0, 6], 3.11.al_co_ajy 
(-11, 67, -273), [0, 1, 2], 3.11.al_cp_akn 
(-11, 67, -269), [0, 1, 6], 3.11.al_cp_akj 
(-11, 67, -267), [0, 1, 8], 3.11.al_cp_akh 
(-11, 69, -277), [0, 3, 9], 3.11.al_cr_akr 
(-11, 69, -276), [0, 3, 10], 3.11.al_cr_akq 
(-11, 69, -273), [0, 3, 2], 3.11.al_cr_akn 
(-10, 39, -111), [1, 6, 10], 3.11.ak_bn_aeh 
(-10, 43, -138), [1, 10, 5], 3.11.ak_br_afi 
(-10, 44, -144), [1, 0, 10], 3.11.ak_bs_afo 
(-10, 45, -150), [1, 1, 4], 3.11.ak_bt_afu 
(-10, 46, -156), [1, 2, 9], 3.11.ak_bu_aga 
(-10, 47, -164), [1, 3, 1], 3.11.ak_bv_agi 
(-10, 47, -163), [1, 3, 2], 3.11.ak_bv_agh 
(-10, 47, -162), [1, 3, 3], 3.11.ak_bv_agg 
(-10, 47, -161), [1, 3, 4], 3.11.ak_bv_agf 
(-10, 48, -168), [1, 4, 8], 3.11.ak_bw_agm 
(-10, 49, -174), [1, 5, 2], 3.11.ak_bx_ags 
(-10, 49, -173), [1, 5, 3], 3.11.ak_bx_agr 
(-10, 50, -184), [1, 6, 3], 3.11.ak_by_ahc 
(-10, 51, -190), [1, 7, 8], 3.11.ak_bz_ahi 
(-10, 51, -189), [1, 7, 9], 3.11.ak_bz_ahh 
(-10, 51, -188), [1, 7, 10], 3.11.ak_bz_ahg 
(-10, 51, -186), [1, 7, 1], 3.11.ak_bz_ahe 
(-10, 51, -183), [1, 7, 4], 3.11.ak_bz_ahb 
(-10, 52, -196), [1, 8, 2], 3.11.ak_ca_aho 
(-10, 52, -194), [1, 8, 4], 3.11.ak_ca_ahm 
(-10, 52, -192), [1, 8, 6], 3.11.ak_ca_ahk 
(-10, 53, -203), [1, 9, 6], 3.11.ak_cb_ahv 
(-10, 53, -202), [1, 9, 7], 3.11.ak_cb_ahu 
(-10, 53, -200), [1, 9, 9], 3.11.ak_cb_ahs 
(-10, 53, -197), [1, 9, 1], 3.11.ak_cb_ahp 
(-10, 54, -210), [1, 10, 10], 3.11.ak_cc_aic 
(-10, 54, -206), [1, 10, 3], 3.11.ak_cc_ahy 
(-10, 54, -204), [1, 10, 5], 3.11.ak_cc_ahw 
(-10, 55, -216), [1, 0, 4], 3.11.ak_cd_aii 
(-10, 55, -215), [1, 0, 5], 3.11.ak_cd_aih 
(-10, 55, -214), [1, 0, 6], 3.11.ak_cd_aig 
(-10, 55, -213), [1, 0, 7], 3.11.ak_cd_aif 
(-10, 55, -211), [1, 0, 9], 3.11.ak_cd_aid 
(-10, 55, -210), [1, 0, 10], 3.11.ak_cd_aic 
(-10, 55, -207), [1, 0, 2], 3.11.ak_cd_ahz 
(-10, 55, -206), [1, 0, 3], 3.11.ak_cd_ahy 
(-10, 56, -224), [1, 1, 7], 3.11.ak_ce_aiq 
(-10, 56, -222), [1, 1, 9], 3.11.ak_ce_aio 
(-10, 56, -218), [1, 1, 2], 3.11.ak_ce_aik 
(-10, 56, -212), [1, 1, 8], 3.11.ak_ce_aie 
(-10, 57, -230), [1, 2, 1], 3.11.ak_cf_aiw 
(-10, 57, -228), [1, 2, 3], 3.11.ak_cf_aiu 
(-10, 57, -227), [1, 2, 4], 3.11.ak_cf_ait 
(-10, 57, -226), [1, 2, 5], 3.11.ak_cf_ais 
(-10, 57, -225), [1, 2, 6], 3.11.ak_cf_air 
(-10, 57, -224), [1, 2, 7], 3.11.ak_cf_aiq 
(-10, 57, -223), [1, 2, 8], 3.11.ak_cf_aip 
(-10, 57, -222), [1, 2, 9], 3.11.ak_cf_aio 
(-10, 57, -221), [1, 2, 10], 3.11.ak_cf_ain 
(-10, 57, -218), [1, 2, 2], 3.11.ak_cf_aik 
(-10, 57, -217), [1, 2, 3], 3.11.ak_cf_aij 
(-10, 57, -216), [1, 2, 4], 3.11.ak_cf_aii 
(-10, 58, -230), [1, 3, 1], 3.11.ak_cg_aiw 
(-10, 58, -228), [1, 3, 3], 3.11.ak_cg_aiu 
(-10, 59, -239), [1, 4, 3], 3.11.ak_ch_ajf 
(-10, 59, -238), [1, 4, 4], 3.11.ak_ch_aje 
(-10, 59, -236), [1, 4, 6], 3.11.ak_ch_ajc 
(-10, 59, -234), [1, 4, 8], 3.11.ak_ch_aja 
(-10, 59, -230), [1, 4, 1], 3.11.ak_ch_aiw 
(-10, 59, -229), [1, 4, 2], 3.11.ak_ch_aiv 
(-10, 59, -227), [1, 4, 4], 3.11.ak_ch_ait 
(-10, 59, -226), [1, 4, 5], 3.11.ak_ch_ais 
(-10, 60, -240), [1, 5, 2], 3.11.ak_ci_ajg 
(-10, 60, -236), [1, 5, 6], 3.11.ak_ci_ajc 
(-10, 61, -240), [1, 6, 2], 3.11.ak_cj_ajg 
(-10, 61, -238), [1, 6, 4], 3.11.ak_cj_aje 
(-10, 61, -237), [1, 6, 5], 3.11.ak_cj_ajd 
(-10, 63, -246), [1, 8, 7], 3.11.ak_cl_ajm 
(-9, 29, -67), [2, 7, 10], 3.11.aj_bd_acp 
(-9, 31, -80), [2, 9, 8], 3.11.aj_bf_adc 
(-9, 31, -79), [2, 9, 9], 3.11.aj_bf_adb 
(-9, 32, -86), [2, 10, 2], 3.11.aj_bg_adi 
(-9, 33, -93), [2, 0, 6], 3.11.aj_bh_adp 
(-9, 33, -92), [2, 0, 7], 3.11.aj_bh_ado 
(-9, 33, -91), [2, 0, 8], 3.11.aj_bh_adn 
(-9, 34, -100), [2, 1, 10], 3.11.aj_bi_adw 
(-9, 34, -98), [2, 1, 1], 3.11.aj_bi_adu 
(-9, 35, -106), [2, 2, 4], 3.11.aj_bj_aec 
(-9, 35, -105), [2, 2, 5], 3.11.aj_bj_aeb 
(-9, 35, -104), [2, 2, 6], 3.11.aj_bj_aea 
(-9, 35, -103), [2, 2, 7], 3.11.aj_bj_adz 
(-9, 37, -120), [2, 4, 1], 3.11.aj_bl_aeq 
(-9, 37, -119), [2, 4, 2], 3.11.aj_bl_aep 
(-9, 37, -117), [2, 4, 4], 3.11.aj_bl_aen 
(-9, 37, -116), [2, 4, 5], 3.11.aj_bl_aem 
(-9, 38, -126), [2, 5, 6], 3.11.aj_bm_aew 
(-9, 38, -124), [2, 5, 8], 3.11.aj_bm_aeu 
(-9, 38, -122), [2, 5, 10], 3.11.aj_bm_aes 
(-9, 39, -133), [2, 6, 10], 3.11.aj_bn_afd 
(-9, 39, -131), [2, 6, 1], 3.11.aj_bn_afb 
(-9, 39, -130), [2, 6, 2], 3.11.aj_bn_afa 
(-9, 39, -129), [2, 6, 3], 3.11.aj_bn_aez 
(-9, 39, -127), [2, 6, 5], 3.11.aj_bn_aex 
(-9, 39, -125), [2, 6, 7], 3.11.aj_bn_aev 
(-9, 40, -138), [2, 7, 5], 3.11.aj_bo_afi 
(-9, 40, -134), [2, 7, 9], 3.11.aj_bo_afe 
(-9, 41, -146), [2, 8, 8], 3.11.aj_bp_afq 
(-9, 41, -145), [2, 8, 9], 3.11.aj_bp_afp 
(-9, 41, -144), [2, 8, 10], 3.11.aj_bp_afo 
(-9, 41, -142), [2, 8, 1], 3.11.aj_bp_afm 
(-9, 41, -141), [2, 8, 2], 3.11.aj_bp_afl 
(-9, 41, -140), [2, 8, 3], 3.11.aj_bp_afk 
(-9, 41, -139), [2, 8, 4], 3.11.aj_bp_afj 
(-9, 41, -137), [2, 8, 6], 3.11.aj_bp_afh 
(-9, 42, -150), [2, 9, 4], 3.11.aj_bq_afu 
(-9, 42, -148), [2, 9, 6], 3.11.aj_bq_afs 
(-9, 42, -146), [2, 9, 8], 3.11.aj_bq_afq 
(-9, 42, -142), [2, 9, 1], 3.11.aj_bq_afm 
(-9, 43, -160), [2, 10, 5], 3.11.aj_br_age 
(-9, 43, -159), [2, 10, 6], 3.11.aj_br_agd 
(-9, 43, -157), [2, 10, 8], 3.11.aj_br_agb 
(-9, 43, -156), [2, 10, 9], 3.11.aj_br_aga 
(-9, 43, -155), [2, 10, 10], 3.11.aj_br_afz 
(-9, 43, -153), [2, 10, 1], 3.11.aj_br_afx 
(-9, 43, -152), [2, 10, 2], 3.11.aj_br_afw 
(-9, 43, -151), [2, 10, 3], 3.11.aj_br_afv 
(-9, 44, -166), [2, 0, 10], 3.11.aj_bs_agk 
(-9, 44, -164), [2, 0, 1], 3.11.aj_bs_agi 
(-9, 44, -160), [2, 0, 5], 3.11.aj_bs_age 
(-9, 44, -158), [2, 0, 7], 3.11.aj_bs_agc 
(-9, 45, -173), [2, 1, 3], 3.11.aj_bt_agr 
(-9, 45, -172), [2, 1, 4], 3.11.aj_bt_agq 
(-9, 45, -171), [2, 1, 5], 3.11.aj_bt_agp 
(-9, 45, -170), [2, 1, 6], 3.11.aj_bt_ago 
(-9, 45, -169), [2, 1, 7], 3.11.aj_bt_agn 
(-9, 45, -168), [2, 1, 8], 3.11.aj_bt_agm 
(-9, 45, -167), [2, 1, 9], 3.11.aj_bt_agl 
(-9, 45, -164), [2, 1, 1], 3.11.aj_bt_agi 
(-9, 45, -163), [2, 1, 2], 3.11.aj_bt_agh 
(-9, 45, -161), [2, 1, 4], 3.11.aj_bt_agf 
(-9, 45, -160), [2, 1, 5], 3.11.aj_bt_age 
(-9, 45, -159), [2, 1, 6], 3.11.aj_bt_agd 
(-9, 46, -180), [2, 2, 7], 3.11.aj_bu_agy 
(-9, 46, -178), [2, 2, 9], 3.11.aj_bu_agw 
(-9, 46, -174), [2, 2, 2], 3.11.aj_bu_ags 
(-9, 46, -172), [2, 2, 4], 3.11.aj_bu_agq 
(-9, 46, -166), [2, 2, 10], 3.11.aj_bu_agk 
(-9, 47, -185), [2, 3, 2], 3.11.aj_bv_ahd 
(-9, 47, -183), [2, 3, 4], 3.11.aj_bv_ahb 
(-9, 47, -182), [2, 3, 5], 3.11.aj_bv_aha 
(-9, 47, -181), [2, 3, 6], 3.11.aj_bv_agz 
(-9, 47, -180), [2, 3, 7], 3.11.aj_bv_agy 
(-9, 47, -179), [2, 3, 8], 3.11.aj_bv_agx 
(-9, 47, -178), [2, 3, 9], 3.11.aj_bv_agw 
(-9, 47, -177), [2, 3, 10], 3.11.aj_bv_agv 
(-9, 47, -175), [2, 3, 1], 3.11.aj_bv_agt 
(-9, 47, -173), [2, 3, 3], 3.11.aj_bv_agr 
(-9, 47, -172), [2, 3, 4], 3.11.aj_bv_agq 
(-9, 47, -171), [2, 3, 5], 3.11.aj_bv_agp 
(-9, 47, -170), [2, 3, 6], 3.11.aj_bv_ago 
(-9, 47, -169), [2, 3, 7], 3.11.aj_bv_agn 
(-9, 48, -192), [2, 4, 6], 3.11.aj_bw_ahk 
(-9, 48, -190), [2, 4, 8], 3.11.aj_bw_ahi 
(-9, 48, -188), [2, 4, 10], 3.11.aj_bw_ahg 
(-9, 48, -186), [2, 4, 1], 3.11.aj_bw_ahe 
(-9, 48, -184), [2, 4, 3], 3.11.aj_bw_ahc 
(-9, 48, -182), [2, 4, 5], 3.11.aj_bw_aha 
(-9, 48, -174), [2, 4, 2], 3.11.aj_bw_ags 
(-9, 49, -199), [2, 5, 10], 3.11.aj_bx_ahr 
(-9, 49, -197), [2, 5, 1], 3.11.aj_bx_ahp 
(-9, 49, -195), [2, 5, 3], 3.11.aj_bx_ahn 
(-9, 49, -194), [2, 5, 4], 3.11.aj_bx_ahm 
(-9, 49, -193), [2, 5, 5], 3.11.aj_bx_ahl 
(-9, 49, -191), [2, 5, 7], 3.11.aj_bx_ahj 
(-9, 49, -190), [2, 5, 8], 3.11.aj_bx_ahi 
(-9, 49, -189), [2, 5, 9], 3.11.aj_bx_ahh 
(-9, 49, -188), [2, 5, 10], 3.11.aj_bx_ahg 
(-9, 49, -185), [2, 5, 2], 3.11.aj_bx_ahd 
(-9, 49, -184), [2, 5, 3], 3.11.aj_bx_ahc 
(-9, 49, -183), [2, 5, 4], 3.11.aj_bx_ahb 
(-9, 49, -181), [2, 5, 6], 3.11.aj_bx_agz 
(-9, 49, -180), [2, 5, 7], 3.11.aj_bx_agy 
(-9, 49, -179), [2, 5, 8], 3.11.aj_bx_agx 
(-9, 50, -202), [2, 6, 7], 3.11.aj_by_ahu 
(-9, 50, -200), [2, 6, 9], 3.11.aj_by_ahs 
(-9, 50, -196), [2, 6, 2], 3.11.aj_by_aho 
(-9, 50, -194), [2, 6, 4], 3.11.aj_by_ahm 
(-9, 50, -190), [2, 6, 8], 3.11.aj_by_ahi 
(-9, 50, -188), [2, 6, 10], 3.11.aj_by_ahg 
(-9, 51, -207), [2, 7, 2], 3.11.aj_bz_ahz 
(-9, 51, -205), [2, 7, 4], 3.11.aj_bz_ahx 
(-9, 51, -204), [2, 7, 5], 3.11.aj_bz_ahw 
(-9, 51, -203), [2, 7, 6], 3.11.aj_bz_ahv 
(-9, 51, -202), [2, 7, 7], 3.11.aj_bz_ahu 
(-9, 51, -201), [2, 7, 8], 3.11.aj_bz_aht 
(-9, 51, -200), [2, 7, 9], 3.11.aj_bz_ahs 
(-9, 51, -199), [2, 7, 10], 3.11.aj_bz_ahr 
(-9, 51, -197), [2, 7, 1], 3.11.aj_bz_ahp 
(-9, 51, -196), [2, 7, 2], 3.11.aj_bz_aho 
(-9, 51, -195), [2, 7, 3], 3.11.aj_bz_ahn 
