(-14, 96, -422), [2, 0, 2], 3.13.ao_ds_aqg 
(-14, 97, -428), [2, 1, 0], 3.13.ao_dt_aqm 
(-14, 99, -440), [2, 3, 0], 3.13.ao_dv_aqy 
(-14, 100, -446), [2, 0, 2], 3.13.ao_dw_are 
(-13, 81, -339), [3, 1, 1], 3.13.an_dd_anb 
(-13, 81, -337), [3, 1, 3], 3.13.an_dd_amz 
(-13, 83, -353), [3, 3, 3], 3.13.an_df_anp 
(-13, 84, -360), [3, 0, 0], 3.13.an_dg_anw 
(-13, 85, -363), [3, 1, 1], 3.13.an_dh_anz 
(-13, 86, -374), [3, 2, 2], 3.13.an_di_aok 
(-13, 86, -372), [3, 2, 0], 3.13.an_di_aoi 
(-13, 86, -370), [3, 2, 2], 3.13.an_di_aog 
(-13, 87, -382), [3, 3, 2], 3.13.an_dj_aos 
(-13, 87, -376), [3, 3, 0], 3.13.an_dj_aom 
(-13, 87, -375), [3, 3, 1], 3.13.an_dj_aol 
(-13, 88, -388), [3, 0, 0], 3.13.an_dk_aoy 
(-13, 88, -384), [3, 0, 0], 3.13.an_dk_aou 
(-13, 89, -395), [3, 1, 1], 3.13.an_dl_apf 
(-13, 89, -393), [3, 1, 3], 3.13.an_dl_apd 
(-13, 89, -389), [3, 1, 3], 3.13.an_dl_aoz 
(-13, 89, -387), [3, 1, 1], 3.13.an_dl_aox 
(-13, 90, -400), [3, 2, 0], 3.13.an_dm_apk 
(-13, 91, -401), [3, 3, 3], 3.13.an_dn_apl 
(-12, 63, -236), [0, 3, 0], 3.13.am_cl_ajc 
(-12, 65, -250), [0, 1, 2], 3.13.am_cn_ajq 
(-12, 69, -278), [0, 1, 2], 3.13.am_cr_aks 
(-12, 69, -275), [0, 1, 1], 3.13.am_cr_akp 
(-12, 71, -293), [0, 3, 3], 3.13.am_ct_alh 
(-12, 71, -292), [0, 3, 0], 3.13.am_ct_alg 
(-12, 71, -290), [0, 3, 2], 3.13.am_ct_ale 
(-12, 71, -289), [0, 3, 3], 3.13.am_ct_ald 
(-12, 72, -296), [0, 0, 0], 3.13.am_cu_alk 
(-12, 73, -308), [0, 1, 0], 3.13.am_cv_alw 
(-12, 73, -306), [0, 1, 2], 3.13.am_cv_alu 
(-12, 73, -304), [0, 1, 0], 3.13.am_cv_als 
(-12, 73, -303), [0, 1, 1], 3.13.am_cv_alr 
(-12, 73, -302), [0, 1, 2], 3.13.am_cv_alq 
(-12, 73, -301), [0, 1, 3], 3.13.am_cv_alp 
(-12, 74, -314), [0, 2, 2], 3.13.am_cw_amc 
(-12, 74, -310), [0, 2, 2], 3.13.am_cw_aly 
(-12, 74, -308), [0, 2, 0], 3.13.am_cw_alw 
(-12, 75, -321), [0, 3, 3], 3.13.am_cx_amj 
(-12, 75, -320), [0, 3, 0], 3.13.am_cx_ami 
(-12, 75, -318), [0, 3, 2], 3.13.am_cx_amg 
(-12, 75, -316), [0, 3, 0], 3.13.am_cx_ame 
(-12, 75, -315), [0, 3, 1], 3.13.am_cx_amd 
(-12, 75, -314), [0, 3, 2], 3.13.am_cx_amc 
(-12, 75, -313), [0, 3, 3], 3.13.am_cx_amb 
(-12, 76, -324), [0, 0, 0], 3.13.am_cy_amm 
(-12, 77, -334), [0, 1, 2], 3.13.am_cz_amw 
(-12, 77, -332), [0, 1, 0], 3.13.am_cz_amu 
(-12, 77, -331), [0, 1, 1], 3.13.am_cz_amt 
(-12, 77, -330), [0, 1, 2], 3.13.am_cz_ams 
(-12, 77, -329), [0, 1, 3], 3.13.am_cz_amr 
(-12, 77, -328), [0, 1, 0], 3.13.am_cz_amq 
(-12, 77, -326), [0, 1, 2], 3.13.am_cz_amo 
(-12, 78, -344), [0, 2, 0], 3.13.am_da_ang 
(-12, 78, -342), [0, 2, 2], 3.13.am_da_ane 
(-12, 78, -336), [0, 2, 0], 3.13.am_da_amy 
(-12, 78, -334), [0, 2, 2], 3.13.am_da_amw 
(-12, 79, -350), [0, 3, 2], 3.13.am_db_anm 
(-12, 79, -348), [0, 3, 0], 3.13.am_db_ank 
(-12, 79, -346), [0, 3, 2], 3.13.am_db_ani 
(-12, 79, -345), [0, 3, 3], 3.13.am_db_anh 
(-12, 79, -343), [0, 3, 1], 3.13.am_db_anf 
(-12, 79, -342), [0, 3, 2], 3.13.am_db_ane 
(-12, 79, -340), [0, 3, 0], 3.13.am_db_anc 
(-12, 79, -339), [0, 3, 1], 3.13.am_db_anb 
(-12, 80, -352), [0, 0, 0], 3.13.am_dc_ano 
(-12, 80, -350), [0, 0, 2], 3.13.am_dc_anm 
(-12, 80, -346), [0, 0, 2], 3.13.am_dc_ani 
(-12, 81, -355), [0, 1, 1], 3.13.am_dd_anr 
(-12, 81, -354), [0, 1, 2], 3.13.am_dd_anq 
(-12, 81, -353), [0, 1, 3], 3.13.am_dd_anp 
(-12, 81, -349), [0, 1, 3], 3.13.am_dd_anl 
(-12, 83, -362), [0, 3, 2], 3.13.am_df_any 
(-12, 83, -361), [0, 3, 3], 3.13.am_df_anx 
(-12, 83, -359), [0, 3, 1], 3.13.am_df_anv 
(-11, 49, -161), [1, 1, 3], 3.13.al_bx_agf 
(-11, 50, -168), [1, 2, 0], 3.13.al_by_agm 
(-11, 53, -187), [1, 1, 1], 3.13.al_cb_ahf 
(-11, 54, -194), [1, 2, 2], 3.13.al_cc_ahm 
(-11, 55, -204), [1, 3, 0], 3.13.al_cd_ahw 
(-11, 55, -203), [1, 3, 1], 3.13.al_cd_ahv 
(-11, 55, -200), [1, 3, 0], 3.13.al_cd_ahs 
(-11, 56, -210), [1, 0, 2], 3.13.al_ce_aic 
(-11, 57, -218), [1, 1, 2], 3.13.al_cf_aik 
(-11, 57, -217), [1, 1, 3], 3.13.al_cf_aij 
(-11, 57, -215), [1, 1, 1], 3.13.al_cf_aih 
(-11, 57, -213), [1, 1, 3], 3.13.al_cf_aif 
(-11, 58, -224), [1, 2, 0], 3.13.al_cg_aiq 
(-11, 58, -222), [1, 2, 2], 3.13.al_cg_aio 
(-11, 59, -231), [1, 3, 1], 3.13.al_ch_aix 
(-11, 59, -229), [1, 3, 3], 3.13.al_ch_aiv 
(-11, 59, -227), [1, 3, 1], 3.13.al_ch_ait 
(-11, 60, -240), [1, 0, 0], 3.13.al_ci_ajg 
(-11, 60, -238), [1, 0, 2], 3.13.al_ci_aje 
(-11, 60, -236), [1, 0, 0], 3.13.al_ci_ajc 
(-11, 61, -245), [1, 1, 3], 3.13.al_cj_ajl 
(-11, 61, -243), [1, 1, 1], 3.13.al_cj_ajj 
(-11, 61, -242), [1, 1, 2], 3.13.al_cj_aji 
(-11, 61, -241), [1, 1, 3], 3.13.al_cj_ajh 
(-11, 61, -240), [1, 1, 0], 3.13.al_cj_ajg 
(-11, 61, -239), [1, 1, 1], 3.13.al_cj_ajf 
(-11, 62, -254), [1, 2, 2], 3.13.al_ck_aju 
(-11, 62, -252), [1, 2, 0], 3.13.al_ck_ajs 
(-11, 62, -250), [1, 2, 2], 3.13.al_ck_ajq 
(-11, 62, -248), [1, 2, 0], 3.13.al_ck_ajo 
(-11, 63, -261), [1, 3, 3], 3.13.al_cl_akb 
(-11, 63, -259), [1, 3, 1], 3.13.al_cl_ajz 
(-11, 63, -257), [1, 3, 3], 3.13.al_cl_ajx 
(-11, 63, -255), [1, 3, 1], 3.13.al_cl_ajv 
(-11, 63, -254), [1, 3, 2], 3.13.al_cl_aju 
(-11, 63, -253), [1, 3, 3], 3.13.al_cl_ajt 
(-11, 63, -252), [1, 3, 0], 3.13.al_cl_ajs 
(-11, 64, -268), [1, 0, 0], 3.13.al_cm_aki 
(-11, 64, -266), [1, 0, 2], 3.13.al_cm_akg 
(-11, 64, -264), [1, 0, 0], 3.13.al_cm_ake 
(-11, 64, -262), [1, 0, 2], 3.13.al_cm_akc 
(-11, 64, -258), [1, 0, 2], 3.13.al_cm_ajy 
(-11, 65, -275), [1, 1, 1], 3.13.al_cn_akp 
(-11, 65, -274), [1, 1, 2], 3.13.al_cn_ako 
(-11, 65, -271), [1, 1, 1], 3.13.al_cn_akl 
(-11, 65, -270), [1, 1, 2], 3.13.al_cn_akk 
(-11, 65, -269), [1, 1, 3], 3.13.al_cn_akj 
(-11, 65, -268), [1, 1, 0], 3.13.al_cn_aki 
(-11, 65, -267), [1, 1, 1], 3.13.al_cn_akh 
(-11, 65, -265), [1, 1, 3], 3.13.al_cn_akf 
(-11, 65, -264), [1, 1, 0], 3.13.al_cn_ake 
(-11, 65, -263), [1, 1, 1], 3.13.al_cn_akd 
(-11, 66, -280), [1, 2, 0], 3.13.al_co_aku 
(-11, 66, -278), [1, 2, 2], 3.13.al_co_aks 
(-11, 66, -276), [1, 2, 0], 3.13.al_co_akq 
(-11, 66, -274), [1, 2, 2], 3.13.al_co_ako 
(-11, 66, -272), [1, 2, 0], 3.13.al_co_akm 
(-11, 66, -270), [1, 2, 2], 3.13.al_co_akk 
(-11, 67, -290), [1, 3, 2], 3.13.al_cp_ale 
(-11, 67, -289), [1, 3, 3], 3.13.al_cp_ald 
(-11, 67, -288), [1, 3, 0], 3.13.al_cp_alc 
(-11, 67, -287), [1, 3, 1], 3.13.al_cp_alb 
(-11, 67, -285), [1, 3, 3], 3.13.al_cp_akz 
(-11, 67, -284), [1, 3, 0], 3.13.al_cp_aky 
(-11, 67, -283), [1, 3, 1], 3.13.al_cp_akx 
(-11, 67, -282), [1, 3, 2], 3.13.al_cp_akw 
(-11, 67, -281), [1, 3, 3], 3.13.al_cp_akv 
(-11, 67, -279), [1, 3, 1], 3.13.al_cp_akt 
(-11, 67, -278), [1, 3, 2], 3.13.al_cp_aks 
(-11, 67, -277), [1, 3, 3], 3.13.al_cp_akr 
(-11, 67, -275), [1, 3, 1], 3.13.al_cp_akp 
(-11, 68, -294), [1, 0, 2], 3.13.al_cq_ali 
(-11, 68, -292), [1, 0, 0], 3.13.al_cq_alg 
(-11, 68, -288), [1, 0, 0], 3.13.al_cq_alc 
(-11, 68, -284), [1, 0, 0], 3.13.al_cq_aky 
(-11, 68, -282), [1, 0, 2], 3.13.al_cq_akw 
(-11, 69, -303), [1, 1, 1], 3.13.al_cr_alr 
(-11, 69, -302), [1, 1, 2], 3.13.al_cr_alq 
(-11, 69, -297), [1, 1, 3], 3.13.al_cr_all 
(-11, 69, -296), [1, 1, 0], 3.13.al_cr_alk 
(-11, 69, -295), [1, 1, 1], 3.13.al_cr_alj 
(-11, 69, -293), [1, 1, 3], 3.13.al_cr_alh 
(-11, 69, -292), [1, 1, 0], 3.13.al_cr_alg 
(-11, 69, -291), [1, 1, 1], 3.13.al_cr_alf 
(-11, 69, -290), [1, 1, 2], 3.13.al_cr_ale 
(-11, 69, -289), [1, 1, 3], 3.13.al_cr_ald 
(-11, 69, -288), [1, 1, 0], 3.13.al_cr_alc 
(-11, 69, -287), [1, 1, 1], 3.13.al_cr_alb 
(-11, 70, -310), [1, 2, 2], 3.13.al_cs_aly 
(-11, 70, -308), [1, 2, 0], 3.13.al_cs_alw 
(-11, 70, -306), [1, 2, 2], 3.13.al_cs_alu 
(-11, 70, -302), [1, 2, 2], 3.13.al_cs_alq 
(-11, 70, -300), [1, 2, 0], 3.13.al_cs_alo 
(-11, 70, -296), [1, 2, 0], 3.13.al_cs_alk 
(-11, 70, -294), [1, 2, 2], 3.13.al_cs_ali 
(-11, 71, -311), [1, 3, 1], 3.13.al_ct_alz 
(-11, 71, -307), [1, 3, 1], 3.13.al_ct_alv 
(-11, 71, -306), [1, 3, 2], 3.13.al_ct_alu 
(-11, 71, -305), [1, 3, 3], 3.13.al_ct_alt 
(-11, 71, -304), [1, 3, 0], 3.13.al_ct_als 
(-11, 71, -303), [1, 3, 1], 3.13.al_ct_alr 
(-11, 71, -301), [1, 3, 3], 3.13.al_ct_alp 
(-11, 71, -297), [1, 3, 3], 3.13.al_ct_all 
(-11, 72, -314), [1, 0, 2], 3.13.al_cu_amc 
(-11, 72, -310), [1, 0, 2], 3.13.al_cu_aly 
(-11, 72, -308), [1, 0, 0], 3.13.al_cu_alw 
(-11, 72, -302), [1, 0, 2], 3.13.al_cu_alq 
(-11, 73, -315), [1, 1, 1], 3.13.al_cv_amd 
(-11, 73, -314), [1, 1, 2], 3.13.al_cv_amc 
(-11, 73, -313), [1, 1, 3], 3.13.al_cv_amb 
(-11, 73, -311), [1, 1, 1], 3.13.al_cv_alz 
(-11, 73, -309), [1, 1, 3], 3.13.al_cv_alx 
(-11, 73, -308), [1, 1, 0], 3.13.al_cv_alw 
(-11, 73, -307), [1, 1, 1], 3.13.al_cv_alv 
(-11, 75, -320), [1, 3, 0], 3.13.al_cx_ami 
(-11, 75, -317), [1, 3, 3], 3.13.al_cx_amf 
(-11, 77, -327), [1, 1, 1], 3.13.al_cz_amp 
(-10, 37, -100), [2, 1, 0], 3.13.ak_bl_adw 
(-10, 39, -114), [2, 3, 2], 3.13.ak_bn_aek 
(-10, 39, -112), [2, 3, 0], 3.13.ak_bn_aei 
(-10, 41, -129), [2, 1, 3], 3.13.ak_bp_aez 
(-10, 41, -126), [2, 1, 2], 3.13.ak_bp_aew 
(-10, 42, -136), [2, 2, 0], 3.13.ak_bq_afg 
(-10, 42, -132), [2, 2, 0], 3.13.ak_bq_afc 
(-10, 43, -142), [2, 3, 2], 3.13.ak_br_afm 
(-10, 44, -150), [2, 0, 2], 3.13.ak_bs_afu 
(-10, 45, -158), [2, 1, 2], 3.13.ak_bt_agc 
(-10, 45, -157), [2, 1, 3], 3.13.ak_bt_agb 
(-10, 45, -154), [2, 1, 2], 3.13.ak_bt_afy 
(-10, 45, -153), [2, 1, 3], 3.13.ak_bt_afx 
(-10, 47, -172), [2, 3, 0], 3.13.ak_bv_agq 
(-10, 47, -171), [2, 3, 1], 3.13.ak_bv_agp 
(-10, 47, -170), [2, 3, 2], 3.13.ak_bv_ago 
(-10, 47, -168), [2, 3, 0], 3.13.ak_bv_agm 
(-10, 47, -166), [2, 3, 2], 3.13.ak_bv_agk 
(-10, 48, -178), [2, 0, 2], 3.13.ak_bw_agw 
(-10, 48, -174), [2, 0, 2], 3.13.ak_bw_ags 
(-10, 48, -172), [2, 0, 0], 3.13.ak_bw_agq 
(-10, 49, -186), [2, 1, 2], 3.13.ak_bx_ahe 
(-10, 49, -184), [2, 1, 0], 3.13.ak_bx_ahc 
(-10, 49, -181), [2, 1, 3], 3.13.ak_bx_agz 
(-10, 49, -180), [2, 1, 0], 3.13.ak_bx_agy 
(-10, 49, -179), [2, 1, 1], 3.13.ak_bx_agx 
(-10, 49, -178), [2, 1, 2], 3.13.ak_bx_agw 
(-10, 49, -177), [2, 1, 3], 3.13.ak_bx_agv 
(-10, 50, -194), [2, 2, 2], 3.13.ak_by_ahm 
(-10, 50, -192), [2, 2, 0], 3.13.ak_by_ahk 
(-10, 50, -188), [2, 2, 0], 3.13.ak_by_ahg 
(-10, 50, -186), [2, 2, 2], 3.13.ak_by_ahe 
(-10, 50, -184), [2, 2, 0], 3.13.ak_by_ahc 
(-10, 51, -201), [2, 3, 3], 3.13.ak_bz_aht 
(-10, 51, -200), [2, 3, 0], 3.13.ak_bz_ahs 
(-10, 51, -199), [2, 3, 1], 3.13.ak_bz_ahr 
(-10, 51, -198), [2, 3, 2], 3.13.ak_bz_ahq 
(-10, 51, -196), [2, 3, 0], 3.13.ak_bz_aho 
(-10, 51, -194), [2, 3, 2], 3.13.ak_bz_ahm 
(-10, 51, -193), [2, 3, 3], 3.13.ak_bz_ahl 
(-10, 51, -192), [2, 3, 0], 3.13.ak_bz_ahk 
(-10, 51, -191), [2, 3, 1], 3.13.ak_bz_ahj 
(-10, 51, -190), [2, 3, 2], 3.13.ak_bz_ahi 
(-10, 51, -189), [2, 3, 3], 3.13.ak_bz_ahh 
(-10, 52, -206), [2, 0, 2], 3.13.ak_ca_ahy 
(-10, 52, -202), [2, 0, 2], 3.13.ak_ca_ahu 
(-10, 52, -198), [2, 0, 2], 3.13.ak_ca_ahq 
(-10, 52, -196), [2, 0, 0], 3.13.ak_ca_aho 
(-10, 53, -215), [2, 1, 1], 3.13.ak_cb_aih 
(-10, 53, -214), [2, 1, 2], 3.13.ak_cb_aig 
(-10, 53, -213), [2, 1, 3], 3.13.ak_cb_aif 
(-10, 53, -212), [2, 1, 0], 3.13.ak_cb_aie 
(-10, 53, -210), [2, 1, 2], 3.13.ak_cb_aic 
(-10, 53, -209), [2, 1, 3], 3.13.ak_cb_aib 
(-10, 53, -207), [2, 1, 1], 3.13.ak_cb_ahz 
(-10, 53, -206), [2, 1, 2], 3.13.ak_cb_ahy 
(-10, 53, -204), [2, 1, 0], 3.13.ak_cb_ahw 
(-10, 53, -203), [2, 1, 1], 3.13.ak_cb_ahv 
(-10, 53, -202), [2, 1, 2], 3.13.ak_cb_ahu 
(-10, 54, -222), [2, 2, 2], 3.13.ak_cc_aio 
(-10, 54, -220), [2, 2, 0], 3.13.ak_cc_aim 
(-10, 54, -216), [2, 2, 0], 3.13.ak_cc_aii 
(-10, 54, -214), [2, 2, 2], 3.13.ak_cc_aig 
(-10, 55, -230), [2, 3, 2], 3.13.ak_cd_aiw 
(-10, 55, -227), [2, 3, 1], 3.13.ak_cd_ait 
(-10, 55, -226), [2, 3, 2], 3.13.ak_cd_ais 
(-10, 55, -224), [2, 3, 0], 3.13.ak_cd_aiq 
