(-16, 126, -621), [0, 14, 3], 3.16.aq_ew_axx 
(-16, 128, -639), [0, 0, 1], 3.16.aq_ey_ayp 
(-15, 103, -471), [1, 7, 9], 3.16.ap_dz_asd 
(-15, 109, -519), [1, 13, 9], 3.16.ap_ef_atz 
(-15, 111, -535), [1, 15, 9], 3.16.ap_eh_aup 
(-15, 111, -533), [1, 15, 11], 3.16.ap_eh_aun 
(-15, 113, -549), [1, 1, 11], 3.16.ap_ej_avd 
(-15, 113, -547), [1, 1, 13], 3.16.ap_ej_avb 
(-15, 113, -545), [1, 1, 15], 3.16.ap_ej_auz 
(-15, 115, -561), [1, 3, 15], 3.16.ap_el_avp 
(-15, 115, -559), [1, 3, 1], 3.16.ap_el_avn 
(-15, 119, -587), [1, 7, 5], 3.16.ap_ep_awp 
(-14, 88, -383), [2, 8, 1], 3.16.ao_dk_aot 
(-14, 94, -431), [2, 14, 1], 3.16.ao_dq_aqp 
(-14, 94, -429), [2, 14, 3], 3.16.ao_dq_aqn 
(-14, 96, -445), [2, 0, 3], 3.16.ao_ds_ard 
(-14, 96, -443), [2, 0, 5], 3.16.ao_ds_arb 
(-14, 98, -461), [2, 2, 3], 3.16.ao_du_art 
(-14, 98, -459), [2, 2, 5], 3.16.ao_du_arr 
(-14, 98, -457), [2, 2, 7], 3.16.ao_du_arp 
(-14, 100, -479), [2, 4, 1], 3.16.ao_dw_asl 
(-14, 100, -477), [2, 4, 3], 3.16.ao_dw_asj 
(-14, 100, -475), [2, 4, 5], 3.16.ao_dw_ash 
(-14, 100, -473), [2, 4, 7], 3.16.ao_dw_asf 
(-14, 100, -471), [2, 4, 9], 3.16.ao_dw_asd 
(-14, 102, -491), [2, 6, 5], 3.16.ao_dy_asx 
(-14, 102, -487), [2, 6, 9], 3.16.ao_dy_ast 
(-14, 104, -509), [2, 8, 3], 3.16.ao_ea_atp 
(-14, 104, -507), [2, 8, 5], 3.16.ao_ea_atn 
(-14, 104, -505), [2, 8, 7], 3.16.ao_ea_atl 
(-14, 104, -499), [2, 8, 13], 3.16.ao_ea_atf 
(-14, 106, -519), [2, 10, 9], 3.16.ao_ec_atz 
(-14, 106, -517), [2, 10, 11], 3.16.ao_ec_atx 
(-14, 106, -509), [2, 10, 3], 3.16.ao_ec_atp 
(-13, 71, -279), [3, 7, 9], 3.16.an_ct_akt 
(-13, 77, -327), [3, 13, 9], 3.16.an_cz_amp 
(-13, 79, -343), [3, 15, 9], 3.16.an_db_anf 
(-13, 79, -341), [3, 15, 11], 3.16.an_db_and 
(-13, 81, -359), [3, 1, 9], 3.16.an_dd_anv 
(-13, 81, -357), [3, 1, 11], 3.16.an_dd_ant 
(-13, 83, -375), [3, 3, 9], 3.16.an_df_aol 
(-13, 83, -373), [3, 3, 11], 3.16.an_df_aoj 
(-13, 83, -371), [3, 3, 13], 3.16.an_df_aoh 
(-13, 83, -369), [3, 3, 15], 3.16.an_df_aof 
(-13, 85, -389), [3, 5, 11], 3.16.an_dh_aoz 
(-13, 85, -387), [3, 5, 13], 3.16.an_dh_aox 
(-13, 85, -385), [3, 5, 15], 3.16.an_dh_aov 
(-13, 85, -383), [3, 5, 1], 3.16.an_dh_aot 
(-13, 87, -407), [3, 7, 9], 3.16.an_dj_apr 
(-13, 87, -403), [3, 7, 13], 3.16.an_dj_apn 
(-13, 87, -401), [3, 7, 15], 3.16.an_dj_apl 
(-13, 87, -399), [3, 7, 1], 3.16.an_dj_apj 
(-13, 87, -397), [3, 7, 3], 3.16.an_dj_aph 
(-13, 89, -423), [3, 9, 9], 3.16.an_dl_aqh 
(-13, 89, -419), [3, 9, 13], 3.16.an_dl_aqd 
(-13, 89, -417), [3, 9, 15], 3.16.an_dl_aqb 
(-13, 89, -415), [3, 9, 1], 3.16.an_dl_apz 
(-13, 89, -413), [3, 9, 3], 3.16.an_dl_apx 
(-13, 89, -411), [3, 9, 5], 3.16.an_dl_apv 
(-13, 91, -439), [3, 11, 9], 3.16.an_dn_aqx 
(-13, 91, -437), [3, 11, 11], 3.16.an_dn_aqv 
(-13, 91, -435), [3, 11, 13], 3.16.an_dn_aqt 
(-13, 91, -433), [3, 11, 15], 3.16.an_dn_aqr 
(-13, 91, -429), [3, 11, 3], 3.16.an_dn_aqn 
(-13, 91, -427), [3, 11, 5], 3.16.an_dn_aql 
(-13, 91, -421), [3, 11, 11], 3.16.an_dn_aqf 
(-13, 93, -455), [3, 13, 9], 3.16.an_dp_arn 
(-13, 93, -453), [3, 13, 11], 3.16.an_dp_arl 
(-13, 93, -451), [3, 13, 13], 3.16.an_dp_arj 
(-13, 93, -447), [3, 13, 1], 3.16.an_dp_arf 
(-13, 93, -445), [3, 13, 3], 3.16.an_dp_ard 
(-13, 93, -443), [3, 13, 5], 3.16.an_dp_arb 
(-13, 93, -439), [3, 13, 9], 3.16.an_dp_aqx 
(-13, 95, -465), [3, 15, 15], 3.16.an_dr_arx 
(-13, 95, -463), [3, 15, 1], 3.16.an_dr_arv 
(-13, 95, -461), [3, 15, 3], 3.16.an_dr_art 
(-13, 95, -459), [3, 15, 5], 3.16.an_dr_arr 
(-13, 95, -457), [3, 15, 7], 3.16.an_dr_arp 
(-13, 95, -455), [3, 15, 9], 3.16.an_dr_arn 
(-13, 95, -453), [3, 15, 11], 3.16.an_dr_arl 
(-13, 95, -447), [3, 15, 1], 3.16.an_dr_arf 
(-13, 97, -471), [3, 1, 9], 3.16.an_dt_asd 
(-13, 97, -469), [3, 1, 11], 3.16.an_dt_asb 
(-13, 97, -467), [3, 1, 13], 3.16.an_dt_arz 
(-13, 97, -463), [3, 1, 1], 3.16.an_dt_arv 
(-13, 97, -459), [3, 1, 5], 3.16.an_dt_arr 
(-13, 99, -477), [3, 3, 3], 3.16.an_dv_asj 
(-13, 99, -475), [3, 3, 5], 3.16.an_dv_ash 
(-13, 99, -473), [3, 3, 7], 3.16.an_dv_asf 
(-12, 62, -239), [4, 14, 1], 3.16.am_ck_ajf 
(-12, 64, -255), [4, 0, 1], 3.16.am_cm_ajv 
(-12, 64, -253), [4, 0, 3], 3.16.am_cm_ajt 
(-12, 66, -271), [4, 2, 1], 3.16.am_co_akl 
(-12, 66, -269), [4, 2, 3], 3.16.am_co_akj 
(-12, 66, -267), [4, 2, 5], 3.16.am_co_akh 
(-12, 68, -287), [4, 4, 1], 3.16.am_cq_alb 
(-12, 68, -285), [4, 4, 3], 3.16.am_cq_akz 
(-12, 68, -283), [4, 4, 5], 3.16.am_cq_akx 
(-12, 68, -281), [4, 4, 7], 3.16.am_cq_akv 
(-12, 70, -303), [4, 6, 1], 3.16.am_cs_alr 
(-12, 70, -301), [4, 6, 3], 3.16.am_cs_alp 
(-12, 70, -299), [4, 6, 5], 3.16.am_cs_aln 
(-12, 70, -297), [4, 6, 7], 3.16.am_cs_all 
(-12, 70, -295), [4, 6, 9], 3.16.am_cs_alj 
(-12, 72, -319), [4, 8, 1], 3.16.am_cu_amh 
(-12, 72, -317), [4, 8, 3], 3.16.am_cu_amf 
(-12, 72, -315), [4, 8, 5], 3.16.am_cu_amd 
(-12, 72, -313), [4, 8, 7], 3.16.am_cu_amb 
(-12, 72, -311), [4, 8, 9], 3.16.am_cu_alz 
(-12, 72, -309), [4, 8, 11], 3.16.am_cu_alx 
(-12, 74, -333), [4, 10, 3], 3.16.am_cw_amv 
(-12, 74, -331), [4, 10, 5], 3.16.am_cw_amt 
(-12, 74, -329), [4, 10, 7], 3.16.am_cw_amr 
(-12, 74, -327), [4, 10, 9], 3.16.am_cw_amp 
(-12, 74, -325), [4, 10, 11], 3.16.am_cw_amn 
(-12, 74, -323), [4, 10, 13], 3.16.am_cw_aml 
(-12, 76, -351), [4, 12, 1], 3.16.am_cy_ann 
(-12, 76, -347), [4, 12, 5], 3.16.am_cy_anj 
(-12, 76, -345), [4, 12, 7], 3.16.am_cy_anh 
(-12, 76, -341), [4, 12, 11], 3.16.am_cy_and 
(-12, 76, -339), [4, 12, 13], 3.16.am_cy_anb 
(-12, 76, -337), [4, 12, 15], 3.16.am_cy_amz 
(-12, 78, -367), [4, 14, 1], 3.16.am_da_aod 
(-12, 78, -365), [4, 14, 3], 3.16.am_da_aob 
(-12, 78, -363), [4, 14, 5], 3.16.am_da_anz 
(-12, 78, -361), [4, 14, 7], 3.16.am_da_anx 
(-12, 78, -357), [4, 14, 11], 3.16.am_da_ant 
(-12, 78, -355), [4, 14, 13], 3.16.am_da_anr 
(-12, 78, -353), [4, 14, 15], 3.16.am_da_anp 
(-12, 78, -351), [4, 14, 1], 3.16.am_da_ann 
(-12, 80, -383), [4, 0, 1], 3.16.am_dc_aot 
(-12, 80, -381), [4, 0, 3], 3.16.am_dc_aor 
(-12, 80, -379), [4, 0, 5], 3.16.am_dc_aop 
(-12, 80, -377), [4, 0, 7], 3.16.am_dc_aon 
(-12, 80, -375), [4, 0, 9], 3.16.am_dc_aol 
