(-17, 137, -689), [3, 1, 3], 3.17.ar_fh_aban 
(-17, 141, -723), [3, 1, 1], 3.17.ar_fl_abbv 
(-17, 143, -737), [3, 3, 3], 3.17.ar_fn_abcj 
(-17, 143, -735), [3, 3, 1], 3.17.ar_fn_abch 
(-16, 122, -602), [0, 2, 2], 3.17.aq_es_axe 
(-16, 123, -606), [0, 3, 2], 3.17.aq_et_axi 
(-16, 124, -618), [0, 0, 2], 3.17.aq_eu_axu 
(-16, 125, -626), [0, 1, 2], 3.17.aq_ev_ayc 
(-16, 125, -625), [0, 1, 3], 3.17.aq_ev_ayb 
(-16, 125, -622), [0, 1, 2], 3.17.aq_ev_axy 
(-16, 126, -630), [0, 2, 2], 3.17.aq_ew_ayg 
(-16, 127, -642), [0, 3, 2], 3.17.aq_ex_ays 
(-16, 127, -641), [0, 3, 3], 3.17.aq_ex_ayr 
(-16, 127, -638), [0, 3, 2], 3.17.aq_ex_ayo 
(-16, 127, -637), [0, 3, 3], 3.17.aq_ex_ayn 
(-16, 127, -636), [0, 3, 0], 3.17.aq_ex_aym 
(-16, 128, -650), [0, 0, 2], 3.17.aq_ey_aza 
(-16, 129, -658), [0, 1, 2], 3.17.aq_ez_azi 
(-16, 129, -657), [0, 1, 3], 3.17.aq_ez_azh 
(-16, 129, -655), [0, 1, 1], 3.17.aq_ez_azf 
(-16, 129, -654), [0, 1, 2], 3.17.aq_ez_aze 
(-16, 130, -666), [0, 2, 2], 3.17.aq_fa_azq 
(-16, 130, -662), [0, 2, 2], 3.17.aq_fa_azm 
(-16, 130, -660), [0, 2, 0], 3.17.aq_fa_azk 
(-16, 131, -671), [0, 3, 1], 3.17.aq_fb_azv 
(-16, 131, -670), [0, 3, 2], 3.17.aq_fb_azu 
(-16, 131, -668), [0, 3, 0], 3.17.aq_fb_azs 
(-15, 103, -479), [1, 3, 1], 3.17.ap_dz_asl 
(-15, 106, -504), [1, 2, 0], 3.17.ap_ec_atk 
(-15, 107, -511), [1, 3, 1], 3.17.ap_ed_atr 
(-15, 107, -509), [1, 3, 3], 3.17.ap_ed_atp 
(-15, 108, -520), [1, 0, 0], 3.17.ap_ee_aua 
(-15, 108, -516), [1, 0, 0], 3.17.ap_ee_atw 
(-15, 109, -528), [1, 1, 0], 3.17.ap_ef_aui 
(-15, 109, -525), [1, 1, 3], 3.17.ap_ef_auf 
(-15, 110, -532), [1, 2, 0], 3.17.ap_eg_aum 
(-15, 111, -543), [1, 3, 1], 3.17.ap_eh_aux 
(-15, 111, -541), [1, 3, 3], 3.17.ap_eh_auv 
(-15, 111, -540), [1, 3, 0], 3.17.ap_eh_auu 
(-15, 111, -539), [1, 3, 1], 3.17.ap_eh_aut 
(-15, 112, -548), [1, 0, 0], 3.17.ap_ei_avc 
(-15, 112, -546), [1, 0, 2], 3.17.ap_ei_ava 
(-15, 113, -559), [1, 1, 1], 3.17.ap_ej_avn 
(-15, 113, -557), [1, 1, 3], 3.17.ap_ej_avl 
(-15, 113, -556), [1, 1, 0], 3.17.ap_ej_avk 
(-15, 113, -555), [1, 1, 1], 3.17.ap_ej_avj 
(-15, 113, -554), [1, 1, 2], 3.17.ap_ej_avi 
(-15, 113, -553), [1, 1, 3], 3.17.ap_ej_avh 
(-15, 114, -568), [1, 2, 0], 3.17.ap_ek_avw 
(-15, 114, -562), [1, 2, 2], 3.17.ap_ek_avq 
(-15, 114, -560), [1, 2, 0], 3.17.ap_ek_avo 
(-15, 115, -575), [1, 3, 1], 3.17.ap_el_awd 
(-15, 115, -573), [1, 3, 3], 3.17.ap_el_awb 
(-15, 115, -571), [1, 3, 1], 3.17.ap_el_avz 
(-15, 115, -568), [1, 3, 0], 3.17.ap_el_avw 
(-15, 115, -567), [1, 3, 1], 3.17.ap_el_avv 
(-15, 116, -586), [1, 0, 2], 3.17.ap_em_awo 
(-15, 116, -584), [1, 0, 0], 3.17.ap_em_awm 
(-15, 116, -580), [1, 0, 0], 3.17.ap_em_awi 
(-15, 116, -574), [1, 0, 2], 3.17.ap_em_awc 
(-15, 117, -594), [1, 1, 2], 3.17.ap_en_aww 
(-15, 117, -592), [1, 1, 0], 3.17.ap_en_awu 
(-15, 117, -591), [1, 1, 1], 3.17.ap_en_awt 
(-15, 117, -588), [1, 1, 0], 3.17.ap_en_awq 
(-15, 117, -586), [1, 1, 2], 3.17.ap_en_awo 
(-15, 117, -585), [1, 1, 3], 3.17.ap_en_awn 
(-15, 117, -584), [1, 1, 0], 3.17.ap_en_awm 
(-15, 117, -581), [1, 1, 3], 3.17.ap_en_awj 
(-15, 118, -600), [1, 2, 0], 3.17.ap_eo_axc 
(-15, 118, -596), [1, 2, 0], 3.17.ap_eo_awy 
(-15, 118, -594), [1, 2, 2], 3.17.ap_eo_aww 
(-15, 119, -603), [1, 3, 1], 3.17.ap_ep_axf 
(-15, 119, -602), [1, 3, 2], 3.17.ap_ep_axe 
(-15, 119, -599), [1, 3, 1], 3.17.ap_ep_axb 
(-15, 119, -598), [1, 3, 2], 3.17.ap_ep_axa 
(-15, 119, -597), [1, 3, 3], 3.17.ap_ep_awz 
(-15, 119, -596), [1, 3, 0], 3.17.ap_ep_awy 
(-15, 120, -608), [1, 0, 0], 3.17.ap_eq_axk 
(-15, 120, -606), [1, 0, 2], 3.17.ap_eq_axi 
(-15, 120, -602), [1, 0, 2], 3.17.ap_eq_axe 
(-15, 121, -613), [1, 1, 3], 3.17.ap_er_axp 
(-15, 121, -609), [1, 1, 3], 3.17.ap_er_axl 
(-15, 122, -614), [1, 2, 2], 3.17.ap_es_axq 
(-15, 123, -619), [1, 3, 1], 3.17.ap_et_axv 
(-14, 85, -365), [2, 1, 3], 3.17.ao_dh_aob 
(-14, 89, -398), [2, 1, 2], 3.17.ao_dl_api 
(-14, 92, -422), [2, 0, 2], 3.17.ao_do_aqg 
(-14, 92, -418), [2, 0, 2], 3.17.ao_do_aqc 
(-14, 93, -431), [2, 1, 1], 3.17.ao_dp_aqp 
(-14, 93, -430), [2, 1, 2], 3.17.ao_dp_aqo 
(-14, 93, -429), [2, 1, 3], 3.17.ao_dp_aqn 
(-14, 94, -438), [2, 2, 2], 3.17.ao_dq_aqw 
(-14, 95, -446), [2, 3, 2], 3.17.ao_dr_are 
(-14, 95, -445), [2, 3, 3], 3.17.ao_dr_ard 
(-14, 95, -443), [2, 3, 1], 3.17.ao_dr_arb 
(-14, 96, -454), [2, 0, 2], 3.17.ao_ds_arm 
(-14, 96, -450), [2, 0, 2], 3.17.ao_ds_ari 
(-14, 97, -462), [2, 1, 2], 3.17.ao_dt_aru 
(-14, 97, -461), [2, 1, 3], 3.17.ao_dt_art 
(-14, 97, -458), [2, 1, 2], 3.17.ao_dt_arq 
(-14, 97, -456), [2, 1, 0], 3.17.ao_dt_aro 
(-14, 98, -472), [2, 2, 0], 3.17.ao_du_ase 
(-14, 98, -466), [2, 2, 2], 3.17.ao_du_ary 
(-14, 98, -464), [2, 2, 0], 3.17.ao_du_arw 
(-14, 99, -480), [2, 3, 0], 3.17.ao_dv_asm 
(-14, 99, -478), [2, 3, 2], 3.17.ao_dv_ask 
(-14, 99, -477), [2, 3, 3], 3.17.ao_dv_asj 
(-14, 99, -475), [2, 3, 1], 3.17.ao_dv_ash 
(-14, 99, -474), [2, 3, 2], 3.17.ao_dv_asg 
(-14, 99, -473), [2, 3, 3], 3.17.ao_dv_asf 
(-14, 99, -472), [2, 3, 0], 3.17.ao_dv_ase 
(-14, 99, -471), [2, 3, 1], 3.17.ao_dv_asd 
(-14, 100, -486), [2, 0, 2], 3.17.ao_dw_ass 
(-14, 100, -480), [2, 0, 0], 3.17.ao_dw_asm 
(-14, 100, -478), [2, 0, 2], 3.17.ao_dw_ask 
(-14, 101, -497), [2, 1, 3], 3.17.ao_dx_atd 
(-14, 101, -496), [2, 1, 0], 3.17.ao_dx_atc 
(-14, 101, -495), [2, 1, 1], 3.17.ao_dx_atb 
(-14, 101, -494), [2, 1, 2], 3.17.ao_dx_ata 
(-14, 101, -491), [2, 1, 1], 3.17.ao_dx_asx 
(-14, 101, -490), [2, 1, 2], 3.17.ao_dx_asw 
(-14, 101, -489), [2, 1, 3], 3.17.ao_dx_asv 
(-14, 101, -487), [2, 1, 1], 3.17.ao_dx_ast 
(-14, 101, -486), [2, 1, 2], 3.17.ao_dx_ass 
(-14, 101, -485), [2, 1, 3], 3.17.ao_dx_asr 
(-14, 101, -484), [2, 1, 0], 3.17.ao_dx_asq 
(-14, 102, -504), [2, 2, 0], 3.17.ao_dy_atk 
(-14, 102, -502), [2, 2, 2], 3.17.ao_dy_ati 
(-14, 102, -498), [2, 2, 2], 3.17.ao_dy_ate 
(-14, 102, -492), [2, 2, 0], 3.17.ao_dy_asy 
(-14, 103, -513), [2, 3, 3], 3.17.ao_dz_att 
(-14, 103, -512), [2, 3, 0], 3.17.ao_dz_ats 
(-14, 103, -509), [2, 3, 3], 3.17.ao_dz_atp 
(-14, 103, -507), [2, 3, 1], 3.17.ao_dz_atn 
(-14, 103, -506), [2, 3, 2], 3.17.ao_dz_atm 
(-14, 103, -505), [2, 3, 3], 3.17.ao_dz_atl 
(-14, 103, -504), [2, 3, 0], 3.17.ao_dz_atk 
(-14, 103, -503), [2, 3, 1], 3.17.ao_dz_atj 
(-14, 103, -502), [2, 3, 2], 3.17.ao_dz_ati 
(-14, 103, -499), [2, 3, 1], 3.17.ao_dz_atf 
(-14, 103, -498), [2, 3, 2], 3.17.ao_dz_ate 
(-14, 104, -520), [2, 0, 0], 3.17.ao_ea_aua 
(-14, 104, -518), [2, 0, 2], 3.17.ao_ea_aty 
(-14, 104, -514), [2, 0, 2], 3.17.ao_ea_atu 
(-14, 104, -512), [2, 0, 0], 3.17.ao_ea_ats 
(-14, 104, -508), [2, 0, 0], 3.17.ao_ea_ato 
(-14, 105, -528), [2, 1, 0], 3.17.ao_eb_aui 
(-14, 105, -526), [2, 1, 2], 3.17.ao_eb_aug 
(-14, 105, -525), [2, 1, 3], 3.17.ao_eb_auf 
(-14, 105, -522), [2, 1, 2], 3.17.ao_eb_auc 
(-14, 105, -520), [2, 1, 0], 3.17.ao_eb_aua 
(-14, 105, -519), [2, 1, 1], 3.17.ao_eb_atz 
(-14, 105, -518), [2, 1, 2], 3.17.ao_eb_aty 
(-14, 105, -516), [2, 1, 0], 3.17.ao_eb_atw 
(-14, 105, -515), [2, 1, 1], 3.17.ao_eb_atv 
(-14, 105, -514), [2, 1, 2], 3.17.ao_eb_atu 
(-14, 105, -513), [2, 1, 3], 3.17.ao_eb_att 
(-14, 106, -534), [2, 2, 2], 3.17.ao_ec_auo 
(-14, 106, -530), [2, 2, 2], 3.17.ao_ec_auk 
(-14, 106, -524), [2, 2, 0], 3.17.ao_ec_aue 
(-14, 106, -522), [2, 2, 2], 3.17.ao_ec_auc 
(-14, 106, -520), [2, 2, 0], 3.17.ao_ec_aua 
(-14, 107, -542), [2, 3, 2], 3.17.ao_ed_auw 
(-14, 107, -538), [2, 3, 2], 3.17.ao_ed_aus 
(-14, 107, -537), [2, 3, 3], 3.17.ao_ed_aur 
(-14, 107, -536), [2, 3, 0], 3.17.ao_ed_auq 
(-14, 107, -535), [2, 3, 1], 3.17.ao_ed_aup 
(-14, 107, -534), [2, 3, 2], 3.17.ao_ed_auo 
