(-17, 137, -689), [0, 1, 8], 3.17.ar_fh_aban 
(-17, 141, -723), [0, 5, 8], 3.17.ar_fl_abbv 
(-17, 143, -737), [0, 7, 11], 3.17.ar_fn_abcj 
(-17, 143, -735), [0, 7, 13], 3.17.ar_fn_abch 
(-16, 122, -602), [1, 3, 10], 3.17.aq_es_axe 
(-16, 123, -606), [1, 4, 6], 3.17.aq_et_axi 
(-16, 124, -618), [1, 5, 11], 3.17.aq_eu_axu 
(-16, 125, -626), [1, 6, 3], 3.17.aq_ev_ayc 
(-16, 125, -625), [1, 6, 4], 3.17.aq_ev_ayb 
(-16, 125, -622), [1, 6, 7], 3.17.aq_ev_axy 
(-16, 126, -630), [1, 7, 16], 3.17.aq_ew_ayg 
(-16, 127, -642), [1, 8, 4], 3.17.aq_ex_ays 
(-16, 127, -641), [1, 8, 5], 3.17.aq_ex_ayr 
(-16, 127, -638), [1, 8, 8], 3.17.aq_ex_ayo 
(-16, 127, -637), [1, 8, 9], 3.17.aq_ex_ayn 
(-16, 127, -636), [1, 8, 10], 3.17.aq_ex_aym 
(-16, 128, -650), [1, 9, 13], 3.17.aq_ey_aza 
(-16, 129, -658), [1, 10, 5], 3.17.aq_ez_azi 
(-16, 129, -657), [1, 10, 6], 3.17.aq_ez_azh 
(-16, 129, -655), [1, 10, 8], 3.17.aq_ez_azf 
(-16, 129, -654), [1, 10, 9], 3.17.aq_ez_aze 
(-16, 130, -666), [1, 11, 14], 3.17.aq_fa_azq 
(-16, 130, -662), [1, 11, 1], 3.17.aq_fa_azm 
(-16, 130, -660), [1, 11, 3], 3.17.aq_fa_azk 
(-16, 131, -671), [1, 12, 9], 3.17.aq_fb_azv 
(-16, 131, -670), [1, 12, 10], 3.17.aq_fb_azu 
(-16, 131, -668), [1, 12, 12], 3.17.aq_fb_azs 
(-15, 103, -479), [2, 1, 14], 3.17.ap_dz_asl 
(-15, 106, -504), [2, 4, 6], 3.17.ap_ec_atk 
(-15, 107, -511), [2, 5, 16], 3.17.ap_ed_atr 
(-15, 107, -509), [2, 5, 1], 3.17.ap_ed_atp 
(-15, 108, -520), [2, 6, 7], 3.17.ap_ee_aua 
(-15, 108, -516), [2, 6, 11], 3.17.ap_ee_atw 
(-15, 109, -528), [2, 7, 16], 3.17.ap_ef_aui 
(-15, 109, -525), [2, 7, 2], 3.17.ap_ef_auf 
(-15, 110, -532), [2, 8, 12], 3.17.ap_eg_aum 
(-15, 111, -543), [2, 9, 1], 3.17.ap_eh_aux 
(-15, 111, -541), [2, 9, 3], 3.17.ap_eh_auv 
(-15, 111, -540), [2, 9, 4], 3.17.ap_eh_auu 
(-15, 111, -539), [2, 9, 5], 3.17.ap_eh_aut 
(-15, 112, -548), [2, 10, 13], 3.17.ap_ei_avc 
(-15, 112, -546), [2, 10, 15], 3.17.ap_ei_ava 
(-15, 113, -559), [2, 11, 2], 3.17.ap_ej_avn 
(-15, 113, -557), [2, 11, 4], 3.17.ap_ej_avl 
(-15, 113, -556), [2, 11, 5], 3.17.ap_ej_avk 
(-15, 113, -555), [2, 11, 6], 3.17.ap_ej_avj 
(-15, 113, -554), [2, 11, 7], 3.17.ap_ej_avi 
(-15, 113, -553), [2, 11, 8], 3.17.ap_ej_avh 
(-15, 114, -568), [2, 12, 10], 3.17.ap_ek_avw 
(-15, 114, -562), [2, 12, 16], 3.17.ap_ek_avq 
(-15, 114, -560), [2, 12, 1], 3.17.ap_ek_avo 
(-15, 115, -575), [2, 13, 3], 3.17.ap_el_awd 
(-15, 115, -573), [2, 13, 5], 3.17.ap_el_awb 
(-15, 115, -571), [2, 13, 7], 3.17.ap_el_avz 
(-15, 115, -568), [2, 13, 10], 3.17.ap_el_avw 
(-15, 115, -567), [2, 13, 11], 3.17.ap_el_avv 
(-15, 116, -586), [2, 14, 9], 3.17.ap_em_awo 
(-15, 116, -584), [2, 14, 11], 3.17.ap_em_awm 
(-15, 116, -580), [2, 14, 15], 3.17.ap_em_awi 
(-15, 116, -574), [2, 14, 4], 3.17.ap_em_awc 
(-15, 117, -594), [2, 15, 1], 3.17.ap_en_aww 
(-15, 117, -592), [2, 15, 3], 3.17.ap_en_awu 
(-15, 117, -591), [2, 15, 4], 3.17.ap_en_awt 
(-15, 117, -588), [2, 15, 7], 3.17.ap_en_awq 
(-15, 117, -586), [2, 15, 9], 3.17.ap_en_awo 
(-15, 117, -585), [2, 15, 10], 3.17.ap_en_awn 
(-15, 117, -584), [2, 15, 11], 3.17.ap_en_awm 
(-15, 117, -581), [2, 15, 14], 3.17.ap_en_awj 
(-15, 118, -600), [2, 16, 12], 3.17.ap_eo_axc 
(-15, 118, -596), [2, 16, 16], 3.17.ap_eo_awy 
(-15, 118, -594), [2, 16, 1], 3.17.ap_eo_aww 
(-15, 119, -603), [2, 0, 9], 3.17.ap_ep_axf 
(-15, 119, -602), [2, 0, 10], 3.17.ap_ep_axe 
(-15, 119, -599), [2, 0, 13], 3.17.ap_ep_axb 
(-15, 119, -598), [2, 0, 14], 3.17.ap_ep_axa 
(-15, 119, -597), [2, 0, 15], 3.17.ap_ep_awz 
(-15, 119, -596), [2, 0, 16], 3.17.ap_ep_awy 
(-15, 120, -608), [2, 1, 4], 3.17.ap_eq_axk 
(-15, 120, -606), [2, 1, 6], 3.17.ap_eq_axi 
(-15, 120, -602), [2, 1, 10], 3.17.ap_eq_axe 
(-15, 121, -613), [2, 2, 16], 3.17.ap_er_axp 
(-15, 121, -609), [2, 2, 3], 3.17.ap_er_axl 
(-15, 122, -614), [2, 3, 15], 3.17.ap_es_axq 
(-15, 123, -619), [2, 4, 10], 3.17.ap_et_axv 
(-14, 85, -365), [3, 0, 9], 3.17.ao_dh_aob 
(-14, 89, -398), [3, 4, 10], 3.17.ao_dl_api 
(-14, 92, -422), [3, 7, 3], 3.17.ao_do_aqg 
(-14, 92, -418), [3, 7, 7], 3.17.ao_do_aqc 
(-14, 93, -431), [3, 8, 11], 3.17.ao_dp_aqp 
(-14, 93, -430), [3, 8, 12], 3.17.ao_dp_aqo 
(-14, 93, -429), [3, 8, 13], 3.17.ao_dp_aqn 
(-14, 94, -438), [3, 9, 4], 3.17.ao_dq_aqw 
(-14, 95, -446), [3, 10, 13], 3.17.ao_dr_are 
(-14, 95, -445), [3, 10, 14], 3.17.ao_dr_ard 
(-14, 95, -443), [3, 10, 16], 3.17.ao_dr_arb 
(-14, 96, -454), [3, 11, 5], 3.17.ao_ds_arm 
(-14, 96, -450), [3, 11, 9], 3.17.ao_ds_ari 
(-14, 97, -462), [3, 12, 14], 3.17.ao_dt_aru 
(-14, 97, -461), [3, 12, 15], 3.17.ao_dt_art 
(-14, 97, -458), [3, 12, 1], 3.17.ao_dt_arq 
(-14, 97, -456), [3, 12, 3], 3.17.ao_dt_aro 
(-14, 98, -472), [3, 13, 4], 3.17.ao_du_ase 
(-14, 98, -466), [3, 13, 10], 3.17.ao_du_ary 
(-14, 98, -464), [3, 13, 12], 3.17.ao_du_arw 
(-14, 99, -480), [3, 14, 13], 3.17.ao_dv_asm 
(-14, 99, -478), [3, 14, 15], 3.17.ao_dv_ask 
(-14, 99, -477), [3, 14, 16], 3.17.ao_dv_asj 
(-14, 99, -475), [3, 14, 1], 3.17.ao_dv_ash 
(-14, 99, -474), [3, 14, 2], 3.17.ao_dv_asg 
(-14, 99, -473), [3, 14, 3], 3.17.ao_dv_asf 
(-14, 99, -472), [3, 14, 4], 3.17.ao_dv_ase 
(-14, 99, -471), [3, 14, 5], 3.17.ao_dv_asd 
(-14, 100, -486), [3, 15, 7], 3.17.ao_dw_ass 
(-14, 100, -480), [3, 15, 13], 3.17.ao_dw_asm 
(-14, 100, -478), [3, 15, 15], 3.17.ao_dw_ask 
(-14, 101, -497), [3, 16, 13], 3.17.ao_dx_atd 
(-14, 101, -496), [3, 16, 14], 3.17.ao_dx_atc 
(-14, 101, -495), [3, 16, 15], 3.17.ao_dx_atb 
(-14, 101, -494), [3, 16, 16], 3.17.ao_dx_ata 
(-14, 101, -491), [3, 16, 2], 3.17.ao_dx_asx 
(-14, 101, -490), [3, 16, 3], 3.17.ao_dx_asw 
(-14, 101, -489), [3, 16, 4], 3.17.ao_dx_asv 
(-14, 101, -487), [3, 16, 6], 3.17.ao_dx_ast 
(-14, 101, -486), [3, 16, 7], 3.17.ao_dx_ass 
(-14, 101, -485), [3, 16, 8], 3.17.ao_dx_asr 
(-14, 101, -484), [3, 16, 9], 3.17.ao_dx_asq 
(-14, 102, -504), [3, 0, 6], 3.17.ao_dy_atk 
(-14, 102, -502), [3, 0, 8], 3.17.ao_dy_ati 
(-14, 102, -498), [3, 0, 12], 3.17.ao_dy_ate 
(-14, 102, -492), [3, 0, 1], 3.17.ao_dy_asy 
(-14, 103, -513), [3, 1, 14], 3.17.ao_dz_att 
(-14, 103, -512), [3, 1, 15], 3.17.ao_dz_ats 
(-14, 103, -509), [3, 1, 1], 3.17.ao_dz_atp 
(-14, 103, -507), [3, 1, 3], 3.17.ao_dz_atn 
(-14, 103, -506), [3, 1, 4], 3.17.ao_dz_atm 
(-14, 103, -505), [3, 1, 5], 3.17.ao_dz_atl 
(-14, 103, -504), [3, 1, 6], 3.17.ao_dz_atk 
(-14, 103, -503), [3, 1, 7], 3.17.ao_dz_atj 
(-14, 103, -502), [3, 1, 8], 3.17.ao_dz_ati 
(-14, 103, -499), [3, 1, 11], 3.17.ao_dz_atf 
(-14, 103, -498), [3, 1, 12], 3.17.ao_dz_ate 
(-14, 104, -520), [3, 2, 7], 3.17.ao_ea_aua 
(-14, 104, -518), [3, 2, 9], 3.17.ao_ea_aty 
(-14, 104, -514), [3, 2, 13], 3.17.ao_ea_atu 
(-14, 104, -512), [3, 2, 15], 3.17.ao_ea_ats 
(-14, 104, -508), [3, 2, 2], 3.17.ao_ea_ato 
(-14, 105, -528), [3, 3, 16], 3.17.ao_eb_aui 
(-14, 105, -526), [3, 3, 1], 3.17.ao_eb_aug 
