(-6, 17, -38), [2, 1, 2], 3.5.ag_r_abm 
(-6, 17, -37), [2, 1, 3], 3.5.ag_r_abl 
(-6, 19, -46), [2, 3, 2], 3.5.ag_t_abu 
(-6, 21, -54), [2, 1, 2], 3.5.ag_v_acc 
(-6, 21, -53), [2, 1, 3], 3.5.ag_v_acb 
(-6, 23, -62), [2, 3, 2], 3.5.ag_x_ack 
(-6, 23, -59), [2, 3, 1], 3.5.ag_x_ach 
(-6, 23, -58), [2, 3, 2], 3.5.ag_x_acg 
(-5, 7, -3), [3, 3, 1], 3.5.af_h_ad 
(-5, 9, -12), [3, 1, 0], 3.5.af_j_am 
(-5, 9, -11), [3, 1, 1], 3.5.af_j_al 
(-5, 10, -16), [3, 2, 0], 3.5.af_k_aq 
(-5, 11, -21), [3, 3, 3], 3.5.af_l_av 
(-5, 11, -19), [3, 3, 1], 3.5.af_l_at 
(-5, 12, -24), [3, 0, 0], 3.5.af_m_ay 
(-5, 13, -29), [3, 1, 3], 3.5.af_n_abd 
(-5, 13, -27), [3, 1, 1], 3.5.af_n_abb 
(-5, 14, -34), [3, 2, 2], 3.5.af_o_abi 
(-5, 14, -32), [3, 2, 0], 3.5.af_o_abg 
(-5, 15, -39), [3, 3, 1], 3.5.af_p_abn 
(-5, 15, -37), [3, 3, 3], 3.5.af_p_abl 
(-5, 15, -36), [3, 3, 0], 3.5.af_p_abk 
(-5, 15, -33), [3, 3, 3], 3.5.af_p_abh 
(-5, 16, -42), [3, 0, 2], 3.5.af_q_abq 
(-5, 16, -36), [3, 0, 0], 3.5.af_q_abk 
(-5, 17, -47), [3, 1, 1], 3.5.af_r_abv 
(-5, 17, -46), [3, 1, 2], 3.5.af_r_abu 
(-5, 17, -44), [3, 1, 0], 3.5.af_r_abs 
(-5, 17, -43), [3, 1, 1], 3.5.af_r_abr 
(-5, 17, -41), [3, 1, 3], 3.5.af_r_abp 
(-5, 18, -48), [3, 2, 0], 3.5.af_s_abw 
(-5, 18, -42), [3, 2, 2], 3.5.af_s_abq 
(-5, 19, -49), [3, 3, 3], 3.5.af_t_abx 
(-5, 19, -48), [3, 3, 0], 3.5.af_t_abw 
(-5, 19, -47), [3, 3, 1], 3.5.af_t_abv 
(-5, 21, -51), [3, 1, 1], 3.5.af_v_abz 
(-4, 0, 18), [0, 0, 2], 3.5.ae_a_s 
(-4, 3, 6), [0, 3, 2], 3.5.ae_d_g 
(-4, 5, -4), [0, 1, 0], 3.5.ae_f_ae 
(-4, 5, -2), [0, 1, 2], 3.5.ae_f_ac 
(-4, 6, -8), [0, 2, 0], 3.5.ae_g_ai 
(-4, 6, -6), [0, 2, 2], 3.5.ae_g_ag 
(-4, 7, -13), [0, 3, 3], 3.5.ae_h_an 
(-4, 7, -12), [0, 3, 0], 3.5.ae_h_am 
(-4, 7, -11), [0, 3, 1], 3.5.ae_h_al 
(-4, 7, -9), [0, 3, 3], 3.5.ae_h_aj 
(-4, 7, -6), [0, 3, 2], 3.5.ae_h_ag 
(-4, 8, -16), [0, 0, 0], 3.5.ae_i_aq 
(-4, 8, -14), [0, 0, 2], 3.5.ae_i_ao 
(-4, 9, -22), [0, 1, 2], 3.5.ae_j_aw 
(-4, 9, -21), [0, 1, 3], 3.5.ae_j_av 
(-4, 9, -19), [0, 1, 1], 3.5.ae_j_at 
(-4, 9, -18), [0, 1, 2], 3.5.ae_j_as 
(-4, 9, -17), [0, 1, 3], 3.5.ae_j_ar 
(-4, 9, -14), [0, 1, 2], 3.5.ae_j_ao 
(-4, 10, -24), [0, 2, 0], 3.5.ae_k_ay 
(-4, 10, -18), [0, 2, 2], 3.5.ae_k_as 
(-4, 11, -31), [0, 3, 1], 3.5.ae_l_abf 
(-4, 11, -29), [0, 3, 3], 3.5.ae_l_abd 
(-4, 11, -28), [0, 3, 0], 3.5.ae_l_abc 
(-4, 11, -27), [0, 3, 1], 3.5.ae_l_abb 
(-4, 11, -26), [0, 3, 2], 3.5.ae_l_aba 
(-4, 11, -23), [0, 3, 1], 3.5.ae_l_ax 
(-4, 11, -22), [0, 3, 2], 3.5.ae_l_aw 
(-4, 11, -21), [0, 3, 3], 3.5.ae_l_av 
(-4, 12, -36), [0, 0, 0], 3.5.ae_m_abk 
(-4, 12, -32), [0, 0, 0], 3.5.ae_m_abg 
(-4, 12, -24), [0, 0, 0], 3.5.ae_m_ay 
(-4, 13, -38), [0, 1, 2], 3.5.ae_n_abm 
(-4, 13, -36), [0, 1, 0], 3.5.ae_n_abk 
(-4, 13, -34), [0, 1, 2], 3.5.ae_n_abi 
(-4, 13, -33), [0, 1, 3], 3.5.ae_n_abh 
(-4, 13, -31), [0, 1, 1], 3.5.ae_n_abf 
(-4, 13, -27), [0, 1, 1], 3.5.ae_n_abb 
(-4, 13, -26), [0, 1, 2], 3.5.ae_n_aba 
(-4, 14, -38), [0, 2, 2], 3.5.ae_o_abm 
(-4, 14, -34), [0, 2, 2], 3.5.ae_o_abi 
(-4, 14, -32), [0, 2, 0], 3.5.ae_o_abg 
