(-8, 29, -78), [0, 1, 2], 3.7.ai_bd_ada 
(-8, 34, -104), [0, 2, 0], 3.7.ai_bi_aea 
(-8, 35, -106), [0, 3, 2], 3.7.ai_bj_aec 
(-8, 37, -118), [0, 1, 2], 3.7.ai_bl_aeo 
(-8, 37, -116), [0, 1, 0], 3.7.ai_bl_aem 
(-8, 37, -114), [0, 1, 2], 3.7.ai_bl_aek 
(-8, 37, -113), [0, 1, 3], 3.7.ai_bl_aej 
(-8, 38, -120), [0, 2, 0], 3.7.ai_bm_aeq 
(-7, 18, -34), [1, 2, 2], 3.7.ah_s_abi 
(-7, 19, -39), [1, 3, 1], 3.7.ah_t_abn 
(-7, 22, -52), [1, 2, 0], 3.7.ah_w_aca 
(-7, 23, -60), [1, 3, 0], 3.7.ah_x_aci 
(-7, 23, -59), [1, 3, 1], 3.7.ah_x_ach 
(-7, 23, -57), [1, 3, 3], 3.7.ah_x_acf 
(-7, 24, -64), [1, 0, 0], 3.7.ah_y_acm 
(-7, 25, -71), [1, 1, 1], 3.7.ah_z_act 
(-7, 25, -69), [1, 1, 3], 3.7.ah_z_acr 
(-7, 25, -67), [1, 1, 1], 3.7.ah_z_acp 
(-7, 26, -76), [1, 2, 0], 3.7.ah_ba_acy 
(-7, 26, -74), [1, 2, 2], 3.7.ah_ba_acw 
(-7, 26, -72), [1, 2, 0], 3.7.ah_ba_acu 
(-7, 27, -81), [1, 3, 3], 3.7.ah_bb_add 
(-7, 27, -79), [1, 3, 1], 3.7.ah_bb_adb 
(-7, 27, -76), [1, 3, 0], 3.7.ah_bb_acy 
(-7, 27, -75), [1, 3, 1], 3.7.ah_bb_acx 
(-7, 28, -80), [1, 0, 0], 3.7.ah_bc_adc 
(-7, 29, -90), [1, 1, 2], 3.7.ah_bd_adm 
(-7, 29, -89), [1, 1, 3], 3.7.ah_bd_adl 
(-7, 29, -87), [1, 1, 1], 3.7.ah_bd_adj 
(-7, 29, -85), [1, 1, 3], 3.7.ah_bd_adh 
(-7, 29, -83), [1, 1, 1], 3.7.ah_bd_adf 
(-7, 30, -94), [1, 2, 2], 3.7.ah_be_adq 
(-7, 30, -92), [1, 2, 0], 3.7.ah_be_ado 
(-7, 30, -90), [1, 2, 2], 3.7.ah_be_adm 
(-7, 30, -88), [1, 2, 0], 3.7.ah_be_adk 
(-7, 31, -100), [1, 3, 0], 3.7.ah_bf_adw 
(-7, 31, -99), [1, 3, 1], 3.7.ah_bf_adv 
(-7, 31, -96), [1, 3, 0], 3.7.ah_bf_ads 
(-7, 31, -94), [1, 3, 2], 3.7.ah_bf_adq 
(-7, 31, -93), [1, 3, 3], 3.7.ah_bf_adp 
(-7, 32, -102), [1, 0, 2], 3.7.ah_bg_ady 
