(-9, 39, -121), [3, 3, 3], 3.8.aj_bn_aer 
(-9, 41, -133), [3, 1, 3], 3.8.aj_bp_afd 
(-9, 43, -143), [3, 3, 1], 3.8.aj_br_afn 
(-9, 43, -141), [3, 3, 3], 3.8.aj_br_afl 
(-9, 45, -151), [3, 1, 1], 3.8.aj_bt_afv 
(-8, 28, -75), [0, 0, 1], 3.8.ai_bc_acx 
(-8, 30, -85), [0, 2, 3], 3.8.ai_be_adh 
(-8, 32, -97), [0, 0, 3], 3.8.ai_bg_adt 
(-8, 32, -95), [0, 0, 1], 3.8.ai_bg_adr 
(-8, 34, -107), [0, 2, 1], 3.8.ai_bi_aed 
(-8, 34, -105), [0, 2, 3], 3.8.ai_bi_aeb 
(-8, 36, -117), [0, 0, 3], 3.8.ai_bk_aen 
(-8, 38, -131), [0, 2, 1], 3.8.ai_bm_afb 
(-8, 38, -127), [0, 2, 1], 3.8.ai_bm_aex 
(-8, 38, -121), [0, 2, 3], 3.8.ai_bm_aer 
(-8, 40, -135), [0, 0, 1], 3.8.ai_bo_aff 
(-7, 17, -29), [1, 1, 3], 3.8.ah_r_abd 
(-7, 19, -39), [1, 3, 1], 3.8.ah_t_abn 
(-7, 21, -51), [1, 1, 1], 3.8.ah_v_abz 
(-7, 21, -49), [1, 1, 3], 3.8.ah_v_abx 
(-7, 23, -61), [1, 3, 3], 3.8.ah_x_acj 
(-7, 23, -59), [1, 3, 1], 3.8.ah_x_ach 
(-7, 25, -73), [1, 1, 3], 3.8.ah_z_acv 
(-7, 25, -71), [1, 1, 1], 3.8.ah_z_act 
(-7, 25, -69), [1, 1, 3], 3.8.ah_z_acr 
(-7, 27, -83), [1, 3, 1], 3.8.ah_bb_adf 
(-7, 27, -81), [1, 3, 3], 3.8.ah_bb_add 
(-7, 27, -79), [1, 3, 1], 3.8.ah_bb_adb 
(-7, 27, -75), [1, 3, 1], 3.8.ah_bb_acx 
(-7, 29, -97), [1, 1, 3], 3.8.ah_bd_adt 
(-7, 29, -95), [1, 1, 1], 3.8.ah_bd_adr 
(-7, 29, -93), [1, 1, 3], 3.8.ah_bd_adp 
(-7, 29, -89), [1, 1, 3], 3.8.ah_bd_adl 
(-7, 29, -85), [1, 1, 3], 3.8.ah_bd_adh 
(-7, 31, -107), [1, 3, 1], 3.8.ah_bf_aed 
(-7, 31, -105), [1, 3, 3], 3.8.ah_bf_aeb 
(-7, 31, -103), [1, 3, 1], 3.8.ah_bf_adz 
(-7, 31, -101), [1, 3, 3], 3.8.ah_bf_adx 
(-7, 31, -99), [1, 3, 1], 3.8.ah_bf_adv 
(-7, 31, -93), [1, 3, 3], 3.8.ah_bf_adp 
(-7, 33, -113), [1, 1, 3], 3.8.ah_bh_aej 
(-7, 33, -111), [1, 1, 1], 3.8.ah_bh_aeh 
(-7, 33, -109), [1, 1, 3], 3.8.ah_bh_aef 
(-7, 33, -105), [1, 1, 3], 3.8.ah_bh_aeb 
(-7, 33, -101), [1, 1, 3], 3.8.ah_bh_adx 
(-7, 35, -115), [1, 3, 1], 3.8.ah_bj_ael 
(-7, 35, -113), [1, 3, 3], 3.8.ah_bj_aej 
(-7, 35, -111), [1, 3, 1], 3.8.ah_bj_aeh 
(-7, 37, -117), [1, 1, 3], 3.8.ah_bl_aen 
(-6, 10, -5), [2, 2, 3], 3.8.ag_k_af 
(-6, 10, -3), [2, 2, 1], 3.8.ag_k_ad 
(-6, 12, -15), [2, 0, 1], 3.8.ag_m_ap 
(-6, 12, -13), [2, 0, 3], 3.8.ag_m_an 
(-6, 14, -27), [2, 2, 1], 3.8.ag_o_abb 
(-6, 14, -25), [2, 2, 3], 3.8.ag_o_az 
(-6, 14, -23), [2, 2, 1], 3.8.ag_o_ax 
(-6, 16, -37), [2, 0, 3], 3.8.ag_q_abl 
(-6, 16, -35), [2, 0, 1], 3.8.ag_q_abj 
(-6, 16, -33), [2, 0, 3], 3.8.ag_q_abh 
(-6, 18, -49), [2, 2, 3], 3.8.ag_s_abx 
(-6, 18, -47), [2, 2, 1], 3.8.ag_s_abv 
