(-10, 49, -167), [2, 1, 1], 3.9.ak_bx_agl 
(-10, 51, -178), [2, 3, 2], 3.9.ak_bz_agw 
(-10, 51, -176), [2, 3, 0], 3.9.ak_bz_agu 
(-10, 53, -190), [2, 1, 2], 3.9.ak_cb_ahi 
(-10, 54, -194), [2, 2, 2], 3.9.ak_cc_ahm 
(-10, 55, -203), [2, 3, 1], 3.9.ak_cd_ahv 
(-10, 55, -200), [2, 3, 0], 3.9.ak_cd_ahs 
(-9, 33, -89), [3, 1, 3], 3.9.aj_bh_adl 
(-9, 36, -106), [3, 0, 2], 3.9.aj_bk_aec 
(-9, 38, -118), [3, 2, 2], 3.9.aj_bm_aeo 
(-9, 39, -125), [3, 3, 3], 3.9.aj_bn_aev 
(-9, 39, -124), [3, 3, 0], 3.9.aj_bn_aeu 
(-9, 40, -128), [3, 0, 0], 3.9.aj_bo_aey 
(-9, 41, -137), [3, 1, 3], 3.9.aj_bp_afh 
(-9, 41, -136), [3, 1, 0], 3.9.aj_bp_afg 
(-9, 41, -134), [3, 1, 2], 3.9.aj_bp_afe 
(-9, 41, -133), [3, 1, 3], 3.9.aj_bp_afd 
(-9, 42, -140), [3, 2, 0], 3.9.aj_bq_afk 
(-9, 43, -149), [3, 3, 3], 3.9.aj_br_aft 
(-9, 43, -145), [3, 3, 3], 3.9.aj_br_afp 
(-9, 43, -143), [3, 3, 1], 3.9.aj_br_afn 
(-9, 44, -152), [3, 0, 0], 3.9.aj_bs_afw 
(-9, 45, -161), [3, 1, 3], 3.9.aj_bt_agf 
(-9, 45, -158), [3, 1, 2], 3.9.aj_bt_agc 
(-9, 45, -157), [3, 1, 3], 3.9.aj_bt_agb 
(-9, 45, -155), [3, 1, 1], 3.9.aj_bt_afz 
(-9, 46, -166), [3, 2, 2], 3.9.aj_bu_agk 
(-9, 46, -160), [3, 2, 0], 3.9.aj_bu_age 
(-9, 47, -170), [3, 3, 2], 3.9.aj_bv_ago 
(-9, 47, -166), [3, 3, 2], 3.9.aj_bv_agk 
(-9, 47, -164), [3, 3, 0], 3.9.aj_bv_agi 
(-9, 47, -163), [3, 3, 1], 3.9.aj_bv_agh 
(-9, 47, -161), [3, 3, 3], 3.9.aj_bv_agf 
(-9, 48, -172), [3, 0, 0], 3.9.aj_bw_agq 
(-9, 50, -178), [3, 2, 2], 3.9.aj_by_agw 
(-9, 51, -181), [3, 3, 3], 3.9.aj_bz_agz 
(-8, 25, -58), [0, 1, 2], 3.9.ai_z_acg 
(-8, 27, -71), [0, 3, 1], 3.9.ai_bb_act 
(-8, 27, -70), [0, 3, 2], 3.9.ai_bb_acs 
(-8, 28, -76), [0, 0, 0], 3.9.ai_bc_acy 
(-8, 29, -83), [0, 1, 1], 3.9.ai_bd_adf 
(-8, 29, -82), [0, 1, 2], 3.9.ai_bd_ade 
(-8, 29, -80), [0, 1, 0], 3.9.ai_bd_adc 
(-8, 30, -88), [0, 2, 0], 3.9.ai_be_adk 
(-8, 30, -86), [0, 2, 2], 3.9.ai_be_adi 
(-8, 31, -94), [0, 3, 2], 3.9.ai_bf_adq 
(-8, 31, -92), [0, 3, 0], 3.9.ai_bf_ado 
(-8, 31, -91), [0, 3, 1], 3.9.ai_bf_adn 
(-8, 32, -98), [0, 0, 2], 3.9.ai_bg_adu 
(-8, 33, -107), [0, 1, 1], 3.9.ai_bh_aed 
(-8, 33, -106), [0, 1, 2], 3.9.ai_bh_aec 
(-8, 33, -103), [0, 1, 1], 3.9.ai_bh_adz 
(-8, 33, -101), [0, 1, 3], 3.9.ai_bh_adx 
(-8, 33, -100), [0, 1, 0], 3.9.ai_bh_adw 
(-8, 34, -112), [0, 2, 0], 3.9.ai_bi_aei 
(-8, 34, -110), [0, 2, 2], 3.9.ai_bi_aeg 
(-8, 34, -106), [0, 2, 2], 3.9.ai_bi_aec 
(-8, 35, -119), [0, 3, 1], 3.9.ai_bj_aep 
(-8, 35, -118), [0, 3, 2], 3.9.ai_bj_aeo 
(-8, 35, -116), [0, 3, 0], 3.9.ai_bj_aem 
(-8, 35, -115), [0, 3, 1], 3.9.ai_bj_ael 
(-8, 35, -110), [0, 3, 2], 3.9.ai_bj_aeg 
(-8, 36, -124), [0, 0, 0], 3.9.ai_bk_aeu 
(-8, 36, -122), [0, 0, 2], 3.9.ai_bk_aes 
(-8, 36, -118), [0, 0, 2], 3.9.ai_bk_aeo 
(-8, 37, -131), [0, 1, 1], 3.9.ai_bl_afb 
(-8, 37, -128), [0, 1, 0], 3.9.ai_bl_aey 
(-8, 37, -127), [0, 1, 1], 3.9.ai_bl_aex 
(-8, 37, -124), [0, 1, 0], 3.9.ai_bl_aeu 
(-8, 37, -122), [0, 1, 2], 3.9.ai_bl_aes 
(-8, 37, -121), [0, 1, 3], 3.9.ai_bl_aer 
(-8, 38, -136), [0, 2, 0], 3.9.ai_bm_afg 
(-8, 38, -134), [0, 2, 2], 3.9.ai_bm_afe 
(-8, 38, -130), [0, 2, 2], 3.9.ai_bm_afa 
(-8, 38, -128), [0, 2, 0], 3.9.ai_bm_aey 
(-8, 39, -142), [0, 3, 2], 3.9.ai_bn_afm 
(-8, 39, -140), [0, 3, 0], 3.9.ai_bn_afk 
(-8, 39, -139), [0, 3, 1], 3.9.ai_bn_afj 
(-8, 39, -137), [0, 3, 3], 3.9.ai_bn_afh 
(-8, 39, -136), [0, 3, 0], 3.9.ai_bn_afg 
(-8, 39, -134), [0, 3, 2], 3.9.ai_bn_afe 
(-8, 39, -133), [0, 3, 3], 3.9.ai_bn_afd 
(-8, 39, -131), [0, 3, 1], 3.9.ai_bn_afb 
(-8, 39, -130), [0, 3, 2], 3.9.ai_bn_afa 
(-8, 40, -142), [0, 0, 2], 3.9.ai_bo_afm 
(-8, 40, -140), [0, 0, 0], 3.9.ai_bo_afk 
(-8, 41, -149), [0, 1, 3], 3.9.ai_bp_aft 
(-8, 41, -146), [0, 1, 2], 3.9.ai_bp_afq 
(-8, 41, -145), [0, 1, 3], 3.9.ai_bp_afp 
(-8, 41, -142), [0, 1, 2], 3.9.ai_bp_afm 
(-8, 41, -140), [0, 1, 0], 3.9.ai_bp_afk 
(-8, 42, -146), [0, 2, 2], 3.9.ai_bq_afq 
(-8, 42, -142), [0, 2, 2], 3.9.ai_bq_afm 
(-8, 43, -148), [0, 3, 0], 3.9.ai_br_afs 
(-8, 43, -146), [0, 3, 2], 3.9.ai_br_afq 
(-8, 43, -145), [0, 3, 3], 3.9.ai_br_afp 
(-8, 45, -154), [0, 1, 2], 3.9.ai_bt_afy 
(-7, 11, 7), [1, 3, 3], 3.9.ah_l_h 
(-7, 13, -5), [1, 1, 3], 3.9.ah_n_af 
(-7, 13, -4), [1, 1, 0], 3.9.ah_n_ae 
(-7, 14, -10), [1, 2, 2], 3.9.ah_o_ak 
(-7, 16, -22), [1, 0, 2], 3.9.ah_q_aw 
(-7, 16, -20), [1, 0, 0], 3.9.ah_q_au 
(-7, 17, -29), [1, 1, 3], 3.9.ah_r_abd 
(-7, 17, -28), [1, 1, 0], 3.9.ah_r_abc 
(-7, 18, -34), [1, 2, 2], 3.9.ah_s_abi 
(-7, 18, -32), [1, 2, 0], 3.9.ah_s_abg 
(-7, 19, -41), [1, 3, 3], 3.9.ah_t_abp 
(-7, 19, -40), [1, 3, 0], 3.9.ah_t_abo 
(-7, 19, -38), [1, 3, 2], 3.9.ah_t_abm 
(-7, 19, -37), [1, 3, 3], 3.9.ah_t_abl 
(-7, 20, -44), [1, 0, 0], 3.9.ah_u_abs 
(-7, 21, -53), [1, 1, 3], 3.9.ah_v_acb 
(-7, 21, -52), [1, 1, 0], 3.9.ah_v_aca 
(-7, 21, -50), [1, 1, 2], 3.9.ah_v_aby 
(-7, 21, -47), [1, 1, 1], 3.9.ah_v_abv 
(-7, 22, -56), [1, 2, 0], 3.9.ah_w_ace 
(-7, 22, -52), [1, 2, 0], 3.9.ah_w_aca 
(-7, 23, -65), [1, 3, 3], 3.9.ah_x_acn 
(-7, 23, -64), [1, 3, 0], 3.9.ah_x_acm 
(-7, 23, -61), [1, 3, 3], 3.9.ah_x_acj 
(-7, 23, -59), [1, 3, 1], 3.9.ah_x_ach 
(-7, 23, -58), [1, 3, 2], 3.9.ah_x_acg 
(-7, 24, -70), [1, 0, 2], 3.9.ah_y_acs 
(-7, 24, -68), [1, 0, 0], 3.9.ah_y_acq 
(-7, 24, -64), [1, 0, 0], 3.9.ah_y_acm 
(-7, 24, -62), [1, 0, 2], 3.9.ah_y_ack 
(-7, 25, -77), [1, 1, 3], 3.9.ah_z_acz 
(-7, 25, -76), [1, 1, 0], 3.9.ah_z_acy 
(-7, 25, -74), [1, 1, 2], 3.9.ah_z_acw 
(-7, 25, -73), [1, 1, 3], 3.9.ah_z_acv 
(-7, 25, -71), [1, 1, 1], 3.9.ah_z_act 
(-7, 25, -68), [1, 1, 0], 3.9.ah_z_acq 
(-7, 25, -67), [1, 1, 1], 3.9.ah_z_acp 
(-7, 26, -80), [1, 2, 0], 3.9.ah_ba_adc 
(-7, 26, -76), [1, 2, 0], 3.9.ah_ba_acy 
(-7, 27, -89), [1, 3, 3], 3.9.ah_bb_adl 
(-7, 27, -88), [1, 3, 0], 3.9.ah_bb_adk 
(-7, 27, -86), [1, 3, 2], 3.9.ah_bb_adi 
(-7, 27, -85), [1, 3, 3], 3.9.ah_bb_adh 
(-7, 27, -83), [1, 3, 1], 3.9.ah_bb_adf 
(-7, 27, -82), [1, 3, 2], 3.9.ah_bb_ade 
(-7, 27, -80), [1, 3, 0], 3.9.ah_bb_adc 
(-7, 27, -79), [1, 3, 1], 3.9.ah_bb_adb 
(-7, 27, -77), [1, 3, 3], 3.9.ah_bb_acz 
(-7, 28, -94), [1, 0, 2], 3.9.ah_bc_adq 
(-7, 28, -92), [1, 0, 0], 3.9.ah_bc_ado 
(-7, 28, -86), [1, 0, 2], 3.9.ah_bc_adi 
(-7, 28, -80), [1, 0, 0], 3.9.ah_bc_adc 
(-7, 29, -101), [1, 1, 3], 3.9.ah_bd_adx 
(-7, 29, -100), [1, 1, 0], 3.9.ah_bd_adw 
(-7, 29, -98), [1, 1, 2], 3.9.ah_bd_adu 
(-7, 29, -97), [1, 1, 3], 3.9.ah_bd_adt 
(-7, 29, -95), [1, 1, 1], 3.9.ah_bd_adr 
(-7, 29, -94), [1, 1, 2], 3.9.ah_bd_adq 
(-7, 29, -92), [1, 1, 0], 3.9.ah_bd_ado 
(-7, 29, -91), [1, 1, 1], 3.9.ah_bd_adn 
(-7, 29, -89), [1, 1, 3], 3.9.ah_bd_adl 
(-7, 29, -88), [1, 1, 0], 3.9.ah_bd_adk 
(-7, 29, -85), [1, 1, 3], 3.9.ah_bd_adh 
(-7, 30, -106), [1, 2, 2], 3.9.ah_be_aec 
(-7, 30, -100), [1, 2, 0], 3.9.ah_be_adw 
(-7, 30, -98), [1, 2, 2], 3.9.ah_be_adu 
(-7, 30, -94), [1, 2, 2], 3.9.ah_be_adq 
(-7, 30, -92), [1, 2, 0], 3.9.ah_be_ado 
(-7, 31, -113), [1, 3, 3], 3.9.ah_bf_aej 
(-7, 31, -112), [1, 3, 0], 3.9.ah_bf_aei 
(-7, 31, -110), [1, 3, 2], 3.9.ah_bf_aeg 
(-7, 31, -109), [1, 3, 3], 3.9.ah_bf_aef 
(-7, 31, -107), [1, 3, 1], 3.9.ah_bf_aed 
(-7, 31, -106), [1, 3, 2], 3.9.ah_bf_aec 
(-7, 31, -104), [1, 3, 0], 3.9.ah_bf_aea 
(-7, 31, -103), [1, 3, 1], 3.9.ah_bf_adz 
(-7, 31, -101), [1, 3, 3], 3.9.ah_bf_adx 
(-7, 31, -100), [1, 3, 0], 3.9.ah_bf_adw 
(-7, 31, -98), [1, 3, 2], 3.9.ah_bf_adu 
(-7, 31, -97), [1, 3, 3], 3.9.ah_bf_adt 
(-7, 31, -95), [1, 3, 1], 3.9.ah_bf_adr 
(-7, 32, -112), [1, 0, 0], 3.9.ah_bg_aei 
(-7, 32, -110), [1, 0, 2], 3.9.ah_bg_aeg 
(-7, 32, -106), [1, 0, 2], 3.9.ah_bg_aec 
(-7, 32, -104), [1, 0, 0], 3.9.ah_bg_aea 
(-7, 32, -100), [1, 0, 0], 3.9.ah_bg_adw 
(-7, 33, -125), [1, 1, 3], 3.9.ah_bh_aev 
(-7, 33, -124), [1, 1, 0], 3.9.ah_bh_aeu 
(-7, 33, -122), [1, 1, 2], 3.9.ah_bh_aes 
(-7, 33, -121), [1, 1, 3], 3.9.ah_bh_aer 
(-7, 33, -119), [1, 1, 1], 3.9.ah_bh_aep 
(-7, 33, -116), [1, 1, 0], 3.9.ah_bh_aem 
(-7, 33, -115), [1, 1, 1], 3.9.ah_bh_ael 
(-7, 33, -113), [1, 1, 3], 3.9.ah_bh_aej 
(-7, 33, -110), [1, 1, 2], 3.9.ah_bh_aeg 
(-7, 33, -109), [1, 1, 3], 3.9.ah_bh_aef 
(-7, 33, -107), [1, 1, 1], 3.9.ah_bh_aed 
(-7, 33, -104), [1, 1, 0], 3.9.ah_bh_aea 
(-7, 33, -103), [1, 1, 1], 3.9.ah_bh_adz 
(-7, 34, -124), [1, 2, 0], 3.9.ah_bi_aeu 
(-7, 34, -122), [1, 2, 2], 3.9.ah_bi_aes 
(-7, 34, -118), [1, 2, 2], 3.9.ah_bi_aeo 
(-7, 34, -116), [1, 2, 0], 3.9.ah_bi_aem 
(-7, 34, -112), [1, 2, 0], 3.9.ah_bi_aei 
(-7, 34, -110), [1, 2, 2], 3.9.ah_bi_aeg 
(-7, 35, -127), [1, 3, 1], 3.9.ah_bj_aex 
(-7, 35, -125), [1, 3, 3], 3.9.ah_bj_aev 
(-7, 35, -124), [1, 3, 0], 3.9.ah_bj_aeu 
(-7, 35, -121), [1, 3, 3], 3.9.ah_bj_aer 
(-7, 35, -119), [1, 3, 1], 3.9.ah_bj_aep 
(-7, 35, -118), [1, 3, 2], 3.9.ah_bj_aeo 
(-7, 35, -115), [1, 3, 1], 3.9.ah_bj_ael 
(-7, 35, -113), [1, 3, 3], 3.9.ah_bj_aej 
(-7, 35, -112), [1, 3, 0], 3.9.ah_bj_aei 
(-7, 36, -128), [1, 0, 0], 3.9.ah_bk_aey 
(-7, 36, -118), [1, 0, 2], 3.9.ah_bk_aeo 
(-7, 36, -116), [1, 0, 0], 3.9.ah_bk_aem 
(-7, 37, -128), [1, 1, 0], 3.9.ah_bl_aey 
(-7, 37, -127), [1, 1, 1], 3.9.ah_bl_aex 
(-7, 37, -125), [1, 1, 3], 3.9.ah_bl_aev 
(-7, 37, -124), [1, 1, 0], 3.9.ah_bl_aeu 
(-7, 37, -122), [1, 1, 2], 3.9.ah_bl_aes 
(-7, 37, -121), [1, 1, 3], 3.9.ah_bl_aer 
(-7, 39, -131), [1, 3, 1], 3.9.ah_bn_afb 
(-7, 39, -128), [1, 3, 0], 3.9.ah_bn_aey 
(-7, 39, -127), [1, 3, 1], 3.9.ah_bn_aex 
(-6, 1, 50), [2, 1, 2], 3.9.ag_b_by 
(-6, 6, 20), [2, 2, 0], 3.9.ag_g_u 
(-6, 7, 14), [2, 3, 2], 3.9.ag_h_o 
(-6, 7, 16), [2, 3, 0], 3.9.ag_h_q 
(-6, 8, 8), [2, 0, 0], 3.9.ag_i_i 
(-6, 8, 10), [2, 0, 2], 3.9.ag_i_k 
(-6, 9, 1), [2, 1, 1], 3.9.ag_j_b 
(-6, 9, 2), [2, 1, 2], 3.9.ag_j_c 
(-6, 9, 4), [2, 1, 0], 3.9.ag_j_e 
(-6, 9, 5), [2, 1, 1], 3.9.ag_j_f 
(-6, 10, -4), [2, 2, 0], 3.9.ag_k_ae 
(-6, 10, -2), [2, 2, 2], 3.9.ag_k_ac 
(-6, 11, -10), [2, 3, 2], 3.9.ag_l_ak 
(-6, 11, -8), [2, 3, 0], 3.9.ag_l_ai 
(-6, 11, -7), [2, 3, 1], 3.9.ag_l_ah 
(-6, 11, -4), [2, 3, 0], 3.9.ag_l_ae 
(-6, 12, -14), [2, 0, 2], 3.9.ag_m_ao 
(-6, 12, -10), [2, 0, 2], 3.9.ag_m_ak 
(-6, 13, -23), [2, 1, 1], 3.9.ag_n_ax 
(-6, 13, -22), [2, 1, 2], 3.9.ag_n_aw 
(-6, 13, -19), [2, 1, 1], 3.9.ag_n_at 
(-6, 13, -17), [2, 1, 3], 3.9.ag_n_ar 
(-6, 13, -16), [2, 1, 0], 3.9.ag_n_aq 
(-6, 13, -14), [2, 1, 2], 3.9.ag_n_ao 
(-6, 14, -28), [2, 2, 0], 3.9.ag_o_abc 
(-6, 14, -26), [2, 2, 2], 3.9.ag_o_aba 
(-6, 14, -22), [2, 2, 2], 3.9.ag_o_aw 
(-6, 14, -20), [2, 2, 0], 3.9.ag_o_au 
(-6, 15, -34), [2, 3, 2], 3.9.ag_p_abi 
(-6, 15, -32), [2, 3, 0], 3.9.ag_p_abg 
(-6, 15, -31), [2, 3, 1], 3.9.ag_p_abf 
(-6, 15, -29), [2, 3, 3], 3.9.ag_p_abd 
(-6, 15, -26), [2, 3, 2], 3.9.ag_p_aba 
(-6, 15, -25), [2, 3, 3], 3.9.ag_p_az 
(-6, 16, -40), [2, 0, 0], 3.9.ag_q_abo 
(-6, 16, -38), [2, 0, 2], 3.9.ag_q_abm 
(-6, 16, -34), [2, 0, 2], 3.9.ag_q_abi 
(-6, 17, -47), [2, 1, 1], 3.9.ag_r_abv 
(-6, 17, -46), [2, 1, 2], 3.9.ag_r_abu 
(-6, 17, -44), [2, 1, 0], 3.9.ag_r_abs 
(-6, 17, -43), [2, 1, 1], 3.9.ag_r_abr 
(-6, 17, -40), [2, 1, 0], 3.9.ag_r_abo 
(-6, 17, -38), [2, 1, 2], 3.9.ag_r_abm 
(-6, 17, -37), [2, 1, 3], 3.9.ag_r_abl 
(-6, 17, -35), [2, 1, 1], 3.9.ag_r_abj 
(-6, 17, -34), [2, 1, 2], 3.9.ag_r_abi 
(-6, 18, -52), [2, 2, 0], 3.9.ag_s_aca 
(-6, 18, -50), [2, 2, 2], 3.9.ag_s_aby 
(-6, 18, -46), [2, 2, 2], 3.9.ag_s_abu 
