(-10, 25, 25), [2, 1, 1], 3.25.ak_z_z 
(-10, 50, -225), [2, 2, 3], 3.25.ak_by_air 
(-10, 50, -200), [2, 2, 0], 3.25.ak_by_ahs 
(-10, 50, -175), [2, 2, 1], 3.25.ak_by_agt 
(-5, 0, 25), [3, 0, 1], 3.25.af_a_z 
(-5, 0, 75), [3, 0, 3], 3.25.af_a_cx 
(-5, 0, 175), [3, 0, 3], 3.25.af_a_gt 
(-5, 50, -225), [3, 2, 3], 3.25.af_by_air 
(-5, 50, -175), [3, 2, 1], 3.25.af_by_agt 
(0, 0, -225), [0, 0, 3], 3.25.a_a_air 
(0, 0, -175), [0, 0, 1], 3.25.a_a_agt 
(0, 0, -75), [0, 0, 1], 3.25.a_a_acx 
(0, 0, -25), [0, 0, 3], 3.25.a_a_az 
(0, 0, 25), [0, 0, 1], 3.25.a_a_z 
(0, 0, 75), [0, 0, 3], 3.25.a_a_cx 
(0, 0, 175), [0, 0, 3], 3.25.a_a_gt 
(0, 0, 225), [0, 0, 1], 3.25.a_a_ir 
(0, 50, -25), [0, 2, 3], 3.25.a_by_az 
(0, 50, 25), [0, 2, 1], 3.25.a_by_z 
(5, 0, -175), [1, 0, 1], 3.25.f_a_agt 
(5, 0, -75), [1, 0, 1], 3.25.f_a_acx 
(5, 0, -25), [1, 0, 3], 3.25.f_a_az 
(5, 50, 175), [1, 2, 3], 3.25.f_by_gt 
(5, 50, 225), [1, 2, 1], 3.25.f_by_ir 
(10, 25, -25), [2, 1, 3], 3.25.k_z_az 
(10, 50, 175), [2, 2, 3], 3.25.k_by_gt 
(10, 50, 200), [2, 2, 0], 3.25.k_by_hs 
(10, 50, 225), [2, 2, 1], 3.25.k_by_ir 
