(-11, 66, -264), [0, 0, 0], 3.11.al_co_ake 
(0, 0, -66), [0, 0, 0], 3.11.a_a_aco 
(0, 0, -44), [0, 0, 0], 3.11.a_a_abs 
(0, 0, -22), [0, 0, 0], 3.11.a_a_aw 
(0, 0, 22), [0, 0, 0], 3.11.a_a_w 
(0, 0, 44), [0, 0, 0], 3.11.a_a_bs 
(0, 0, 66), [0, 0, 0], 3.11.a_a_co 
(0, 11, -33), [0, 0, 0], 3.11.a_l_abh 
(0, 11, -22), [0, 0, 0], 3.11.a_l_aw 
(0, 11, -11), [0, 0, 0], 3.11.a_l_al 
(0, 11, 11), [0, 0, 0], 3.11.a_l_l 
(0, 11, 22), [0, 0, 0], 3.11.a_l_w 
(0, 11, 33), [0, 0, 0], 3.11.a_l_bh 
(11, 66, 264), [0, 0, 0], 3.11.l_co_ke 
