(-12, 80, -368), [4, 0, 0], 3.16.am_dc_aoe 
(-8, 16, 16), [8, 0, 0], 3.16.ai_q_q 
(-8, 24, -48), [8, 8, 0], 3.16.ai_y_abw 
(-8, 32, -112), [8, 0, 0], 3.16.ai_bg_aei 
(-8, 40, -176), [8, 8, 0], 3.16.ai_bo_agu 
(-8, 40, -144), [8, 8, 0], 3.16.ai_bo_afo 
(-8, 48, -240), [8, 0, 0], 3.16.ai_bw_ajg 
(-8, 48, -208), [8, 0, 0], 3.16.ai_bw_aia 
(-8, 56, -240), [8, 8, 0], 3.16.ai_ce_ajg 
(-4, -8, 80), [12, 8, 0], 3.16.ae_ai_dc 
(-4, -8, 112), [12, 8, 0], 3.16.ae_ai_ei 
(-4, 0, 16), [12, 0, 0], 3.16.ae_a_q 
(-4, 0, 48), [12, 0, 0], 3.16.ae_a_bw 
(-4, 0, 80), [12, 0, 0], 3.16.ae_a_dc 
(-4, 8, -48), [12, 8, 0], 3.16.ae_i_abw 
(-4, 8, -16), [12, 8, 0], 3.16.ae_i_aq 
(-4, 8, 16), [12, 8, 0], 3.16.ae_i_q 
(-4, 16, -112), [12, 0, 0], 3.16.ae_q_aei 
(-4, 16, -80), [12, 0, 0], 3.16.ae_q_adc 
(-4, 16, -48), [12, 0, 0], 3.16.ae_q_abw 
(-4, 16, -16), [12, 0, 0], 3.16.ae_q_aq 
(-4, 24, -144), [12, 8, 0], 3.16.ae_y_afo 
(-4, 24, -112), [12, 8, 0], 3.16.ae_y_aei 
(-4, 24, -80), [12, 8, 0], 3.16.ae_y_adc 
(-4, 24, -48), [12, 8, 0], 3.16.ae_y_abw 
(-4, 32, -112), [12, 0, 0], 3.16.ae_bg_aei 
(-4, 32, -80), [12, 0, 0], 3.16.ae_bg_adc 
(-4, 40, -112), [12, 8, 0], 3.16.ae_bo_aei 
(0, -8, -48), [0, 8, 0], 3.16.a_ai_abw 
(0, -8, -16), [0, 8, 0], 3.16.a_ai_aq 
(0, -8, 16), [0, 8, 0], 3.16.a_ai_q 
(0, -8, 48), [0, 8, 0], 3.16.a_ai_bw 
(0, 0, -112), [0, 0, 0], 3.16.a_a_aei 
(0, 0, -80), [0, 0, 0], 3.16.a_a_adc 
(0, 0, -48), [0, 0, 0], 3.16.a_a_abw 
(0, 0, -16), [0, 0, 0], 3.16.a_a_aq 
(0, 0, 16), [0, 0, 0], 3.16.a_a_q 
(0, 0, 48), [0, 0, 0], 3.16.a_a_bw 
(0, 0, 80), [0, 0, 0], 3.16.a_a_dc 
(0, 0, 112), [0, 0, 0], 3.16.a_a_ei 
(0, 8, -80), [0, 8, 0], 3.16.a_i_adc 
(0, 8, -48), [0, 8, 0], 3.16.a_i_abw 
(0, 8, -16), [0, 8, 0], 3.16.a_i_aq 
(0, 8, 16), [0, 8, 0], 3.16.a_i_q 
(0, 8, 48), [0, 8, 0], 3.16.a_i_bw 
(0, 8, 80), [0, 8, 0], 3.16.a_i_dc 
(0, 16, -48), [0, 0, 0], 3.16.a_q_abw 
(0, 16, -16), [0, 0, 0], 3.16.a_q_aq 
(0, 16, 16), [0, 0, 0], 3.16.a_q_q 
(0, 16, 48), [0, 0, 0], 3.16.a_q_bw 
(0, 24, -16), [0, 8, 0], 3.16.a_y_aq 
(0, 24, 16), [0, 8, 0], 3.16.a_y_q 
(0, 32, -16), [0, 0, 0], 3.16.a_bg_aq 
(0, 32, 16), [0, 0, 0], 3.16.a_bg_q 
(4, -8, -112), [4, 8, 0], 3.16.e_ai_aei 
(4, -8, -80), [4, 8, 0], 3.16.e_ai_adc 
(4, 0, -80), [4, 0, 0], 3.16.e_a_adc 
(4, 0, -48), [4, 0, 0], 3.16.e_a_abw 
(4, 0, -16), [4, 0, 0], 3.16.e_a_aq 
(4, 8, -16), [4, 8, 0], 3.16.e_i_aq 
(4, 8, 16), [4, 8, 0], 3.16.e_i_q 
(4, 8, 48), [4, 8, 0], 3.16.e_i_bw 
(4, 16, 16), [4, 0, 0], 3.16.e_q_q 
(4, 16, 48), [4, 0, 0], 3.16.e_q_bw 
(4, 16, 80), [4, 0, 0], 3.16.e_q_dc 
(4, 16, 112), [4, 0, 0], 3.16.e_q_ei 
(4, 24, 48), [4, 8, 0], 3.16.e_y_bw 
(4, 24, 80), [4, 8, 0], 3.16.e_y_dc 
(4, 24, 112), [4, 8, 0], 3.16.e_y_ei 
(4, 24, 144), [4, 8, 0], 3.16.e_y_fo 
(4, 32, 80), [4, 0, 0], 3.16.e_bg_dc 
(4, 32, 112), [4, 0, 0], 3.16.e_bg_ei 
(4, 40, 112), [4, 8, 0], 3.16.e_bo_ei 
(8, 16, -16), [8, 0, 0], 3.16.i_q_aq 
(8, 24, 48), [8, 8, 0], 3.16.i_y_bw 
(8, 32, 112), [8, 0, 0], 3.16.i_bg_ei 
(8, 40, 144), [8, 8, 0], 3.16.i_bo_fo 
(8, 40, 176), [8, 8, 0], 3.16.i_bo_gu 
(8, 48, 208), [8, 0, 0], 3.16.i_bw_ia 
(8, 48, 240), [8, 0, 0], 3.16.i_bw_jg 
(8, 56, 240), [8, 8, 0], 3.16.i_ce_jg 
(12, 80, 368), [12, 0, 0], 3.16.m_dc_oe 
