(0, 0, -136), [0, 0, 0], 3.17.a_a_afg 
(0, 0, -102), [0, 0, 0], 3.17.a_a_ady 
(0, 0, -68), [0, 0, 0], 3.17.a_a_acq 
(0, 0, -34), [0, 0, 0], 3.17.a_a_abi 
(0, 0, 34), [0, 0, 0], 3.17.a_a_bi 
(0, 0, 68), [0, 0, 0], 3.17.a_a_cq 
(0, 0, 102), [0, 0, 0], 3.17.a_a_dy 
(0, 0, 136), [0, 0, 0], 3.17.a_a_fg 
(0, 17, -68), [0, 0, 0], 3.17.a_r_acq 
(0, 17, -51), [0, 0, 0], 3.17.a_r_abz 
(0, 17, -34), [0, 0, 0], 3.17.a_r_abi 
(0, 17, -17), [0, 0, 0], 3.17.a_r_ar 
(0, 17, 17), [0, 0, 0], 3.17.a_r_r 
(0, 17, 34), [0, 0, 0], 3.17.a_r_bi 
(0, 17, 51), [0, 0, 0], 3.17.a_r_bz 
(0, 17, 68), [0, 0, 0], 3.17.a_r_cq 
