(0, 0, -152), [0, 0, 0], 3.19.a_a_afw 
(0, 0, -114), [0, 0, 2], 3.19.a_a_aek 
(0, 0, -76), [0, 0, 0], 3.19.a_a_acy 
(0, 0, -38), [0, 0, 2], 3.19.a_a_abm 
(0, 0, 38), [0, 0, 2], 3.19.a_a_bm 
(0, 0, 76), [0, 0, 0], 3.19.a_a_cy 
(0, 0, 114), [0, 0, 2], 3.19.a_a_ek 
(0, 0, 152), [0, 0, 0], 3.19.a_a_fw 
(0, 19, -76), [0, 3, 0], 3.19.a_t_acy 
(0, 19, -57), [0, 3, 3], 3.19.a_t_acf 
(0, 19, -38), [0, 3, 2], 3.19.a_t_abm 
(0, 19, -19), [0, 3, 1], 3.19.a_t_at 
(0, 19, 19), [0, 3, 3], 3.19.a_t_t 
(0, 19, 38), [0, 3, 2], 3.19.a_t_bm 
(0, 19, 57), [0, 3, 1], 3.19.a_t_cf 
(0, 19, 76), [0, 3, 0], 3.19.a_t_cy 
