(0, 0, -184), [0, 0, 0], 3.23.a_a_ahc 
(0, 0, -138), [0, 0, 2], 3.23.a_a_afi 
(0, 0, -92), [0, 0, 0], 3.23.a_a_ado 
(0, 0, -46), [0, 0, 2], 3.23.a_a_abu 
(0, 0, 46), [0, 0, 2], 3.23.a_a_bu 
(0, 0, 92), [0, 0, 0], 3.23.a_a_do 
(0, 0, 138), [0, 0, 2], 3.23.a_a_fi 
(0, 0, 184), [0, 0, 0], 3.23.a_a_hc 
(0, 23, -115), [0, 3, 1], 3.23.a_x_ael 
(0, 23, -92), [0, 3, 0], 3.23.a_x_ado 
(0, 23, -69), [0, 3, 3], 3.23.a_x_acr 
(0, 23, -46), [0, 3, 2], 3.23.a_x_abu 
(0, 23, -23), [0, 3, 1], 3.23.a_x_ax 
(0, 23, 23), [0, 3, 3], 3.23.a_x_x 
(0, 23, 46), [0, 3, 2], 3.23.a_x_bu 
(0, 23, 69), [0, 3, 1], 3.23.a_x_cr 
(0, 23, 92), [0, 3, 0], 3.23.a_x_do 
(0, 23, 115), [0, 3, 3], 3.23.a_x_el 
