(-15, 125, -725), [10, 0, 0], 3.25.ap_ev_abbx 
(-10, 75, -475), [15, 0, 0], 3.25.ak_cx_ash 
(-10, 75, -450), [15, 0, 0], 3.25.ak_cx_ari 
(-10, 75, -425), [15, 0, 0], 3.25.ak_cx_aqj 
(-10, 75, -400), [15, 0, 0], 3.25.ak_cx_apk 
(-5, 0, 50), [20, 0, 0], 3.25.af_a_by 
(-5, 0, 100), [20, 0, 0], 3.25.af_a_dw 
(-5, 0, 150), [20, 0, 0], 3.25.af_a_fu 
(-5, 25, -225), [20, 0, 0], 3.25.af_z_air 
(-5, 25, -200), [20, 0, 0], 3.25.af_z_ahs 
(-5, 25, -175), [20, 0, 0], 3.25.af_z_agt 
(-5, 25, -150), [20, 0, 0], 3.25.af_z_afu 
(-5, 25, -100), [20, 0, 0], 3.25.af_z_adw 
(-5, 25, -75), [20, 0, 0], 3.25.af_z_acx 
(-5, 25, -50), [20, 0, 0], 3.25.af_z_aby 
(-5, 25, -25), [20, 0, 0], 3.25.af_z_az 
(-5, 50, -200), [20, 0, 0], 3.25.af_by_ahs 
(-5, 50, -150), [20, 0, 0], 3.25.af_by_afu 
(0, 0, -200), [0, 0, 0], 3.25.a_a_ahs 
(0, 0, -150), [0, 0, 0], 3.25.a_a_afu 
(0, 0, -100), [0, 0, 0], 3.25.a_a_adw 
(0, 0, -50), [0, 0, 0], 3.25.a_a_aby 
(0, 0, 50), [0, 0, 0], 3.25.a_a_by 
(0, 0, 100), [0, 0, 0], 3.25.a_a_dw 
(0, 0, 150), [0, 0, 0], 3.25.a_a_fu 
(0, 0, 200), [0, 0, 0], 3.25.a_a_hs 
(0, 25, -100), [0, 0, 0], 3.25.a_z_adw 
(0, 25, -75), [0, 0, 0], 3.25.a_z_acx 
(0, 25, -50), [0, 0, 0], 3.25.a_z_aby 
(0, 25, -25), [0, 0, 0], 3.25.a_z_az 
(0, 25, 25), [0, 0, 0], 3.25.a_z_z 
(0, 25, 50), [0, 0, 0], 3.25.a_z_by 
(0, 25, 75), [0, 0, 0], 3.25.a_z_cx 
(0, 25, 100), [0, 0, 0], 3.25.a_z_dw 
(5, 0, -150), [5, 0, 0], 3.25.f_a_afu 
(5, 0, -100), [5, 0, 0], 3.25.f_a_adw 
(5, 0, -50), [5, 0, 0], 3.25.f_a_aby 
(5, 25, 25), [5, 0, 0], 3.25.f_z_z 
(5, 25, 50), [5, 0, 0], 3.25.f_z_by 
(5, 25, 75), [5, 0, 0], 3.25.f_z_cx 
(5, 25, 100), [5, 0, 0], 3.25.f_z_dw 
(5, 25, 150), [5, 0, 0], 3.25.f_z_fu 
(5, 25, 175), [5, 0, 0], 3.25.f_z_gt 
(5, 25, 200), [5, 0, 0], 3.25.f_z_hs 
(5, 25, 225), [5, 0, 0], 3.25.f_z_ir 
(5, 50, 150), [5, 0, 0], 3.25.f_by_fu 
(5, 50, 200), [5, 0, 0], 3.25.f_by_hs 
(10, 75, 400), [10, 0, 0], 3.25.k_cx_pk 
(10, 75, 425), [10, 0, 0], 3.25.k_cx_qj 
(10, 75, 450), [10, 0, 0], 3.25.k_cx_ri 
(10, 75, 475), [10, 0, 0], 3.25.k_cx_sh 
(15, 125, 725), [15, 0, 0], 3.25.p_ev_bbx 
