(-4, 8, -12), [0, 0, 0], 3.4.ae_i_am 
(-4, 12, -28), [0, 0, 0], 3.4.ae_m_abc 
(-2, 0, 4), [2, 0, 0], 3.4.ac_a_e 
(-2, 4, -12), [2, 0, 0], 3.4.ac_e_am 
(-2, 4, -4), [2, 0, 0], 3.4.ac_e_ae 
(-2, 8, -12), [2, 0, 0], 3.4.ac_i_am 
(0, 0, -12), [0, 0, 0], 3.4.a_a_am 
(0, 0, -4), [0, 0, 0], 3.4.a_a_ae 
(0, 0, 4), [0, 0, 0], 3.4.a_a_e 
(0, 0, 12), [0, 0, 0], 3.4.a_a_m 
(0, 4, -4), [0, 0, 0], 3.4.a_e_ae 
(0, 4, 4), [0, 0, 0], 3.4.a_e_e 
(2, 0, -4), [2, 0, 0], 3.4.c_a_ae 
(2, 4, 4), [2, 0, 0], 3.4.c_e_e 
(2, 4, 12), [2, 0, 0], 3.4.c_e_m 
(2, 8, 12), [2, 0, 0], 3.4.c_i_m 
(4, 8, 12), [0, 0, 0], 3.4.e_i_m 
(4, 12, 28), [0, 0, 0], 3.4.e_m_bc 
