(-8, 36, -120), [0, 0, 0], 3.8.ai_bk_aeq 
(-6, 8, 8), [2, 0, 0], 3.8.ag_i_i 
(-6, 20, -56), [2, 0, 0], 3.8.ag_u_ace 
(-6, 24, -72), [2, 0, 0], 3.8.ag_y_acu 
(-6, 36, -104), [2, 0, 0], 3.8.ag_bk_aea 
(-4, 4, 8), [0, 0, 0], 3.8.ae_e_i 
(-4, 12, -40), [0, 0, 0], 3.8.ae_m_abo 
(-4, 12, -24), [0, 0, 0], 3.8.ae_m_ay 
(-4, 20, -56), [0, 0, 0], 3.8.ae_u_ace 
(-2, -4, 40), [2, 0, 0], 3.8.ac_ae_bo 
(-2, 0, -8), [2, 0, 0], 3.8.ac_a_ai 
(-2, 0, 8), [2, 0, 0], 3.8.ac_a_i 
(-2, 0, 24), [2, 0, 0], 3.8.ac_a_y 
(-2, 4, -24), [2, 0, 0], 3.8.ac_e_ay 
(-2, 4, -8), [2, 0, 0], 3.8.ac_e_ai 
(-2, 8, -40), [2, 0, 0], 3.8.ac_i_abo 
(-2, 8, -24), [2, 0, 0], 3.8.ac_i_ay 
(-2, 8, -8), [2, 0, 0], 3.8.ac_i_ai 
(-2, 12, -24), [2, 0, 0], 3.8.ac_m_ay 
(-2, 16, -24), [2, 0, 0], 3.8.ac_q_ay 
(0, -4, -8), [0, 0, 0], 3.8.a_ae_ai 
(0, -4, 8), [0, 0, 0], 3.8.a_ae_i 
(0, 4, -24), [0, 0, 0], 3.8.a_e_ay 
(0, 4, -8), [0, 0, 0], 3.8.a_e_ai 
(0, 4, 8), [0, 0, 0], 3.8.a_e_i 
(0, 4, 24), [0, 0, 0], 3.8.a_e_y 
(0, 12, -8), [0, 0, 0], 3.8.a_m_ai 
(0, 12, 8), [0, 0, 0], 3.8.a_m_i 
(2, -4, -40), [2, 0, 0], 3.8.c_ae_abo 
(2, 0, -24), [2, 0, 0], 3.8.c_a_ay 
(2, 0, -8), [2, 0, 0], 3.8.c_a_ai 
(2, 0, 8), [2, 0, 0], 3.8.c_a_i 
(2, 4, 8), [2, 0, 0], 3.8.c_e_i 
(2, 4, 24), [2, 0, 0], 3.8.c_e_y 
(2, 8, 8), [2, 0, 0], 3.8.c_i_i 
(2, 8, 24), [2, 0, 0], 3.8.c_i_y 
(2, 8, 40), [2, 0, 0], 3.8.c_i_bo 
(2, 12, 24), [2, 0, 0], 3.8.c_m_y 
(2, 16, 24), [2, 0, 0], 3.8.c_q_y 
(4, 4, -8), [0, 0, 0], 3.8.e_e_ai 
(4, 12, 24), [0, 0, 0], 3.8.e_m_y 
(4, 12, 40), [0, 0, 0], 3.8.e_m_bo 
(4, 20, 56), [0, 0, 0], 3.8.e_u_ce 
(6, 8, -8), [2, 0, 0], 3.8.g_i_ai 
(6, 20, 56), [2, 0, 0], 3.8.g_u_ce 
(6, 24, 72), [2, 0, 0], 3.8.g_y_cu 
(6, 36, 104), [2, 0, 0], 3.8.g_bk_ea 
(8, 36, 120), [0, 0, 0], 3.8.i_bk_eq 
