(-10, 44, -143), [2, 0, 1], 3.11.ak_bs_afn 
(-9, 44, -165), [3, 0, 3], 3.11.aj_bs_agj 
(-8, 44, -165), [0, 0, 3], 3.11.ai_bs_agj 
(-7, 22, -55), [1, 2, 1], 3.11.ah_w_acd 
(-6, 22, -77), [2, 2, 3], 3.11.ag_w_acz 
(-6, 22, -55), [2, 2, 1], 3.11.ag_w_acd 
(-5, 22, -99), [3, 2, 1], 3.11.af_w_adv 
(-5, 22, -77), [3, 2, 3], 3.11.af_w_acz 
(-4, 0, 33), [0, 0, 1], 3.11.ae_a_bh 
(-4, 22, -77), [0, 2, 3], 3.11.ae_w_acz 
(-4, 22, -55), [0, 2, 1], 3.11.ae_w_acd 
(-3, 0, 11), [1, 0, 3], 3.11.ad_a_l 
(-3, 22, -55), [1, 2, 1], 3.11.ad_w_acd 
(-2, 0, -11), [2, 0, 1], 3.11.ac_a_al 
(-2, 0, 11), [2, 0, 3], 3.11.ac_a_l 
(-2, 0, 33), [2, 0, 1], 3.11.ac_a_bh 
(-2, 0, 55), [2, 0, 3], 3.11.ac_a_cd 
(-2, 22, -33), [2, 2, 3], 3.11.ac_w_abh 
(-1, 0, -33), [3, 0, 3], 3.11.ab_a_abh 
(-1, 0, -11), [3, 0, 1], 3.11.ab_a_al 
(-1, 0, 33), [3, 0, 1], 3.11.ab_a_bh 
(-1, 0, 55), [3, 0, 3], 3.11.ab_a_cd 
(1, 0, -55), [1, 0, 1], 3.11.b_a_acd 
(1, 0, -33), [1, 0, 3], 3.11.b_a_abh 
(1, 0, 11), [1, 0, 3], 3.11.b_a_l 
(1, 0, 33), [1, 0, 1], 3.11.b_a_bh 
(2, 0, -55), [2, 0, 1], 3.11.c_a_acd 
(2, 0, -33), [2, 0, 3], 3.11.c_a_abh 
(2, 0, -11), [2, 0, 1], 3.11.c_a_al 
(2, 0, 11), [2, 0, 3], 3.11.c_a_l 
(2, 22, 33), [2, 2, 1], 3.11.c_w_bh 
(3, 0, -11), [3, 0, 1], 3.11.d_a_al 
(3, 22, 55), [3, 2, 3], 3.11.d_w_cd 
(4, 0, -33), [0, 0, 3], 3.11.e_a_abh 
(4, 22, 55), [0, 2, 3], 3.11.e_w_cd 
(4, 22, 77), [0, 2, 1], 3.11.e_w_cz 
(5, 22, 77), [1, 2, 1], 3.11.f_w_cz 
(5, 22, 99), [1, 2, 3], 3.11.f_w_dv 
(6, 22, 55), [2, 2, 3], 3.11.g_w_cd 
(6, 22, 77), [2, 2, 1], 3.11.g_w_cz 
(7, 22, 55), [3, 2, 3], 3.11.h_w_cd 
(8, 44, 165), [0, 0, 1], 3.11.i_bs_gj 
(9, 44, 165), [1, 0, 1], 3.11.j_bs_gj 
(10, 44, 143), [2, 0, 3], 3.11.k_bs_fn 
