(-11, 52, -182), [1, 0, 2], 3.13.al_ca_aha 
(-10, 52, -195), [2, 0, 1], 3.13.ak_ca_ahn 
(-9, 52, -221), [3, 0, 3], 3.13.aj_ca_ain 
(-8, 26, -65), [0, 2, 3], 3.13.ai_ba_acn 
(-6, 0, 65), [2, 0, 1], 3.13.ag_a_cn 
(-6, 26, -117), [2, 2, 3], 3.13.ag_ba_aen 
(-6, 26, -91), [2, 2, 1], 3.13.ag_ba_adn 
(-5, 0, 39), [3, 0, 3], 3.13.af_a_bn 
(-5, 26, -117), [3, 2, 3], 3.13.af_ba_aen 
(-5, 26, -91), [3, 2, 1], 3.13.af_ba_adn 
(-4, 0, 13), [0, 0, 1], 3.13.ae_a_n 
(-4, 0, 39), [0, 0, 3], 3.13.ae_a_bn 
(-4, 0, 65), [0, 0, 1], 3.13.ae_a_cn 
(-4, 26, -91), [0, 2, 1], 3.13.ae_ba_adn 
(-4, 26, -65), [0, 2, 3], 3.13.ae_ba_acn 
(-3, 0, -13), [1, 0, 3], 3.13.ad_a_an 
(-3, 0, 13), [1, 0, 1], 3.13.ad_a_n 
(-3, 0, 65), [1, 0, 1], 3.13.ad_a_cn 
(-3, 26, -65), [1, 2, 3], 3.13.ad_ba_acn 
(-2, 0, -39), [2, 0, 1], 3.13.ac_a_abn 
(-2, 0, -13), [2, 0, 3], 3.13.ac_a_an 
(-2, 0, 13), [2, 0, 1], 3.13.ac_a_n 
(-2, 0, 39), [2, 0, 3], 3.13.ac_a_bn 
(-2, 0, 65), [2, 0, 1], 3.13.ac_a_cn 
(-2, 26, -39), [2, 2, 1], 3.13.ac_ba_abn 
(-1, 0, -65), [3, 0, 3], 3.13.ab_a_acn 
(-1, 0, -39), [3, 0, 1], 3.13.ab_a_abn 
(-1, 0, -13), [3, 0, 3], 3.13.ab_a_an 
(-1, 0, 39), [3, 0, 3], 3.13.ab_a_bn 
(-1, 0, 65), [3, 0, 1], 3.13.ab_a_cn 
(-1, 26, -39), [3, 2, 1], 3.13.ab_ba_abn 
(1, 0, -65), [1, 0, 3], 3.13.b_a_acn 
(1, 0, -39), [1, 0, 1], 3.13.b_a_abn 
(1, 0, 13), [1, 0, 1], 3.13.b_a_n 
(1, 0, 39), [1, 0, 3], 3.13.b_a_bn 
(1, 0, 65), [1, 0, 1], 3.13.b_a_cn 
(1, 26, 39), [1, 2, 3], 3.13.b_ba_bn 
(2, 0, -65), [2, 0, 3], 3.13.c_a_acn 
(2, 0, -39), [2, 0, 1], 3.13.c_a_abn 
(2, 0, -13), [2, 0, 3], 3.13.c_a_an 
(2, 0, 13), [2, 0, 1], 3.13.c_a_n 
(2, 0, 39), [2, 0, 3], 3.13.c_a_bn 
(2, 26, 39), [2, 2, 3], 3.13.c_ba_bn 
(3, 0, -65), [3, 0, 3], 3.13.d_a_acn 
(3, 0, -13), [3, 0, 3], 3.13.d_a_an 
(3, 0, 13), [3, 0, 1], 3.13.d_a_n 
(3, 26, 65), [3, 2, 1], 3.13.d_ba_cn 
(4, 0, -65), [0, 0, 3], 3.13.e_a_acn 
(4, 0, -39), [0, 0, 1], 3.13.e_a_abn 
(4, 0, -13), [0, 0, 3], 3.13.e_a_an 
(4, 26, 65), [0, 2, 1], 3.13.e_ba_cn 
(4, 26, 91), [0, 2, 3], 3.13.e_ba_dn 
(5, 0, -39), [1, 0, 1], 3.13.f_a_abn 
(5, 26, 91), [1, 2, 3], 3.13.f_ba_dn 
(5, 26, 117), [1, 2, 1], 3.13.f_ba_en 
(6, 0, -65), [2, 0, 3], 3.13.g_a_acn 
(6, 26, 91), [2, 2, 3], 3.13.g_ba_dn 
(6, 26, 117), [2, 2, 1], 3.13.g_ba_en 
(8, 26, 65), [0, 2, 1], 3.13.i_ba_cn 
(9, 52, 221), [1, 0, 1], 3.13.j_ca_in 
(10, 52, 195), [2, 0, 3], 3.13.k_ca_hn 
(11, 52, 182), [3, 0, 2], 3.13.l_ca_ha 
