(-11, 52, -182), [2, 0, 0], 3.13.al_ca_aha 
(-10, 52, -195), [3, 0, 0], 3.13.ak_ca_ahn 
(-9, 52, -221), [4, 0, 0], 3.13.aj_ca_ain 
(-8, 26, -65), [5, 0, 0], 3.13.ai_ba_acn 
(-6, 0, 65), [7, 0, 0], 3.13.ag_a_cn 
(-6, 26, -117), [7, 0, 0], 3.13.ag_ba_aen 
(-6, 26, -91), [7, 0, 0], 3.13.ag_ba_adn 
(-5, 0, 39), [8, 0, 0], 3.13.af_a_bn 
(-5, 26, -117), [8, 0, 0], 3.13.af_ba_aen 
(-5, 26, -91), [8, 0, 0], 3.13.af_ba_adn 
(-4, 0, 13), [9, 0, 0], 3.13.ae_a_n 
(-4, 0, 39), [9, 0, 0], 3.13.ae_a_bn 
(-4, 0, 65), [9, 0, 0], 3.13.ae_a_cn 
(-4, 26, -91), [9, 0, 0], 3.13.ae_ba_adn 
(-4, 26, -65), [9, 0, 0], 3.13.ae_ba_acn 
(-3, 0, -13), [10, 0, 0], 3.13.ad_a_an 
(-3, 0, 13), [10, 0, 0], 3.13.ad_a_n 
(-3, 0, 65), [10, 0, 0], 3.13.ad_a_cn 
(-3, 26, -65), [10, 0, 0], 3.13.ad_ba_acn 
(-2, 0, -39), [11, 0, 0], 3.13.ac_a_abn 
(-2, 0, -13), [11, 0, 0], 3.13.ac_a_an 
(-2, 0, 13), [11, 0, 0], 3.13.ac_a_n 
(-2, 0, 39), [11, 0, 0], 3.13.ac_a_bn 
(-2, 0, 65), [11, 0, 0], 3.13.ac_a_cn 
(-2, 26, -39), [11, 0, 0], 3.13.ac_ba_abn 
(-1, 0, -65), [12, 0, 0], 3.13.ab_a_acn 
(-1, 0, -39), [12, 0, 0], 3.13.ab_a_abn 
(-1, 0, -13), [12, 0, 0], 3.13.ab_a_an 
(-1, 0, 39), [12, 0, 0], 3.13.ab_a_bn 
(-1, 0, 65), [12, 0, 0], 3.13.ab_a_cn 
(-1, 26, -39), [12, 0, 0], 3.13.ab_ba_abn 
(1, 0, -65), [1, 0, 0], 3.13.b_a_acn 
(1, 0, -39), [1, 0, 0], 3.13.b_a_abn 
(1, 0, 13), [1, 0, 0], 3.13.b_a_n 
(1, 0, 39), [1, 0, 0], 3.13.b_a_bn 
(1, 0, 65), [1, 0, 0], 3.13.b_a_cn 
(1, 26, 39), [1, 0, 0], 3.13.b_ba_bn 
(2, 0, -65), [2, 0, 0], 3.13.c_a_acn 
(2, 0, -39), [2, 0, 0], 3.13.c_a_abn 
(2, 0, -13), [2, 0, 0], 3.13.c_a_an 
(2, 0, 13), [2, 0, 0], 3.13.c_a_n 
(2, 0, 39), [2, 0, 0], 3.13.c_a_bn 
(2, 26, 39), [2, 0, 0], 3.13.c_ba_bn 
(3, 0, -65), [3, 0, 0], 3.13.d_a_acn 
(3, 0, -13), [3, 0, 0], 3.13.d_a_an 
(3, 0, 13), [3, 0, 0], 3.13.d_a_n 
(3, 26, 65), [3, 0, 0], 3.13.d_ba_cn 
(4, 0, -65), [4, 0, 0], 3.13.e_a_acn 
(4, 0, -39), [4, 0, 0], 3.13.e_a_abn 
(4, 0, -13), [4, 0, 0], 3.13.e_a_an 
(4, 26, 65), [4, 0, 0], 3.13.e_ba_cn 
(4, 26, 91), [4, 0, 0], 3.13.e_ba_dn 
(5, 0, -39), [5, 0, 0], 3.13.f_a_abn 
(5, 26, 91), [5, 0, 0], 3.13.f_ba_dn 
(5, 26, 117), [5, 0, 0], 3.13.f_ba_en 
(6, 0, -65), [6, 0, 0], 3.13.g_a_acn 
(6, 26, 91), [6, 0, 0], 3.13.g_ba_dn 
(6, 26, 117), [6, 0, 0], 3.13.g_ba_en 
(8, 26, 65), [8, 0, 0], 3.13.i_ba_cn 
(9, 52, 221), [9, 0, 0], 3.13.j_ca_in 
(10, 52, 195), [10, 0, 0], 3.13.k_ca_hn 
(11, 52, 182), [11, 0, 0], 3.13.l_ca_ha 
