(-14, 102, -493), [2, 2, 3], 3.17.ao_dy_asz 
(-12, 68, -289), [0, 0, 3], 3.17.am_cq_ald 
(-11, 68, -323), [1, 0, 1], 3.17.al_cq_aml 
(-10, 68, -323), [2, 0, 1], 3.17.ak_cq_aml 
(-8, 34, -119), [0, 2, 1], 3.17.ai_bi_aep 
(-7, 34, -153), [1, 2, 3], 3.17.ah_bi_afx 
(-6, 0, 85), [2, 0, 1], 3.17.ag_a_dh 
(-6, 34, -187), [2, 2, 1], 3.17.ag_bi_ahf 
(-6, 34, -153), [2, 2, 3], 3.17.ag_bi_afx 
(-6, 34, -119), [2, 2, 1], 3.17.ag_bi_aep 
(-5, 0, 51), [3, 0, 3], 3.17.af_a_bz 
(-5, 34, -153), [3, 2, 3], 3.17.af_bi_afx 
(-5, 34, -119), [3, 2, 1], 3.17.af_bi_aep 
(-4, 0, 17), [0, 0, 1], 3.17.ae_a_r 
(-4, 0, 51), [0, 0, 3], 3.17.ae_a_bz 
(-4, 0, 85), [0, 0, 1], 3.17.ae_a_dh 
(-4, 34, -119), [0, 2, 1], 3.17.ae_bi_aep 
(-4, 34, -85), [0, 2, 3], 3.17.ae_bi_adh 
(-3, 0, -17), [1, 0, 3], 3.17.ad_a_ar 
(-3, 0, 17), [1, 0, 1], 3.17.ad_a_r 
(-3, 0, 85), [1, 0, 1], 3.17.ad_a_dh 
(-3, 34, -85), [1, 2, 3], 3.17.ad_bi_adh 
(-2, 0, -51), [2, 0, 1], 3.17.ac_a_abz 
(-2, 0, -17), [2, 0, 3], 3.17.ac_a_ar 
(-2, 0, 17), [2, 0, 1], 3.17.ac_a_r 
(-2, 0, 51), [2, 0, 3], 3.17.ac_a_bz 
(-2, 0, 85), [2, 0, 1], 3.17.ac_a_dh 
(-2, 34, -85), [2, 2, 3], 3.17.ac_bi_adh 
(-2, 34, -51), [2, 2, 1], 3.17.ac_bi_abz 
(-1, 0, -85), [3, 0, 3], 3.17.ab_a_adh 
(-1, 0, -51), [3, 0, 1], 3.17.ab_a_abz 
(-1, 0, -17), [3, 0, 3], 3.17.ab_a_ar 
(-1, 0, 51), [3, 0, 3], 3.17.ab_a_bz 
(-1, 0, 85), [3, 0, 1], 3.17.ab_a_dh 
(-1, 0, 119), [3, 0, 3], 3.17.ab_a_ep 
(-1, 34, -51), [3, 2, 1], 3.17.ab_bi_abz 
(1, 0, -119), [1, 0, 1], 3.17.b_a_aep 
(1, 0, -85), [1, 0, 3], 3.17.b_a_adh 
(1, 0, -51), [1, 0, 1], 3.17.b_a_abz 
(1, 0, 17), [1, 0, 1], 3.17.b_a_r 
(1, 0, 51), [1, 0, 3], 3.17.b_a_bz 
(1, 0, 85), [1, 0, 1], 3.17.b_a_dh 
(1, 34, 51), [1, 2, 3], 3.17.b_bi_bz 
(2, 0, -85), [2, 0, 3], 3.17.c_a_adh 
(2, 0, -51), [2, 0, 1], 3.17.c_a_abz 
(2, 0, -17), [2, 0, 3], 3.17.c_a_ar 
(2, 0, 17), [2, 0, 1], 3.17.c_a_r 
(2, 0, 51), [2, 0, 3], 3.17.c_a_bz 
(2, 34, 51), [2, 2, 3], 3.17.c_bi_bz 
(2, 34, 85), [2, 2, 1], 3.17.c_bi_dh 
(3, 0, -85), [3, 0, 3], 3.17.d_a_adh 
(3, 0, -17), [3, 0, 3], 3.17.d_a_ar 
(3, 0, 17), [3, 0, 1], 3.17.d_a_r 
(3, 34, 85), [3, 2, 1], 3.17.d_bi_dh 
(4, 0, -85), [0, 0, 3], 3.17.e_a_adh 
(4, 0, -51), [0, 0, 1], 3.17.e_a_abz 
(4, 0, -17), [0, 0, 3], 3.17.e_a_ar 
(4, 34, 85), [0, 2, 1], 3.17.e_bi_dh 
(4, 34, 119), [0, 2, 3], 3.17.e_bi_ep 
(5, 0, -51), [1, 0, 1], 3.17.f_a_abz 
(5, 34, 119), [1, 2, 3], 3.17.f_bi_ep 
(5, 34, 153), [1, 2, 1], 3.17.f_bi_fx 
(6, 0, -85), [2, 0, 3], 3.17.g_a_adh 
(6, 34, 119), [2, 2, 3], 3.17.g_bi_ep 
(6, 34, 153), [2, 2, 1], 3.17.g_bi_fx 
(6, 34, 187), [2, 2, 3], 3.17.g_bi_hf 
(7, 34, 153), [3, 2, 1], 3.17.h_bi_fx 
(8, 34, 119), [0, 2, 3], 3.17.i_bi_ep 
(10, 68, 323), [2, 0, 3], 3.17.k_cq_ml 
(11, 68, 323), [3, 0, 3], 3.17.l_cq_ml 
(12, 68, 289), [0, 0, 1], 3.17.m_cq_ld 
(14, 102, 493), [2, 2, 1], 3.17.o_dy_sz 
