(-14, 102, -493), [3, 0, 0], 3.17.ao_dy_asz 
(-12, 68, -289), [5, 0, 0], 3.17.am_cq_ald 
(-11, 68, -323), [6, 0, 0], 3.17.al_cq_aml 
(-10, 68, -323), [7, 0, 0], 3.17.ak_cq_aml 
(-8, 34, -119), [9, 0, 0], 3.17.ai_bi_aep 
(-7, 34, -153), [10, 0, 0], 3.17.ah_bi_afx 
(-6, 0, 85), [11, 0, 0], 3.17.ag_a_dh 
(-6, 34, -187), [11, 0, 0], 3.17.ag_bi_ahf 
(-6, 34, -153), [11, 0, 0], 3.17.ag_bi_afx 
(-6, 34, -119), [11, 0, 0], 3.17.ag_bi_aep 
(-5, 0, 51), [12, 0, 0], 3.17.af_a_bz 
(-5, 34, -153), [12, 0, 0], 3.17.af_bi_afx 
(-5, 34, -119), [12, 0, 0], 3.17.af_bi_aep 
(-4, 0, 17), [13, 0, 0], 3.17.ae_a_r 
(-4, 0, 51), [13, 0, 0], 3.17.ae_a_bz 
(-4, 0, 85), [13, 0, 0], 3.17.ae_a_dh 
(-4, 34, -119), [13, 0, 0], 3.17.ae_bi_aep 
(-4, 34, -85), [13, 0, 0], 3.17.ae_bi_adh 
(-3, 0, -17), [14, 0, 0], 3.17.ad_a_ar 
(-3, 0, 17), [14, 0, 0], 3.17.ad_a_r 
(-3, 0, 85), [14, 0, 0], 3.17.ad_a_dh 
(-3, 34, -85), [14, 0, 0], 3.17.ad_bi_adh 
(-2, 0, -51), [15, 0, 0], 3.17.ac_a_abz 
(-2, 0, -17), [15, 0, 0], 3.17.ac_a_ar 
(-2, 0, 17), [15, 0, 0], 3.17.ac_a_r 
(-2, 0, 51), [15, 0, 0], 3.17.ac_a_bz 
(-2, 0, 85), [15, 0, 0], 3.17.ac_a_dh 
(-2, 34, -85), [15, 0, 0], 3.17.ac_bi_adh 
(-2, 34, -51), [15, 0, 0], 3.17.ac_bi_abz 
(-1, 0, -85), [16, 0, 0], 3.17.ab_a_adh 
(-1, 0, -51), [16, 0, 0], 3.17.ab_a_abz 
(-1, 0, -17), [16, 0, 0], 3.17.ab_a_ar 
(-1, 0, 51), [16, 0, 0], 3.17.ab_a_bz 
(-1, 0, 85), [16, 0, 0], 3.17.ab_a_dh 
(-1, 0, 119), [16, 0, 0], 3.17.ab_a_ep 
(-1, 34, -51), [16, 0, 0], 3.17.ab_bi_abz 
(1, 0, -119), [1, 0, 0], 3.17.b_a_aep 
(1, 0, -85), [1, 0, 0], 3.17.b_a_adh 
(1, 0, -51), [1, 0, 0], 3.17.b_a_abz 
(1, 0, 17), [1, 0, 0], 3.17.b_a_r 
(1, 0, 51), [1, 0, 0], 3.17.b_a_bz 
(1, 0, 85), [1, 0, 0], 3.17.b_a_dh 
(1, 34, 51), [1, 0, 0], 3.17.b_bi_bz 
(2, 0, -85), [2, 0, 0], 3.17.c_a_adh 
(2, 0, -51), [2, 0, 0], 3.17.c_a_abz 
(2, 0, -17), [2, 0, 0], 3.17.c_a_ar 
(2, 0, 17), [2, 0, 0], 3.17.c_a_r 
(2, 0, 51), [2, 0, 0], 3.17.c_a_bz 
(2, 34, 51), [2, 0, 0], 3.17.c_bi_bz 
(2, 34, 85), [2, 0, 0], 3.17.c_bi_dh 
(3, 0, -85), [3, 0, 0], 3.17.d_a_adh 
(3, 0, -17), [3, 0, 0], 3.17.d_a_ar 
(3, 0, 17), [3, 0, 0], 3.17.d_a_r 
(3, 34, 85), [3, 0, 0], 3.17.d_bi_dh 
(4, 0, -85), [4, 0, 0], 3.17.e_a_adh 
(4, 0, -51), [4, 0, 0], 3.17.e_a_abz 
(4, 0, -17), [4, 0, 0], 3.17.e_a_ar 
(4, 34, 85), [4, 0, 0], 3.17.e_bi_dh 
(4, 34, 119), [4, 0, 0], 3.17.e_bi_ep 
(5, 0, -51), [5, 0, 0], 3.17.f_a_abz 
(5, 34, 119), [5, 0, 0], 3.17.f_bi_ep 
(5, 34, 153), [5, 0, 0], 3.17.f_bi_fx 
(6, 0, -85), [6, 0, 0], 3.17.g_a_adh 
(6, 34, 119), [6, 0, 0], 3.17.g_bi_ep 
(6, 34, 153), [6, 0, 0], 3.17.g_bi_fx 
(6, 34, 187), [6, 0, 0], 3.17.g_bi_hf 
(7, 34, 153), [7, 0, 0], 3.17.h_bi_fx 
(8, 34, 119), [8, 0, 0], 3.17.i_bi_ep 
(10, 68, 323), [10, 0, 0], 3.17.k_cq_ml 
(11, 68, 323), [11, 0, 0], 3.17.l_cq_ml 
(12, 68, 289), [12, 0, 0], 3.17.m_cq_ld 
(14, 102, 493), [14, 0, 0], 3.17.o_dy_sz 
