(-16, 114, -551), [3, 0, 0], 3.19.aq_ek_avf 
(-15, 114, -589), [4, 0, 0], 3.19.ap_ek_awr 
(-14, 114, -589), [5, 0, 0], 3.19.ao_ek_awr 
(-12, 76, -361), [7, 0, 0], 3.19.am_cy_anx 
(-11, 76, -399), [8, 0, 0], 3.19.al_cy_apj 
(-11, 76, -361), [8, 0, 0], 3.19.al_cy_anx 
(-10, 76, -361), [9, 0, 0], 3.19.ak_cy_anx 
(-9, 38, -133), [10, 0, 0], 3.19.aj_bm_afd 
(-8, 38, -171), [11, 0, 0], 3.19.ai_bm_agp 
(-8, 38, -133), [11, 0, 0], 3.19.ai_bm_afd 
(-7, 38, -209), [12, 0, 0], 3.19.ah_bm_aib 
(-7, 38, -171), [12, 0, 0], 3.19.ah_bm_agp 
(-6, 0, 95), [13, 0, 0], 3.19.ag_a_dr 
(-6, 38, -209), [13, 0, 0], 3.19.ag_bm_aib 
(-6, 38, -171), [13, 0, 0], 3.19.ag_bm_agp 
(-6, 38, -133), [13, 0, 0], 3.19.ag_bm_afd 
(-5, 0, 57), [14, 0, 0], 3.19.af_a_cf 
(-5, 38, -171), [14, 0, 0], 3.19.af_bm_agp 
(-5, 38, -133), [14, 0, 0], 3.19.af_bm_afd 
(-4, 0, 19), [15, 0, 0], 3.19.ae_a_t 
(-4, 0, 57), [15, 0, 0], 3.19.ae_a_cf 
(-4, 0, 95), [15, 0, 0], 3.19.ae_a_dr 
(-4, 38, -133), [15, 0, 0], 3.19.ae_bm_afd 
(-4, 38, -95), [15, 0, 0], 3.19.ae_bm_adr 
(-3, 0, -19), [16, 0, 0], 3.19.ad_a_at 
(-3, 0, 19), [16, 0, 0], 3.19.ad_a_t 
(-3, 0, 95), [16, 0, 0], 3.19.ad_a_dr 
(-3, 38, -95), [16, 0, 0], 3.19.ad_bm_adr 
(-2, 0, -57), [17, 0, 0], 3.19.ac_a_acf 
(-2, 0, -19), [17, 0, 0], 3.19.ac_a_at 
(-2, 0, 19), [17, 0, 0], 3.19.ac_a_t 
(-2, 0, 57), [17, 0, 0], 3.19.ac_a_cf 
(-2, 0, 95), [17, 0, 0], 3.19.ac_a_dr 
(-2, 0, 133), [17, 0, 0], 3.19.ac_a_fd 
(-2, 38, -95), [17, 0, 0], 3.19.ac_bm_adr 
(-2, 38, -57), [17, 0, 0], 3.19.ac_bm_acf 
(-1, 0, -95), [18, 0, 0], 3.19.ab_a_adr 
(-1, 0, -57), [18, 0, 0], 3.19.ab_a_acf 
(-1, 0, -19), [18, 0, 0], 3.19.ab_a_at 
(-1, 0, 57), [18, 0, 0], 3.19.ab_a_cf 
(-1, 0, 95), [18, 0, 0], 3.19.ab_a_dr 
(-1, 0, 133), [18, 0, 0], 3.19.ab_a_fd 
(-1, 38, -57), [18, 0, 0], 3.19.ab_bm_acf 
(1, 0, -133), [1, 0, 0], 3.19.b_a_afd 
(1, 0, -95), [1, 0, 0], 3.19.b_a_adr 
(1, 0, -57), [1, 0, 0], 3.19.b_a_acf 
(1, 0, 19), [1, 0, 0], 3.19.b_a_t 
(1, 0, 57), [1, 0, 0], 3.19.b_a_cf 
(1, 0, 95), [1, 0, 0], 3.19.b_a_dr 
(1, 38, 57), [1, 0, 0], 3.19.b_bm_cf 
(2, 0, -133), [2, 0, 0], 3.19.c_a_afd 
(2, 0, -95), [2, 0, 0], 3.19.c_a_adr 
(2, 0, -57), [2, 0, 0], 3.19.c_a_acf 
(2, 0, -19), [2, 0, 0], 3.19.c_a_at 
(2, 0, 19), [2, 0, 0], 3.19.c_a_t 
(2, 0, 57), [2, 0, 0], 3.19.c_a_cf 
(2, 38, 57), [2, 0, 0], 3.19.c_bm_cf 
(2, 38, 95), [2, 0, 0], 3.19.c_bm_dr 
(3, 0, -95), [3, 0, 0], 3.19.d_a_adr 
(3, 0, -19), [3, 0, 0], 3.19.d_a_at 
(3, 0, 19), [3, 0, 0], 3.19.d_a_t 
(3, 38, 95), [3, 0, 0], 3.19.d_bm_dr 
(4, 0, -95), [4, 0, 0], 3.19.e_a_adr 
(4, 0, -57), [4, 0, 0], 3.19.e_a_acf 
(4, 0, -19), [4, 0, 0], 3.19.e_a_at 
(4, 38, 95), [4, 0, 0], 3.19.e_bm_dr 
(4, 38, 133), [4, 0, 0], 3.19.e_bm_fd 
(5, 0, -57), [5, 0, 0], 3.19.f_a_acf 
(5, 38, 133), [5, 0, 0], 3.19.f_bm_fd 
(5, 38, 171), [5, 0, 0], 3.19.f_bm_gp 
(6, 0, -95), [6, 0, 0], 3.19.g_a_adr 
(6, 38, 133), [6, 0, 0], 3.19.g_bm_fd 
(6, 38, 171), [6, 0, 0], 3.19.g_bm_gp 
(6, 38, 209), [6, 0, 0], 3.19.g_bm_ib 
(7, 38, 171), [7, 0, 0], 3.19.h_bm_gp 
(7, 38, 209), [7, 0, 0], 3.19.h_bm_ib 
(8, 38, 133), [8, 0, 0], 3.19.i_bm_fd 
(8, 38, 171), [8, 0, 0], 3.19.i_bm_gp 
(9, 38, 133), [9, 0, 0], 3.19.j_bm_fd 
(10, 76, 361), [10, 0, 0], 3.19.k_cy_nx 
(11, 76, 361), [11, 0, 0], 3.19.l_cy_nx 
(11, 76, 399), [11, 0, 0], 3.19.l_cy_pj 
(12, 76, 361), [12, 0, 0], 3.19.m_cy_nx 
(14, 114, 589), [14, 0, 0], 3.19.o_ek_wr 
(15, 114, 589), [15, 0, 0], 3.19.p_ek_wr 
(16, 114, 551), [16, 0, 0], 3.19.q_ek_vf 
