(-17, 138, -759), [3, 2, 1], 3.23.ar_fi_abdf 
(-16, 138, -805), [0, 2, 3], 3.23.aq_fi_abez 
(-13, 92, -483), [3, 0, 1], 3.23.an_do_asp 
(-12, 92, -529), [0, 0, 3], 3.23.am_do_auj 
(-12, 92, -483), [0, 0, 1], 3.23.am_do_asp 
(-11, 23, 69), [1, 3, 1], 3.23.al_x_cr 
(-11, 92, -483), [1, 0, 1], 3.23.al_do_asp 
(-10, 46, -161), [2, 2, 3], 3.23.ak_bu_agf 
(-9, 46, -161), [3, 2, 3], 3.23.aj_bu_agf 
(-8, 0, 161), [0, 0, 1], 3.23.ai_a_gf 
(-8, 46, -253), [0, 2, 3], 3.23.ai_bu_ajt 
(-8, 46, -207), [0, 2, 1], 3.23.ai_bu_ahz 
(-8, 46, -161), [0, 2, 3], 3.23.ai_bu_agf 
(-7, 0, 115), [1, 0, 3], 3.23.ah_a_el 
(-7, 46, -299), [1, 2, 1], 3.23.ah_bu_aln 
(-7, 46, -253), [1, 2, 3], 3.23.ah_bu_ajt 
(-7, 46, -207), [1, 2, 1], 3.23.ah_bu_ahz 
(-6, 0, 69), [2, 0, 1], 3.23.ag_a_cr 
(-6, 0, 115), [2, 0, 3], 3.23.ag_a_el 
(-6, 46, -253), [2, 2, 3], 3.23.ag_bu_ajt 
(-6, 46, -207), [2, 2, 1], 3.23.ag_bu_ahz 
(-6, 46, -161), [2, 2, 3], 3.23.ag_bu_agf 
(-5, 0, 23), [3, 0, 3], 3.23.af_a_x 
(-5, 0, 69), [3, 0, 1], 3.23.af_a_cr 
(-5, 46, -207), [3, 2, 1], 3.23.af_bu_ahz 
(-5, 46, -161), [3, 2, 3], 3.23.af_bu_agf 
(-4, 0, -23), [0, 0, 1], 3.23.ae_a_ax 
(-4, 0, 23), [0, 0, 3], 3.23.ae_a_x 
(-4, 0, 69), [0, 0, 1], 3.23.ae_a_cr 
(-4, 0, 115), [0, 0, 3], 3.23.ae_a_el 
(-4, 46, -161), [0, 2, 3], 3.23.ae_bu_agf 
(-4, 46, -115), [0, 2, 1], 3.23.ae_bu_ael 
(-3, 0, -69), [1, 0, 3], 3.23.ad_a_acr 
(-3, 0, -23), [1, 0, 1], 3.23.ad_a_ax 
(-3, 0, 23), [1, 0, 3], 3.23.ad_a_x 
(-3, 0, 115), [1, 0, 3], 3.23.ad_a_el 
(-3, 0, 161), [1, 0, 1], 3.23.ad_a_gf 
(-3, 46, -161), [1, 2, 3], 3.23.ad_bu_agf 
(-3, 46, -115), [1, 2, 1], 3.23.ad_bu_ael 
(-2, 0, -115), [2, 0, 1], 3.23.ac_a_ael 
(-2, 0, -69), [2, 0, 3], 3.23.ac_a_acr 
