(-17, 150, -875), [3, 2, 1], 3.25.ar_fu_abhr 
(-17, 155, -925), [3, 3, 3], 3.25.ar_fz_abjp 
(-16, 140, -825), [0, 0, 3], 3.25.aq_fk_abft 
(-16, 145, -850), [0, 1, 2], 3.25.aq_fp_abgs 
(-14, 100, -525), [2, 0, 3], 3.25.ao_dw_auf 
(-14, 110, -625), [2, 2, 3], 3.25.ao_eg_ayb 
(-14, 110, -600), [2, 2, 0], 3.25.ao_eg_axc 
(-14, 115, -650), [2, 3, 2], 3.25.ao_el_aza 
(-14, 120, -725), [2, 0, 3], 3.25.ao_eq_abbx 
(-14, 120, -675), [2, 0, 1], 3.25.ao_eq_azz 
(-13, 75, -325), [3, 3, 3], 3.25.an_cx_amn 
(-13, 80, -375), [3, 0, 1], 3.25.an_dc_aol 
(-13, 90, -475), [3, 2, 1], 3.25.an_dm_ash 
(-13, 110, -675), [3, 2, 1], 3.25.an_eg_azz 
(-12, 80, -425), [0, 0, 3], 3.25.am_dc_aqj 
(-12, 90, -525), [0, 2, 3], 3.25.am_dm_auf 
(-12, 95, -575), [0, 3, 1], 3.25.am_dr_awd 
(-12, 100, -575), [0, 0, 1], 3.25.am_dw_awd 
(-12, 110, -625), [0, 2, 3], 3.25.am_eg_ayb 
(-11, 40, -75), [1, 0, 1], 3.25.al_bo_acx 
(-11, 45, -125), [1, 1, 3], 3.25.al_bt_aev 
(-11, 50, -175), [1, 2, 1], 3.25.al_by_agt 
(-11, 55, -200), [1, 3, 0], 3.25.al_cd_ahs 
(-11, 60, -275), [1, 0, 1], 3.25.al_ci_akp 
(-11, 70, -325), [1, 2, 3], 3.25.al_cs_amn 
(-11, 80, -475), [1, 0, 1], 3.25.al_dc_ash 
(-11, 85, -475), [1, 1, 1], 3.25.al_dh_ash 
(-11, 90, -525), [1, 2, 3], 3.25.al_dm_auf 
(-9, 10, 125), [3, 2, 1], 3.25.aj_k_ev 
(-9, 20, 25), [3, 0, 1], 3.25.aj_u_z 
(-9, 40, -150), [3, 0, 2], 3.25.aj_bo_afu 
(-9, 40, -125), [3, 0, 3], 3.25.aj_bo_aev 
(-9, 50, -275), [3, 2, 1], 3.25.aj_by_akp 
(-9, 60, -375), [3, 0, 1], 3.25.aj_ci_aol 
(-9, 65, -400), [3, 1, 0], 3.25.aj_cn_apk 
(-9, 70, -425), [3, 2, 3], 3.25.aj_cs_aqj 
(-9, 70, -375), [3, 2, 1], 3.25.aj_cs_aol 
(-9, 75, -425), [3, 3, 3], 3.25.aj_cx_aqj 
(-9, 80, -425), [3, 0, 3], 3.25.aj_dc_aqj 
(-8, -10, 275), [0, 2, 3], 3.25.ai_ak_kp 
(-8, 0, 175), [0, 0, 3], 3.25.ai_a_gt 
(-8, 5, 125), [0, 1, 1], 3.25.ai_f_ev 
(-8, 10, 75), [0, 2, 3], 3.25.ai_k_cx 
(-8, 15, 75), [0, 3, 3], 3.25.ai_p_cx 
(-8, 20, 25), [0, 0, 1], 3.25.ai_u_z 
(-8, 30, -125), [0, 2, 3], 3.25.ai_be_aev 
(-8, 30, -75), [0, 2, 1], 3.25.ai_be_acx 
