(-4, 10, -25), [1, 0, 0], 3.5.ae_k_az 
(-3, 10, -25), [2, 0, 0], 3.5.ad_k_az 
(-2, 0, 5), [3, 0, 0], 3.5.ac_a_f 
(-2, 0, 15), [3, 0, 0], 3.5.ac_a_p 
(-2, 10, -15), [3, 0, 0], 3.5.ac_k_ap 
(-1, 0, -5), [4, 0, 0], 3.5.ab_a_af 
(-1, 0, 15), [4, 0, 0], 3.5.ab_a_p 
(1, 0, -15), [1, 0, 0], 3.5.b_a_ap 
(1, 0, 5), [1, 0, 0], 3.5.b_a_f 
(2, 0, -15), [2, 0, 0], 3.5.c_a_ap 
(2, 0, -5), [2, 0, 0], 3.5.c_a_af 
(2, 10, 15), [2, 0, 0], 3.5.c_k_p 
(3, 10, 25), [3, 0, 0], 3.5.d_k_z 
(4, 10, 25), [4, 0, 0], 3.5.e_k_z 
