(-9, 42, -133), [5, 0, 0], 3.7.aj_bq_afd 
(-4, 0, 21), [3, 0, 0], 3.7.ae_a_v 
(-4, 14, -49), [3, 0, 0], 3.7.ae_o_abx 
(-4, 14, -35), [3, 0, 0], 3.7.ae_o_abj 
(-3, 0, 7), [4, 0, 0], 3.7.ad_a_h 
(-3, 14, -35), [4, 0, 0], 3.7.ad_o_abj 
(-2, 0, -7), [5, 0, 0], 3.7.ac_a_ah 
(-2, 0, 7), [5, 0, 0], 3.7.ac_a_h 
(-2, 0, 21), [5, 0, 0], 3.7.ac_a_v 
(-2, 14, -21), [5, 0, 0], 3.7.ac_o_av 
(-1, 0, -21), [6, 0, 0], 3.7.ab_a_av 
(-1, 0, -7), [6, 0, 0], 3.7.ab_a_ah 
(-1, 0, 21), [6, 0, 0], 3.7.ab_a_v 
(1, 0, -21), [1, 0, 0], 3.7.b_a_av 
(1, 0, 7), [1, 0, 0], 3.7.b_a_h 
(1, 0, 21), [1, 0, 0], 3.7.b_a_v 
(2, 0, -21), [2, 0, 0], 3.7.c_a_av 
(2, 0, -7), [2, 0, 0], 3.7.c_a_ah 
(2, 0, 7), [2, 0, 0], 3.7.c_a_h 
(2, 14, 21), [2, 0, 0], 3.7.c_o_v 
(3, 0, -7), [3, 0, 0], 3.7.d_a_ah 
(3, 14, 35), [3, 0, 0], 3.7.d_o_bj 
(4, 0, -21), [4, 0, 0], 3.7.e_a_av 
(4, 14, 35), [4, 0, 0], 3.7.e_o_bj 
(4, 14, 49), [4, 0, 0], 3.7.e_o_bx 
(9, 42, 133), [2, 0, 0], 3.7.j_bq_fd 
