(-8, 36, -117), [1, 0, 0], 3.9.ai_bk_aen 
(-7, 24, -63), [2, 6, 0], 3.9.ah_y_acl 
(-5, 6, 9), [4, 6, 0], 3.9.af_g_j 
(-5, 18, -63), [4, 0, 0], 3.9.af_s_acl 
(-5, 21, -63), [4, 3, 0], 3.9.af_v_acl 
(-5, 24, -81), [4, 6, 0], 3.9.af_y_add 
(-4, -6, 63), [5, 3, 0], 3.9.ae_ag_cl 
(-4, 0, 27), [5, 0, 0], 3.9.ae_a_bb 
(-4, 6, -9), [5, 6, 0], 3.9.ae_g_aj 
(-4, 6, 9), [5, 6, 0], 3.9.ae_g_j 
(-4, 12, -45), [5, 3, 0], 3.9.ae_m_abt 
(-4, 12, -27), [5, 3, 0], 3.9.ae_m_abb 
(-4, 18, -63), [5, 0, 0], 3.9.ae_s_acl 
(-4, 18, -45), [5, 0, 0], 3.9.ae_s_abt 
(-4, 24, -63), [5, 6, 0], 3.9.ae_y_acl 
(-2, -6, 27), [7, 3, 0], 3.9.ac_ag_bb 
(-2, -6, 45), [7, 3, 0], 3.9.ac_ag_bt 
(-2, -3, 18), [7, 6, 0], 3.9.ac_ad_s 
(-2, 0, -9), [7, 0, 0], 3.9.ac_a_aj 
(-2, 0, 27), [7, 0, 0], 3.9.ac_a_bb 
(-2, 3, -9), [7, 3, 0], 3.9.ac_d_aj 
(-2, 3, 18), [7, 3, 0], 3.9.ac_d_s 
(-2, 6, -45), [7, 6, 0], 3.9.ac_g_abt 
(-2, 6, -27), [7, 6, 0], 3.9.ac_g_abb 
(-2, 6, -9), [7, 6, 0], 3.9.ac_g_aj 
(-2, 6, 9), [7, 6, 0], 3.9.ac_g_j 
(-2, 9, -18), [7, 0, 0], 3.9.ac_j_as 
(-2, 12, -45), [7, 3, 0], 3.9.ac_m_abt 
(-2, 12, -27), [7, 3, 0], 3.9.ac_m_abb 
(-2, 18, -27), [7, 0, 0], 3.9.ac_s_abb 
(-1, -6, 9), [8, 3, 0], 3.9.ab_ag_j 
(-1, -6, 27), [8, 3, 0], 3.9.ab_ag_bb 
(-1, -3, 9), [8, 6, 0], 3.9.ab_ad_j 
(-1, -3, 36), [8, 6, 0], 3.9.ab_ad_bk 
(-1, 0, -27), [8, 0, 0], 3.9.ab_a_abb 
(-1, 0, -9), [8, 0, 0], 3.9.ab_a_aj 
(-1, 0, 18), [8, 0, 0], 3.9.ab_a_s 
(-1, 0, 27), [8, 0, 0], 3.9.ab_a_bb 
(-1, 3, -45), [8, 3, 0], 3.9.ab_d_abt 
(-1, 6, -27), [8, 6, 0], 3.9.ab_g_abb 
(-1, 6, -9), [8, 6, 0], 3.9.ab_g_aj 
(-1, 6, 9), [8, 6, 0], 3.9.ab_g_j 
(-1, 12, -9), [8, 3, 0], 3.9.ab_m_aj 
(1, -6, -27), [1, 3, 0], 3.9.b_ag_abb 
(1, -6, -9), [1, 3, 0], 3.9.b_ag_aj 
(1, -3, -36), [1, 6, 0], 3.9.b_ad_abk 
(1, -3, -9), [1, 6, 0], 3.9.b_ad_aj 
(1, 0, -27), [1, 0, 0], 3.9.b_a_abb 
(1, 0, -18), [1, 0, 0], 3.9.b_a_as 
(1, 0, 9), [1, 0, 0], 3.9.b_a_j 
(1, 0, 27), [1, 0, 0], 3.9.b_a_bb 
(1, 3, 45), [1, 3, 0], 3.9.b_d_bt 
(1, 6, -9), [1, 6, 0], 3.9.b_g_aj 
(1, 6, 9), [1, 6, 0], 3.9.b_g_j 
(1, 6, 27), [1, 6, 0], 3.9.b_g_bb 
(1, 12, 9), [1, 3, 0], 3.9.b_m_j 
(2, -6, -45), [2, 3, 0], 3.9.c_ag_abt 
(2, -6, -27), [2, 3, 0], 3.9.c_ag_abb 
(2, -3, -18), [2, 6, 0], 3.9.c_ad_as 
(2, 0, -27), [2, 0, 0], 3.9.c_a_abb 
(2, 0, 9), [2, 0, 0], 3.9.c_a_j 
(2, 3, -18), [2, 3, 0], 3.9.c_d_as 
(2, 3, 9), [2, 3, 0], 3.9.c_d_j 
(2, 6, -9), [2, 6, 0], 3.9.c_g_aj 
(2, 6, 9), [2, 6, 0], 3.9.c_g_j 
(2, 6, 27), [2, 6, 0], 3.9.c_g_bb 
(2, 6, 45), [2, 6, 0], 3.9.c_g_bt 
(2, 9, 18), [2, 0, 0], 3.9.c_j_s 
(2, 12, 27), [2, 3, 0], 3.9.c_m_bb 
(2, 12, 45), [2, 3, 0], 3.9.c_m_bt 
(2, 18, 27), [2, 0, 0], 3.9.c_s_bb 
(4, -6, -63), [4, 3, 0], 3.9.e_ag_acl 
(4, 0, -27), [4, 0, 0], 3.9.e_a_abb 
(4, 6, -9), [4, 6, 0], 3.9.e_g_aj 
(4, 6, 9), [4, 6, 0], 3.9.e_g_j 
(4, 12, 27), [4, 3, 0], 3.9.e_m_bb 
(4, 12, 45), [4, 3, 0], 3.9.e_m_bt 
(4, 18, 45), [4, 0, 0], 3.9.e_s_bt 
(4, 18, 63), [4, 0, 0], 3.9.e_s_cl 
(4, 24, 63), [4, 6, 0], 3.9.e_y_cl 
(5, 6, -9), [5, 6, 0], 3.9.f_g_aj 
(5, 18, 63), [5, 0, 0], 3.9.f_s_cl 
(5, 21, 63), [5, 3, 0], 3.9.f_v_cl 
(5, 24, 81), [5, 6, 0], 3.9.f_y_dd 
(7, 24, 63), [7, 6, 0], 3.9.h_y_cl 
(8, 36, 117), [8, 0, 0], 3.9.i_bk_en 
