(-10, 55, -209), [2, 3, 3], 3.11.ak_cd_aib 
(-9, 44, -154), [3, 0, 2], 3.11.aj_bs_afy 
(-9, 55, -209), [3, 3, 3], 3.11.aj_cd_aib 
(-8, 33, -110), [0, 1, 2], 3.11.ai_bh_aeg 
(-7, 11, 11), [1, 3, 3], 3.11.ah_l_l 
(-7, 33, -132), [1, 1, 0], 3.11.ah_bh_afc 
(-7, 33, -121), [1, 1, 3], 3.11.ah_bh_aer 
(-7, 33, -110), [1, 1, 2], 3.11.ah_bh_aeg 
(-6, 11, -11), [2, 3, 1], 3.11.ag_l_al 
(-6, 33, -121), [2, 1, 3], 3.11.ag_bh_aer 
(-6, 33, -110), [2, 1, 2], 3.11.ag_bh_aeg 
(-5, 0, 44), [3, 0, 0], 3.11.af_a_bs 
(-5, 11, -33), [3, 3, 3], 3.11.af_l_abh 
(-5, 11, -22), [3, 3, 2], 3.11.af_l_aw 
(-5, 11, -11), [3, 3, 1], 3.11.af_l_al 
(-5, 22, -88), [3, 2, 0], 3.11.af_w_adk 
(-5, 22, -66), [3, 2, 2], 3.11.af_w_aco 
(-5, 33, -99), [3, 1, 1], 3.11.af_bh_adv 
(-4, 0, 22), [0, 0, 2], 3.11.ae_a_w 
(-4, 11, -55), [0, 3, 1], 3.11.ae_l_acd 
(-4, 11, -44), [0, 3, 0], 3.11.ae_l_abs 
(-4, 11, -33), [0, 3, 3], 3.11.ae_l_abh 
(-4, 11, -22), [0, 3, 2], 3.11.ae_l_aw 
(-4, 11, -11), [0, 3, 1], 3.11.ae_l_al 
(-4, 22, -66), [0, 2, 2], 3.11.ae_w_aco 
(-3, 0, 0), [1, 0, 0], 3.11.ad_a_a 
(-3, 0, 22), [1, 0, 2], 3.11.ad_a_w 
(-3, 0, 44), [1, 0, 0], 3.11.ad_a_bs 
(-3, 11, -77), [1, 3, 3], 3.11.ad_l_acz 
(-3, 11, -55), [1, 3, 1], 3.11.ad_l_acd 
(-3, 11, -44), [1, 3, 0], 3.11.ad_l_abs 
(-3, 11, -33), [1, 3, 3], 3.11.ad_l_abh 
(-3, 11, -22), [1, 3, 2], 3.11.ad_l_aw 
(-3, 11, -11), [1, 3, 1], 3.11.ad_l_al 
(-3, 22, -44), [1, 2, 0], 3.11.ad_w_abs 
(-2, 0, -22), [2, 0, 2], 3.11.ac_a_aw 
