(-12, 78, -338), [1, 0, 0], 3.13.am_da_ana 
(-11, 65, -273), [2, 0, 0], 3.13.al_cn_akn 
(-10, 52, -208), [3, 0, 0], 3.13.ak_ca_aia 
(-10, 65, -273), [3, 0, 0], 3.13.ak_cn_akn 
(-9, 39, -130), [4, 0, 0], 3.13.aj_bn_afa 
(-9, 52, -208), [4, 0, 0], 3.13.aj_ca_aia 
(-8, 39, -156), [5, 0, 0], 3.13.ai_bn_aga 
(-8, 39, -143), [5, 0, 0], 3.13.ai_bn_afn 
(-7, 26, -78), [6, 0, 0], 3.13.ah_ba_ada 
(-7, 39, -169), [6, 0, 0], 3.13.ah_bn_agn 
(-7, 39, -156), [6, 0, 0], 3.13.ah_bn_aga 
(-7, 39, -143), [6, 0, 0], 3.13.ah_bn_afn 
(-6, 13, -26), [7, 0, 0], 3.13.ag_n_aba 
(-6, 13, -13), [7, 0, 0], 3.13.ag_n_an 
(-6, 26, -104), [7, 0, 0], 3.13.ag_ba_aea 
(-6, 39, -143), [7, 0, 0], 3.13.ag_bn_afn 
(-6, 39, -130), [7, 0, 0], 3.13.ag_bn_afa 
(-5, 0, 52), [8, 0, 0], 3.13.af_a_ca 
(-5, 13, -52), [8, 0, 0], 3.13.af_n_aca 
(-5, 13, -39), [8, 0, 0], 3.13.af_n_abn 
(-5, 13, -26), [8, 0, 0], 3.13.af_n_aba 
(-5, 13, -13), [8, 0, 0], 3.13.af_n_an 
(-5, 26, -104), [8, 0, 0], 3.13.af_ba_aea 
(-5, 26, -78), [8, 0, 0], 3.13.af_ba_ada 
(-5, 39, -117), [8, 0, 0], 3.13.af_bn_aen 
(-4, 0, 26), [9, 0, 0], 3.13.ae_a_ba 
(-4, 13, -78), [9, 0, 0], 3.13.ae_n_ada 
(-4, 13, -65), [9, 0, 0], 3.13.ae_n_acn 
(-4, 13, -52), [9, 0, 0], 3.13.ae_n_aca 
(-4, 13, -39), [9, 0, 0], 3.13.ae_n_abn 
(-4, 13, -26), [9, 0, 0], 3.13.ae_n_aba 
(-4, 13, -13), [9, 0, 0], 3.13.ae_n_an 
(-4, 26, -78), [9, 0, 0], 3.13.ae_ba_ada 
(-3, 0, 0), [10, 0, 0], 3.13.ad_a_a 
(-3, 0, 26), [10, 0, 0], 3.13.ad_a_ba 
(-3, 0, 52), [10, 0, 0], 3.13.ad_a_ca 
(-3, 13, -104), [10, 0, 0], 3.13.ad_n_aea 
(-3, 13, -91), [10, 0, 0], 3.13.ad_n_adn 
(-3, 13, -65), [10, 0, 0], 3.13.ad_n_acn 
(-3, 13, -52), [10, 0, 0], 3.13.ad_n_aca 
(-3, 13, -39), [10, 0, 0], 3.13.ad_n_abn 
(-3, 13, -26), [10, 0, 0], 3.13.ad_n_aba 
(-3, 13, -13), [10, 0, 0], 3.13.ad_n_an 
(-3, 26, -52), [10, 0, 0], 3.13.ad_ba_aca 
(-2, 0, -26), [11, 0, 0], 3.13.ac_a_aba 
(-2, 0, 0), [11, 0, 0], 3.13.ac_a_a 
(-2, 0, 52), [11, 0, 0], 3.13.ac_a_ca 
(-2, 13, -78), [11, 0, 0], 3.13.ac_n_ada 
(-2, 13, -65), [11, 0, 0], 3.13.ac_n_acn 
(-2, 13, -39), [11, 0, 0], 3.13.ac_n_abn 
(-2, 13, -26), [11, 0, 0], 3.13.ac_n_aba 
(-2, 13, -13), [11, 0, 0], 3.13.ac_n_an 
(-2, 13, 13), [11, 0, 0], 3.13.ac_n_n 
(-1, 0, -52), [12, 0, 0], 3.13.ab_a_aca 
(-1, 0, 0), [12, 0, 0], 3.13.ab_a_a 
(-1, 0, 26), [12, 0, 0], 3.13.ab_a_ba 
(-1, 0, 52), [12, 0, 0], 3.13.ab_a_ca 
(-1, 0, 78), [12, 0, 0], 3.13.ab_a_da 
(-1, 13, -65), [12, 0, 0], 3.13.ab_n_acn 
(-1, 13, -52), [12, 0, 0], 3.13.ab_n_aca 
(-1, 13, -39), [12, 0, 0], 3.13.ab_n_abn 
(-1, 13, -13), [12, 0, 0], 3.13.ab_n_an 
(-1, 13, 13), [12, 0, 0], 3.13.ab_n_n 
(-1, 13, 26), [12, 0, 0], 3.13.ab_n_ba 
(1, 0, -78), [1, 0, 0], 3.13.b_a_ada 
(1, 0, -52), [1, 0, 0], 3.13.b_a_aca 
(1, 0, -26), [1, 0, 0], 3.13.b_a_aba 
(1, 0, 0), [1, 0, 0], 3.13.b_a_a 
(1, 0, 52), [1, 0, 0], 3.13.b_a_ca 
(1, 13, -26), [1, 0, 0], 3.13.b_n_aba 
(1, 13, -13), [1, 0, 0], 3.13.b_n_an 
(1, 13, 13), [1, 0, 0], 3.13.b_n_n 
(1, 13, 39), [1, 0, 0], 3.13.b_n_bn 
(1, 13, 52), [1, 0, 0], 3.13.b_n_ca 
(1, 13, 65), [1, 0, 0], 3.13.b_n_cn 
(2, 0, -52), [2, 0, 0], 3.13.c_a_aca 
