(-13, 92, -432), [3, 12, 0], 3.16.an_do_aqq 
(-11, 64, -272), [5, 0, 0], 3.16.al_cm_akm 
(-11, 68, -304), [5, 4, 0], 3.16.al_cq_als 
(-11, 72, -320), [5, 8, 0], 3.16.al_cu_ami 
(-11, 76, -368), [5, 12, 0], 3.16.al_cy_aoe 
(-9, 32, -80), [7, 0, 0], 3.16.aj_bg_adc 
(-9, 36, -112), [7, 4, 0], 3.16.aj_bk_aei 
(-9, 40, -144), [7, 8, 0], 3.16.aj_bo_afo 
(-9, 44, -176), [7, 12, 0], 3.16.aj_bs_agu 
(-9, 44, -160), [7, 12, 0], 3.16.aj_bs_age 
(-9, 48, -192), [7, 0, 0], 3.16.aj_bw_ahk 
(-9, 52, -240), [7, 4, 0], 3.16.aj_ca_ajg 
(-9, 56, -272), [7, 8, 0], 3.16.aj_ce_akm 
(-9, 56, -256), [7, 8, 0], 3.16.aj_ce_ajw 
(-9, 60, -272), [7, 12, 0], 3.16.aj_ci_akm 
(-7, 4, 80), [9, 4, 0], 3.16.ah_e_dc 
(-7, 8, 48), [9, 8, 0], 3.16.ah_i_bw 
(-7, 12, 16), [9, 12, 0], 3.16.ah_m_q 
(-7, 16, -16), [9, 0, 0], 3.16.ah_q_aq 
(-7, 20, -48), [9, 4, 0], 3.16.ah_u_abw 
(-7, 20, -32), [9, 4, 0], 3.16.ah_u_abg 
(-7, 24, -64), [9, 8, 0], 3.16.ah_y_acm 
(-7, 24, -48), [9, 8, 0], 3.16.ah_y_abw 
(-7, 28, -112), [9, 12, 0], 3.16.ah_bc_aei 
(-7, 28, -80), [9, 12, 0], 3.16.ah_bc_adc 
(-7, 32, -144), [9, 0, 0], 3.16.ah_bg_afo 
(-7, 32, -128), [9, 0, 0], 3.16.ah_bg_aey 
(-7, 32, -96), [9, 0, 0], 3.16.ah_bg_ads 
(-7, 36, -176), [9, 4, 0], 3.16.ah_bk_agu 
(-7, 36, -160), [9, 4, 0], 3.16.ah_bk_age 
(-7, 36, -144), [9, 4, 0], 3.16.ah_bk_afo 
(-7, 40, -208), [9, 8, 0], 3.16.ah_bo_aia 
(-7, 40, -192), [9, 8, 0], 3.16.ah_bo_ahk 
(-7, 40, -176), [9, 8, 0], 3.16.ah_bo_agu 
(-7, 40, -160), [9, 8, 0], 3.16.ah_bo_age 
(-7, 44, -208), [9, 12, 0], 3.16.ah_bs_aia 
(-7, 44, -192), [9, 12, 0], 3.16.ah_bs_ahk 
(-7, 48, -208), [9, 0, 0], 3.16.ah_bw_aia 
(-7, 48, -192), [9, 0, 0], 3.16.ah_bw_ahk 
(-7, 52, -208), [9, 4, 0], 3.16.ah_ca_aia 
(-5, -12, 144), [11, 4, 0], 3.16.af_am_fo 
(-5, -12, 160), [11, 4, 0], 3.16.af_am_ge 
(-5, -8, 112), [11, 8, 0], 3.16.af_ai_ei 
(-5, -8, 128), [11, 8, 0], 3.16.af_ai_ey 
(-5, -4, 80), [11, 12, 0], 3.16.af_ae_dc 
(-5, -4, 96), [11, 12, 0], 3.16.af_ae_ds 
(-5, -4, 112), [11, 12, 0], 3.16.af_ae_ei 
(-5, 0, 64), [11, 0, 0], 3.16.af_a_cm 
(-5, 4, 16), [11, 4, 0], 3.16.af_e_q 
(-5, 4, 48), [11, 4, 0], 3.16.af_e_bw 
(-5, 4, 64), [11, 4, 0], 3.16.af_e_cm 
(-5, 8, -16), [11, 8, 0], 3.16.af_i_aq 
(-5, 8, 0), [11, 8, 0], 3.16.af_i_a 
(-5, 8, 32), [11, 8, 0], 3.16.af_i_bg 
(-5, 12, -48), [11, 12, 0], 3.16.af_m_abw 
(-5, 12, -32), [11, 12, 0], 3.16.af_m_abg 
(-5, 12, -16), [11, 12, 0], 3.16.af_m_aq 
(-5, 12, 16), [11, 12, 0], 3.16.af_m_q 
(-5, 16, -80), [11, 0, 0], 3.16.af_q_adc 
(-5, 16, -64), [11, 0, 0], 3.16.af_q_acm 
(-5, 16, -48), [11, 0, 0], 3.16.af_q_abw 
(-5, 16, -32), [11, 0, 0], 3.16.af_q_abg 
(-5, 20, -112), [11, 4, 0], 3.16.af_u_aei 
(-5, 20, -96), [11, 4, 0], 3.16.af_u_ads 
(-5, 20, -80), [11, 4, 0], 3.16.af_u_adc 
(-5, 20, -64), [11, 4, 0], 3.16.af_u_acm 
(-5, 20, -48), [11, 4, 0], 3.16.af_u_abw 
(-5, 24, -144), [11, 8, 0], 3.16.af_y_afo 
(-5, 24, -128), [11, 8, 0], 3.16.af_y_aey 
(-5, 24, -96), [11, 8, 0], 3.16.af_y_ads 
(-5, 24, -80), [11, 8, 0], 3.16.af_y_adc 
(-5, 24, -64), [11, 8, 0], 3.16.af_y_acm 
(-5, 28, -144), [11, 12, 0], 3.16.af_bc_afo 
(-5, 28, -128), [11, 12, 0], 3.16.af_bc_aey 
(-5, 28, -112), [11, 12, 0], 3.16.af_bc_aei 
(-5, 28, -80), [11, 12, 0], 3.16.af_bc_adc 
(-5, 32, -144), [11, 0, 0], 3.16.af_bg_afo 
(-5, 32, -128), [11, 0, 0], 3.16.af_bg_aey 
(-5, 32, -112), [11, 0, 0], 3.16.af_bg_aei 
(-5, 32, -96), [11, 0, 0], 3.16.af_bg_ads 
(-5, 36, -128), [11, 4, 0], 3.16.af_bk_aey 
(-5, 36, -112), [11, 4, 0], 3.16.af_bk_aei 
(-5, 40, -144), [11, 8, 0], 3.16.af_bo_afo 
(-5, 40, -128), [11, 8, 0], 3.16.af_bo_aey 
(-5, 44, -144), [11, 12, 0], 3.16.af_bs_afo 
(-3, -12, 80), [13, 4, 0], 3.16.ad_am_dc 
(-3, -12, 96), [13, 4, 0], 3.16.ad_am_ds 
(-3, -12, 112), [13, 4, 0], 3.16.ad_am_ei 
(-3, -8, 48), [13, 8, 0], 3.16.ad_ai_bw 
(-3, -8, 64), [13, 8, 0], 3.16.ad_ai_cm 
(-3, -8, 80), [13, 8, 0], 3.16.ad_ai_dc 
(-3, -8, 96), [13, 8, 0], 3.16.ad_ai_ds 
(-3, -8, 128), [13, 8, 0], 3.16.ad_ai_ey 
(-3, -4, 16), [13, 12, 0], 3.16.ad_ae_q 
(-3, -4, 32), [13, 12, 0], 3.16.ad_ae_bg 
(-3, -4, 48), [13, 12, 0], 3.16.ad_ae_bw 
(-3, -4, 64), [13, 12, 0], 3.16.ad_ae_cm 
(-3, -4, 80), [13, 12, 0], 3.16.ad_ae_dc 
(-3, -4, 112), [13, 12, 0], 3.16.ad_ae_ei 
(-3, 0, -16), [13, 0, 0], 3.16.ad_a_aq 
(-3, 0, 0), [13, 0, 0], 3.16.ad_a_a 
(-3, 0, 16), [13, 0, 0], 3.16.ad_a_q 
(-3, 0, 32), [13, 0, 0], 3.16.ad_a_bg 
(-3, 0, 64), [13, 0, 0], 3.16.ad_a_cm 
(-3, 4, -48), [13, 4, 0], 3.16.ad_e_abw 
(-3, 4, -32), [13, 4, 0], 3.16.ad_e_abg 
(-3, 4, -16), [13, 4, 0], 3.16.ad_e_aq 
(-3, 4, 0), [13, 4, 0], 3.16.ad_e_a 
(-3, 4, 32), [13, 4, 0], 3.16.ad_e_bg 
(-3, 4, 48), [13, 4, 0], 3.16.ad_e_bw 
(-3, 8, -80), [13, 8, 0], 3.16.ad_i_adc 
(-3, 8, -64), [13, 8, 0], 3.16.ad_i_acm 
(-3, 8, -48), [13, 8, 0], 3.16.ad_i_abw 
(-3, 8, -32), [13, 8, 0], 3.16.ad_i_abg 
(-3, 8, -16), [13, 8, 0], 3.16.ad_i_aq 
(-3, 8, 0), [13, 8, 0], 3.16.ad_i_a 
(-3, 8, 16), [13, 8, 0], 3.16.ad_i_q 
(-3, 8, 32), [13, 8, 0], 3.16.ad_i_bg 
(-3, 12, -112), [13, 12, 0], 3.16.ad_m_aei 
