(-16, 133, -703), [3, 0, 0], 3.19.aq_fd_abbb 
(-14, 95, -456), [5, 0, 0], 3.19.ao_dr_aro 
(-13, 95, -475), [6, 0, 0], 3.19.an_dr_ash 
(-12, 95, -475), [7, 0, 0], 3.19.am_dr_ash 
(-11, 38, -76), [8, 0, 0], 3.19.al_bm_acy 
(-11, 57, -228), [8, 0, 0], 3.19.al_cf_aiu 
(-11, 76, -380), [8, 0, 0], 3.19.al_cy_aoq 
(-10, 38, -114), [9, 0, 0], 3.19.ak_bm_aek 
(-10, 57, -266), [9, 0, 0], 3.19.ak_cf_akg 
(-10, 57, -247), [9, 0, 0], 3.19.ak_cf_ajn 
(-9, 19, 19), [10, 0, 0], 3.19.aj_t_t 
(-9, 38, -152), [10, 0, 0], 3.19.aj_bm_afw 
(-9, 38, -114), [10, 0, 0], 3.19.aj_bm_aek 
(-9, 57, -304), [10, 0, 0], 3.19.aj_cf_als 
(-9, 57, -285), [10, 0, 0], 3.19.aj_cf_akz 
(-9, 57, -266), [10, 0, 0], 3.19.aj_cf_akg 
(-9, 57, -247), [10, 0, 0], 3.19.aj_cf_ajn 
(-8, 19, -19), [11, 0, 0], 3.19.ai_t_at 
(-8, 38, -190), [11, 0, 0], 3.19.ai_bm_ahi 
(-8, 57, -285), [11, 0, 0], 3.19.ai_cf_akz 
(-8, 57, -266), [11, 0, 0], 3.19.ai_cf_akg 
(-8, 57, -247), [11, 0, 0], 3.19.ai_cf_ajn 
(-7, 0, 114), [12, 0, 0], 3.19.ah_a_ek 
(-7, 19, -57), [12, 0, 0], 3.19.ah_t_acf 
(-7, 19, -38), [12, 0, 0], 3.19.ah_t_abm 
(-7, 19, -19), [12, 0, 0], 3.19.ah_t_at 
(-7, 38, -228), [12, 0, 0], 3.19.ah_bm_aiu 
(-7, 38, -190), [12, 0, 0], 3.19.ah_bm_ahi 
(-7, 38, -152), [12, 0, 0], 3.19.ah_bm_afw 
(-7, 57, -247), [12, 0, 0], 3.19.ah_cf_ajn 
(-7, 57, -228), [12, 0, 0], 3.19.ah_cf_aiu 
(-6, 0, 76), [13, 0, 0], 3.19.ag_a_cy 
(-6, 19, -95), [13, 0, 0], 3.19.ag_t_adr 
(-6, 19, -76), [13, 0, 0], 3.19.ag_t_acy 
(-6, 19, -57), [13, 0, 0], 3.19.ag_t_acf 
(-6, 19, -38), [13, 0, 0], 3.19.ag_t_abm 
(-6, 19, -19), [13, 0, 0], 3.19.ag_t_at 
(-6, 38, -190), [13, 0, 0], 3.19.ag_bm_ahi 
(-6, 38, -152), [13, 0, 0], 3.19.ag_bm_afw 
(-6, 57, -209), [13, 0, 0], 3.19.ag_cf_aib 
(-5, 0, 38), [14, 0, 0], 3.19.af_a_bm 
(-5, 0, 76), [14, 0, 0], 3.19.af_a_cy 
(-5, 0, 114), [14, 0, 0], 3.19.af_a_ek 
(-5, 19, -133), [14, 0, 0], 3.19.af_t_afd 
(-5, 19, -114), [14, 0, 0], 3.19.af_t_aek 
(-5, 19, -95), [14, 0, 0], 3.19.af_t_adr 
(-5, 19, -76), [14, 0, 0], 3.19.af_t_acy 
(-5, 19, -57), [14, 0, 0], 3.19.af_t_acf 
(-5, 19, -38), [14, 0, 0], 3.19.af_t_abm 
(-5, 19, -19), [14, 0, 0], 3.19.af_t_at 
(-5, 38, -152), [14, 0, 0], 3.19.af_bm_afw 
(-5, 38, -114), [14, 0, 0], 3.19.af_bm_aek 
(-4, 0, 0), [15, 0, 0], 3.19.ae_a_a 
(-4, 0, 38), [15, 0, 0], 3.19.ae_a_bm 
(-4, 0, 114), [15, 0, 0], 3.19.ae_a_ek 
(-4, 19, -171), [15, 0, 0], 3.19.ae_t_agp 
(-4, 19, -133), [15, 0, 0], 3.19.ae_t_afd 
(-4, 19, -114), [15, 0, 0], 3.19.ae_t_aek 
(-4, 19, -95), [15, 0, 0], 3.19.ae_t_adr 
(-4, 19, -76), [15, 0, 0], 3.19.ae_t_acy 
(-4, 19, -57), [15, 0, 0], 3.19.ae_t_acf 
(-4, 19, -38), [15, 0, 0], 3.19.ae_t_abm 
(-4, 19, -19), [15, 0, 0], 3.19.ae_t_at 
(-4, 38, -114), [15, 0, 0], 3.19.ae_bm_aek 
(-3, 0, -38), [16, 0, 0], 3.19.ad_a_abm 
(-3, 0, 0), [16, 0, 0], 3.19.ad_a_a 
(-3, 0, 38), [16, 0, 0], 3.19.ad_a_bm 
(-3, 0, 76), [16, 0, 0], 3.19.ad_a_cy 
