(-16, 138, -782), [7, 0, 0], 3.23.aq_fi_abec 
(-15, 115, -621), [8, 0, 0], 3.23.ap_el_axx 
(-15, 138, -782), [8, 0, 0], 3.23.ap_fi_abec 
(-14, 115, -667), [9, 0, 0], 3.23.ao_el_azr 
(-13, 69, -276), [10, 0, 0], 3.23.an_cr_akq 
(-13, 115, -644), [10, 0, 0], 3.23.an_el_ayu 
(-12, 69, -322), [11, 0, 0], 3.23.am_cr_amk 
(-12, 69, -299), [11, 0, 0], 3.23.am_cr_aln 
(-12, 92, -506), [11, 0, 0], 3.23.am_do_atm 
(-11, 46, -138), [12, 0, 0], 3.23.al_bu_afi 
(-11, 69, -368), [12, 0, 0], 3.23.al_cr_aoe 
(-11, 69, -345), [12, 0, 0], 3.23.al_cr_anh 
(-11, 69, -322), [12, 0, 0], 3.23.al_cr_amk 
(-10, 23, 23), [13, 0, 0], 3.23.ak_x_x 
(-10, 46, -184), [13, 0, 0], 3.23.ak_bu_ahc 
(-10, 69, -414), [13, 0, 0], 3.23.ak_cr_apy 
(-10, 69, -391), [13, 0, 0], 3.23.ak_cr_apb 
(-10, 69, -368), [13, 0, 0], 3.23.ak_cr_aoe 
(-10, 69, -345), [13, 0, 0], 3.23.ak_cr_anh 
(-10, 69, -322), [13, 0, 0], 3.23.ak_cr_amk 
(-9, 23, -23), [14, 0, 0], 3.23.aj_x_ax 
(-9, 46, -230), [14, 0, 0], 3.23.aj_bu_aiw 
(-9, 46, -184), [14, 0, 0], 3.23.aj_bu_ahc 
(-9, 69, -391), [14, 0, 0], 3.23.aj_cr_apb 
(-9, 69, -368), [14, 0, 0], 3.23.aj_cr_aoe 
(-9, 69, -345), [14, 0, 0], 3.23.aj_cr_anh 
(-9, 69, -322), [14, 0, 0], 3.23.aj_cr_amk 
(-8, 23, -69), [15, 0, 0], 3.23.ai_x_acr 
(-8, 23, -46), [15, 0, 0], 3.23.ai_x_abu 
(-8, 23, -23), [15, 0, 0], 3.23.ai_x_ax 
(-8, 46, -276), [15, 0, 0], 3.23.ai_bu_akq 
(-8, 46, -230), [15, 0, 0], 3.23.ai_bu_aiw 
(-8, 69, -345), [15, 0, 0], 3.23.ai_cr_anh 
(-8, 69, -322), [15, 0, 0], 3.23.ai_cr_amk 
(-8, 69, -299), [15, 0, 0], 3.23.ai_cr_aln 
(-7, 0, 138), [16, 0, 0], 3.23.ah_a_fi 
(-7, 23, -115), [16, 0, 0], 3.23.ah_x_ael 
(-7, 23, -92), [16, 0, 0], 3.23.ah_x_ado 
(-7, 23, -69), [16, 0, 0], 3.23.ah_x_acr 
(-7, 23, -46), [16, 0, 0], 3.23.ah_x_abu 
(-7, 23, -23), [16, 0, 0], 3.23.ah_x_ax 
(-7, 46, -276), [16, 0, 0], 3.23.ah_bu_akq 
(-7, 46, -230), [16, 0, 0], 3.23.ah_bu_aiw 
(-7, 46, -184), [16, 0, 0], 3.23.ah_bu_ahc 
(-7, 69, -299), [16, 0, 0], 3.23.ah_cr_aln 
(-7, 69, -276), [16, 0, 0], 3.23.ah_cr_akq 
(-6, 0, 92), [17, 0, 0], 3.23.ag_a_do 
(-6, 23, -161), [17, 0, 0], 3.23.ag_x_agf 
(-6, 23, -138), [17, 0, 0], 3.23.ag_x_afi 
(-6, 23, -115), [17, 0, 0], 3.23.ag_x_ael 
(-6, 23, -92), [17, 0, 0], 3.23.ag_x_ado 
(-6, 23, -69), [17, 0, 0], 3.23.ag_x_acr 
(-6, 23, -46), [17, 0, 0], 3.23.ag_x_abu 
(-6, 23, -23), [17, 0, 0], 3.23.ag_x_ax 
(-6, 46, -230), [17, 0, 0], 3.23.ag_bu_aiw 
(-6, 46, -184), [17, 0, 0], 3.23.ag_bu_ahc 
(-6, 69, -253), [17, 0, 0], 3.23.ag_cr_ajt 
(-5, 0, 46), [18, 0, 0], 3.23.af_a_bu 
(-5, 0, 92), [18, 0, 0], 3.23.af_a_do 
(-5, 0, 138), [18, 0, 0], 3.23.af_a_fi 
(-5, 23, -207), [18, 0, 0], 3.23.af_x_ahz 
(-5, 23, -184), [18, 0, 0], 3.23.af_x_ahc 
(-5, 23, -161), [18, 0, 0], 3.23.af_x_agf 
(-5, 23, -138), [18, 0, 0], 3.23.af_x_afi 
(-5, 23, -115), [18, 0, 0], 3.23.af_x_ael 
(-5, 23, -92), [18, 0, 0], 3.23.af_x_ado 
(-5, 23, -69), [18, 0, 0], 3.23.af_x_acr 
(-5, 23, -46), [18, 0, 0], 3.23.af_x_abu 
(-5, 23, -23), [18, 0, 0], 3.23.af_x_ax 
(-5, 46, -184), [18, 0, 0], 3.23.af_bu_ahc 
(-5, 46, -138), [18, 0, 0], 3.23.af_bu_afi 
(-4, 0, 0), [19, 0, 0], 3.23.ae_a_a 
(-4, 0, 46), [19, 0, 0], 3.23.ae_a_bu 
(-4, 0, 138), [19, 0, 0], 3.23.ae_a_fi 
(-4, 23, -253), [19, 0, 0], 3.23.ae_x_ajt 
(-4, 23, -230), [19, 0, 0], 3.23.ae_x_aiw 
(-4, 23, -207), [19, 0, 0], 3.23.ae_x_ahz 
(-4, 23, -161), [19, 0, 0], 3.23.ae_x_agf 
(-4, 23, -138), [19, 0, 0], 3.23.ae_x_afi 
(-4, 23, -115), [19, 0, 0], 3.23.ae_x_ael 
(-4, 23, -92), [19, 0, 0], 3.23.ae_x_ado 
(-4, 23, -69), [19, 0, 0], 3.23.ae_x_acr 
(-4, 23, -46), [19, 0, 0], 3.23.ae_x_abu 
(-4, 23, -23), [19, 0, 0], 3.23.ae_x_ax 
(-4, 23, 23), [19, 0, 0], 3.23.ae_x_x 
(-4, 46, -138), [19, 0, 0], 3.23.ae_bu_afi 
(-3, 0, -46), [20, 0, 0], 3.23.ad_a_abu 
(-3, 0, 0), [20, 0, 0], 3.23.ad_a_a 
(-3, 0, 46), [20, 0, 0], 3.23.ad_a_bu 
(-3, 0, 92), [20, 0, 0], 3.23.ad_a_do 
(-3, 0, 138), [20, 0, 0], 3.23.ad_a_fi 
(-3, 23, -207), [20, 0, 0], 3.23.ad_x_ahz 
(-3, 23, -184), [20, 0, 0], 3.23.ad_x_ahc 
(-3, 23, -161), [20, 0, 0], 3.23.ad_x_agf 
(-3, 23, -115), [20, 0, 0], 3.23.ad_x_ael 
(-3, 23, -92), [20, 0, 0], 3.23.ad_x_ado 
(-3, 23, -69), [20, 0, 0], 3.23.ad_x_acr 
(-3, 23, -46), [20, 0, 0], 3.23.ad_x_abu 
(-3, 23, -23), [20, 0, 0], 3.23.ad_x_ax 
(-3, 23, 23), [20, 0, 0], 3.23.ad_x_x 
(-3, 46, -92), [20, 0, 0], 3.23.ad_bu_ado 
(-2, 0, -46), [21, 0, 0], 3.23.ac_a_abu 
(-2, 0, 0), [21, 0, 0], 3.23.ac_a_a 
(-2, 0, 92), [21, 0, 0], 3.23.ac_a_do 
(-2, 0, 138), [21, 0, 0], 3.23.ac_a_fi 
(-2, 23, -184), [21, 0, 0], 3.23.ac_x_ahc 
(-2, 23, -161), [21, 0, 0], 3.23.ac_x_agf 
(-2, 23, -138), [21, 0, 0], 3.23.ac_x_afi 
(-2, 23, -115), [21, 0, 0], 3.23.ac_x_ael 
(-2, 23, -69), [21, 0, 0], 3.23.ac_x_acr 
(-2, 23, -46), [21, 0, 0], 3.23.ac_x_abu 
(-2, 23, -23), [21, 0, 0], 3.23.ac_x_ax 
(-2, 23, 23), [21, 0, 0], 3.23.ac_x_x 
(-2, 23, 46), [21, 0, 0], 3.23.ac_x_bu 
(-1, 0, -138), [22, 0, 0], 3.23.ab_a_afi 
(-1, 0, -92), [22, 0, 0], 3.23.ab_a_ado 
(-1, 0, 0), [22, 0, 0], 3.23.ab_a_a 
(-1, 0, 46), [22, 0, 0], 3.23.ab_a_bu 
(-1, 0, 92), [22, 0, 0], 3.23.ab_a_do 
(-1, 0, 138), [22, 0, 0], 3.23.ab_a_fi 
(-1, 0, 184), [22, 0, 0], 3.23.ab_a_hc 
(-1, 23, -138), [22, 0, 0], 3.23.ab_x_afi 
(-1, 23, -115), [22, 0, 0], 3.23.ab_x_ael 
(-1, 23, -92), [22, 0, 0], 3.23.ab_x_ado 
(-1, 23, -69), [22, 0, 0], 3.23.ab_x_acr 
(-1, 23, -23), [22, 0, 0], 3.23.ab_x_ax 
(-1, 23, 23), [22, 0, 0], 3.23.ab_x_x 
(-1, 23, 46), [22, 0, 0], 3.23.ab_x_bu 
(-1, 23, 69), [22, 0, 0], 3.23.ab_x_cr 
(-1, 46, 0), [22, 0, 0], 3.23.ab_bu_a 
(1, 0, -184), [1, 0, 0], 3.23.b_a_ahc 
(1, 0, -138), [1, 0, 0], 3.23.b_a_afi 
(1, 0, -92), [1, 0, 0], 3.23.b_a_ado 
(1, 0, -46), [1, 0, 0], 3.23.b_a_abu 
(1, 0, 0), [1, 0, 0], 3.23.b_a_a 
(1, 0, 92), [1, 0, 0], 3.23.b_a_do 
(1, 0, 138), [1, 0, 0], 3.23.b_a_fi 
(1, 23, -69), [1, 0, 0], 3.23.b_x_acr 
(1, 23, -46), [1, 0, 0], 3.23.b_x_abu 
(1, 23, -23), [1, 0, 0], 3.23.b_x_ax 
(1, 23, 23), [1, 0, 0], 3.23.b_x_x 
(1, 23, 69), [1, 0, 0], 3.23.b_x_cr 
(1, 23, 92), [1, 0, 0], 3.23.b_x_do 
(1, 23, 115), [1, 0, 0], 3.23.b_x_el 
(1, 23, 138), [1, 0, 0], 3.23.b_x_fi 
(1, 46, 0), [1, 0, 0], 3.23.b_bu_a 
(2, 0, -138), [2, 0, 0], 3.23.c_a_afi 
(2, 0, -92), [2, 0, 0], 3.23.c_a_ado 
(2, 0, 0), [2, 0, 0], 3.23.c_a_a 
(2, 0, 46), [2, 0, 0], 3.23.c_a_bu 
(2, 23, -46), [2, 0, 0], 3.23.c_x_abu 
(2, 23, -23), [2, 0, 0], 3.23.c_x_ax 
(2, 23, 23), [2, 0, 0], 3.23.c_x_x 
(2, 23, 46), [2, 0, 0], 3.23.c_x_bu 
(2, 23, 69), [2, 0, 0], 3.23.c_x_cr 
(2, 23, 115), [2, 0, 0], 3.23.c_x_el 
(2, 23, 138), [2, 0, 0], 3.23.c_x_fi 
(2, 23, 161), [2, 0, 0], 3.23.c_x_gf 
(2, 23, 184), [2, 0, 0], 3.23.c_x_hc 
(3, 0, -138), [3, 0, 0], 3.23.d_a_afi 
(3, 0, -92), [3, 0, 0], 3.23.d_a_ado 
