(-16, 135, -775), [0, 3, 1], 3.25.aq_ff_abdv 
(-14, 125, -750), [2, 1, 2], 3.25.ao_ev_abcw 
(-13, 85, -425), [3, 1, 3], 3.25.an_dh_aqj 
(-13, 95, -500), [3, 3, 0], 3.25.an_dr_atg 
(-13, 100, -550), [3, 0, 2], 3.25.an_dw_ave 
(-13, 105, -625), [3, 1, 3], 3.25.an_eb_ayb 
(-13, 105, -575), [3, 1, 1], 3.25.an_eb_awd 
(-13, 115, -675), [3, 3, 1], 3.25.an_el_azz 
(-12, 65, -275), [0, 1, 1], 3.25.am_cn_akp 
(-12, 75, -375), [0, 3, 1], 3.25.am_cx_aol 
(-12, 75, -350), [0, 3, 2], 3.25.am_cx_anm 
(-12, 80, -400), [0, 0, 0], 3.25.am_dc_apk 
(-12, 85, -450), [0, 1, 2], 3.25.am_dh_ari 
(-12, 95, -550), [0, 3, 2], 3.25.am_dr_ave 
(-12, 95, -500), [0, 3, 0], 3.25.am_dr_atg 
(-11, 55, -225), [1, 3, 3], 3.25.al_cd_air 
(-11, 60, -250), [1, 0, 2], 3.25.al_ci_ajq 
(-11, 65, -325), [1, 1, 3], 3.25.al_cn_amn 
(-11, 70, -350), [1, 2, 2], 3.25.al_cs_anm 
(-11, 75, -425), [1, 3, 3], 3.25.al_cx_aqj 
(-11, 75, -375), [1, 3, 1], 3.25.al_cx_aol 
(-11, 80, -450), [1, 0, 2], 3.25.al_dc_ari 
(-11, 85, -525), [1, 1, 3], 3.25.al_dh_auf 
(-11, 85, -500), [1, 1, 0], 3.25.al_dh_atg 
(-11, 90, -500), [1, 2, 0], 3.25.al_dm_atg 
(-11, 95, -525), [1, 3, 3], 3.25.al_dr_auf 
(-9, 15, 75), [3, 3, 3], 3.25.aj_p_cx 
(-9, 25, -25), [3, 1, 3], 3.25.aj_z_az 
(-9, 30, -50), [3, 2, 2], 3.25.aj_be_aby 
(-9, 35, -125), [3, 3, 3], 3.25.aj_bj_aev 
(-9, 35, -100), [3, 3, 0], 3.25.aj_bj_adw 
(-9, 45, -225), [3, 1, 3], 3.25.aj_bt_air 
(-9, 45, -175), [3, 1, 1], 3.25.aj_bt_agt 
(-9, 45, -150), [3, 1, 2], 3.25.aj_bt_afu 
(-9, 50, -250), [3, 2, 2], 3.25.aj_by_ajq 
(-9, 50, -200), [3, 2, 0], 3.25.aj_by_ahs 
(-9, 55, -300), [3, 3, 0], 3.25.aj_cd_alo 
(-9, 55, -275), [3, 3, 1], 3.25.aj_cd_akp 
(-9, 55, -225), [3, 3, 3], 3.25.aj_cd_air 
(-9, 60, -350), [3, 0, 2], 3.25.aj_ci_anm 
(-9, 60, -300), [3, 0, 0], 3.25.aj_ci_alo 
(-9, 60, -250), [3, 0, 2], 3.25.aj_ci_ajq 
(-9, 65, -425), [3, 1, 3], 3.25.aj_cn_aqj 
(-9, 65, -375), [3, 1, 1], 3.25.aj_cn_aol 
(-9, 65, -350), [3, 1, 2], 3.25.aj_cn_anm 
(-9, 70, -400), [3, 2, 0], 3.25.aj_cs_apk 
(-9, 75, -400), [3, 3, 0], 3.25.aj_cx_apk 
(-9, 75, -375), [3, 3, 1], 3.25.aj_cx_aol 
(-9, 80, -400), [3, 0, 0], 3.25.aj_dc_apk 
(-9, 85, -425), [3, 1, 3], 3.25.aj_dh_aqj 
(-8, -15, 325), [0, 1, 1], 3.25.ai_ap_mn 
(-8, 5, 150), [0, 1, 2], 3.25.ai_f_fu 
(-8, 15, 25), [0, 3, 1], 3.25.ai_p_z 
(-8, 15, 50), [0, 3, 2], 3.25.ai_p_by 
(-8, 20, 0), [0, 0, 0], 3.25.ai_u_a 
(-8, 25, -50), [0, 1, 2], 3.25.ai_z_aby 
(-8, 25, -25), [0, 1, 3], 3.25.ai_z_az 
(-8, 30, -50), [0, 2, 2], 3.25.ai_be_aby 
(-8, 35, -175), [0, 3, 1], 3.25.ai_bj_agt 
(-8, 35, -100), [0, 3, 0], 3.25.ai_bj_adw 
(-8, 35, -75), [0, 3, 1], 3.25.ai_bj_acx 
(-8, 40, -200), [0, 0, 0], 3.25.ai_bo_ahs 
(-8, 45, -250), [0, 1, 2], 3.25.ai_bt_ajq 
(-8, 45, -200), [0, 1, 0], 3.25.ai_bt_ahs 
(-8, 50, -300), [0, 2, 0], 3.25.ai_by_alo 
(-8, 50, -250), [0, 2, 2], 3.25.ai_by_ajq 
(-8, 55, -375), [0, 3, 1], 3.25.ai_cd_aol 
(-8, 55, -350), [0, 3, 2], 3.25.ai_cd_anm 
(-8, 55, -325), [0, 3, 3], 3.25.ai_cd_amn 
(-8, 55, -300), [0, 3, 0], 3.25.ai_cd_alo 
(-8, 55, -250), [0, 3, 2], 3.25.ai_cd_ajq 
(-8, 60, -350), [0, 0, 2], 3.25.ai_ci_anm 
(-8, 60, -300), [0, 0, 0], 3.25.ai_ci_alo 
(-8, 65, -350), [0, 1, 2], 3.25.ai_cn_anm 
(-8, 65, -300), [0, 1, 0], 3.25.ai_cn_alo 
(-8, 70, -350), [0, 2, 2], 3.25.ai_cs_anm 
(-8, 75, -375), [0, 3, 1], 3.25.ai_cx_aol 
(-7, -15, 300), [1, 1, 0], 3.25.ah_ap_lo 
(-7, -5, 175), [1, 3, 3], 3.25.ah_af_gt 
(-7, -5, 200), [1, 3, 0], 3.25.ah_af_hs 
(-7, -5, 225), [1, 3, 1], 3.25.ah_af_ir 
(-7, 0, 150), [1, 0, 2], 3.25.ah_a_fu 
(-7, 5, 75), [1, 1, 3], 3.25.ah_f_cx 
(-7, 5, 100), [1, 1, 0], 3.25.ah_f_dw 
(-7, 5, 125), [1, 1, 1], 3.25.ah_f_ev 
(-7, 10, 50), [1, 2, 2], 3.25.ah_k_by 
(-7, 10, 100), [1, 2, 0], 3.25.ah_k_dw 
(-7, 15, -25), [1, 3, 3], 3.25.ah_p_az 
(-7, 15, 50), [1, 3, 2], 3.25.ah_p_by 
(-7, 20, -50), [1, 0, 2], 3.25.ah_u_aby 
(-7, 20, 0), [1, 0, 0], 3.25.ah_u_a 
(-7, 25, -125), [1, 1, 3], 3.25.ah_z_aev 
(-7, 25, -100), [1, 1, 0], 3.25.ah_z_adw 
(-7, 25, -75), [1, 1, 1], 3.25.ah_z_acx 
(-7, 25, -25), [1, 1, 3], 3.25.ah_z_az 
(-7, 30, -150), [1, 2, 2], 3.25.ah_be_afu 
(-7, 30, -50), [1, 2, 2], 3.25.ah_be_aby 
(-7, 35, -200), [1, 3, 0], 3.25.ah_bj_ahs 
(-7, 35, -175), [1, 3, 1], 3.25.ah_bj_agt 
(-7, 35, -150), [1, 3, 2], 3.25.ah_bj_afu 
(-7, 35, -125), [1, 3, 3], 3.25.ah_bj_aev 
(-7, 35, -75), [1, 3, 1], 3.25.ah_bj_acx 
(-7, 40, -200), [1, 0, 0], 3.25.ah_bo_ahs 
(-7, 40, -150), [1, 0, 2], 3.25.ah_bo_afu 
(-7, 45, -300), [1, 1, 0], 3.25.ah_bt_alo 
(-7, 45, -275), [1, 1, 1], 3.25.ah_bt_akp 
(-7, 45, -250), [1, 1, 2], 3.25.ah_bt_ajq 
(-7, 45, -175), [1, 1, 1], 3.25.ah_bt_agt 
(-7, 50, -300), [1, 2, 0], 3.25.ah_by_alo 
(-7, 50, -250), [1, 2, 2], 3.25.ah_by_ajq 
(-7, 50, -200), [1, 2, 0], 3.25.ah_by_ahs 
(-7, 55, -300), [1, 3, 0], 3.25.ah_cd_alo 
(-7, 55, -275), [1, 3, 1], 3.25.ah_cd_akp 
(-7, 55, -250), [1, 3, 2], 3.25.ah_cd_ajq 
(-7, 65, -325), [1, 1, 3], 3.25.ah_cn_amn 
(-7, 65, -300), [1, 1, 0], 3.25.ah_cn_alo 
(-7, 65, -275), [1, 1, 1], 3.25.ah_cn_akp 
(-7, 70, -300), [1, 2, 0], 3.25.ah_cs_alo 
(-7, 75, -325), [1, 3, 3], 3.25.ah_cx_amn 
(-6, -20, 300), [2, 0, 0], 3.25.ag_au_lo 
(-6, -15, 250), [2, 1, 2], 3.25.ag_ap_jq 
(-6, -10, 250), [2, 2, 2], 3.25.ag_ak_jq 
(-6, -5, 150), [2, 3, 2], 3.25.ag_af_fu 
(-6, -5, 175), [2, 3, 3], 3.25.ag_af_gt 
(-6, 5, 25), [2, 1, 1], 3.25.ag_f_z 
(-6, 5, 50), [2, 1, 2], 3.25.ag_f_by 
(-6, 5, 100), [2, 1, 0], 3.25.ag_f_dw 
(-6, 10, 0), [2, 2, 0], 3.25.ag_k_a 
(-6, 10, 100), [2, 2, 0], 3.25.ag_k_dw 
(-6, 15, -75), [2, 3, 1], 3.25.ag_p_acx 
