(-3, 2, 4), [1, 2, 0], 3.4.ad_c_e 
(-3, 6, -12), [1, 2, 0], 3.4.ad_g_am 
(-3, 8, -20), [1, 0, 0], 3.4.ad_i_au 
(-3, 8, -16), [1, 0, 0], 3.4.ad_i_aq 
(-1, -2, 4), [3, 2, 0], 3.4.ab_ac_e 
(-1, -2, 8), [3, 2, 0], 3.4.ab_ac_i 
(-1, -2, 12), [3, 2, 0], 3.4.ab_ac_m 
(-1, 0, -4), [3, 0, 0], 3.4.ab_a_ae 
(-1, 0, 0), [3, 0, 0], 3.4.ab_a_a 
(-1, 0, 8), [3, 0, 0], 3.4.ab_a_i 
(-1, 2, -12), [3, 2, 0], 3.4.ab_c_am 
(-1, 2, -4), [3, 2, 0], 3.4.ab_c_ae 
(-1, 2, 0), [3, 2, 0], 3.4.ab_c_a 
(-1, 4, -4), [3, 0, 0], 3.4.ab_e_ae 
(-1, 6, -4), [3, 2, 0], 3.4.ab_g_ae 
(1, -2, -12), [1, 2, 0], 3.4.b_ac_am 
(1, -2, -8), [1, 2, 0], 3.4.b_ac_ai 
(1, -2, -4), [1, 2, 0], 3.4.b_ac_ae 
(1, 0, -8), [1, 0, 0], 3.4.b_a_ai 
(1, 0, 0), [1, 0, 0], 3.4.b_a_a 
(1, 0, 4), [1, 0, 0], 3.4.b_a_e 
(1, 2, 0), [1, 2, 0], 3.4.b_c_a 
(1, 2, 4), [1, 2, 0], 3.4.b_c_e 
(1, 2, 12), [1, 2, 0], 3.4.b_c_m 
(1, 4, 4), [1, 0, 0], 3.4.b_e_e 
(1, 6, 4), [1, 2, 0], 3.4.b_g_e 
(3, 2, -4), [3, 2, 0], 3.4.d_c_ae 
(3, 6, 12), [3, 2, 0], 3.4.d_g_m 
(3, 8, 16), [3, 0, 0], 3.4.d_i_q 
(3, 8, 20), [3, 0, 0], 3.4.d_i_u 
