(-3, 2, 4), [1, 2, 0] 
(-3, 6, -12), [1, 2, 0] 
(-3, 8, -20), [1, 0, 0] 
(-3, 8, -16), [1, 0, 0] 
(-1, -2, 4), [3, 2, 0] 
(-1, -2, 8), [3, 2, 0] 
(-1, -2, 12), [3, 2, 0] 
(-1, 0, -4), [3, 0, 0] 
(-1, 0, 0), [3, 0, 0] 
(-1, 0, 8), [3, 0, 0] 
(-1, 2, -12), [3, 2, 0] 
(-1, 2, -4), [3, 2, 0] 
(-1, 2, 0), [3, 2, 0] 
(-1, 4, -4), [3, 0, 0] 
(-1, 6, -4), [3, 2, 0] 
(1, -2, -12), [1, 2, 0] 
(1, -2, -8), [1, 2, 0] 
(1, -2, -4), [1, 2, 0] 
(1, 0, -8), [1, 0, 0] 
(1, 0, 0), [1, 0, 0] 
(1, 0, 4), [1, 0, 0] 
(1, 2, 0), [1, 2, 0] 
(1, 2, 4), [1, 2, 0] 
(1, 2, 12), [1, 2, 0] 
(1, 4, 4), [1, 0, 0] 
(1, 6, 4), [1, 2, 0] 
(3, 2, -4), [3, 2, 0] 
(3, 6, 12), [3, 2, 0] 
(3, 8, 16), [3, 0, 0] 
(3, 8, 20), [3, 0, 0] 
