(-6, 20, -50), [2, 0, 2], 3.5.ag_u_aby 
(-3, 0, 10), [1, 0, 2], 3.5.ad_a_k 
(-3, 5, -10), [1, 1, 2], 3.5.ad_f_ak 
(-3, 5, -5), [1, 1, 3], 3.5.ad_f_af 
(-2, 0, 0), [2, 0, 0], 3.5.ac_a_a 
(-2, 5, -15), [2, 1, 1], 3.5.ac_f_ap 
(-2, 5, -10), [2, 1, 2], 3.5.ac_f_ak 
(-1, 0, 0), [3, 0, 0], 3.5.ab_a_a 
(-1, 5, -15), [3, 1, 1], 3.5.ab_f_ap 
(-1, 5, -5), [3, 1, 3], 3.5.ab_f_af 
(-1, 5, 5), [3, 1, 1], 3.5.ab_f_f 
(1, 0, 0), [1, 0, 0], 3.5.b_a_a 
(1, 5, -5), [1, 1, 3], 3.5.b_f_af 
(1, 5, 5), [1, 1, 1], 3.5.b_f_f 
(1, 5, 15), [1, 1, 3], 3.5.b_f_p 
(2, 0, 0), [2, 0, 0], 3.5.c_a_a 
(2, 5, 10), [2, 1, 2], 3.5.c_f_k 
(2, 5, 15), [2, 1, 3], 3.5.c_f_p 
(3, 0, -10), [3, 0, 2], 3.5.d_a_ak 
(3, 5, 5), [3, 1, 1], 3.5.d_f_f 
(3, 5, 10), [3, 1, 2], 3.5.d_f_k 
(6, 20, 50), [2, 0, 2], 3.5.g_u_by 
