(-8, 35, -105), [0, 3, 3], 3.7.ai_bj_aeb 
(-6, 21, -63), [2, 1, 1], 3.7.ag_v_acl 
(-6, 21, -56), [2, 1, 0], 3.7.ag_v_ace 
(-5, 14, -28), [3, 2, 0], 3.7.af_o_abc 
(-5, 21, -63), [3, 1, 1], 3.7.af_v_acl 
(-5, 21, -56), [3, 1, 0], 3.7.af_v_ace 
(-4, 7, -14), [0, 3, 2], 3.7.ae_h_ao 
(-4, 7, -7), [0, 3, 1], 3.7.ae_h_ah 
(-4, 14, -42), [0, 2, 2], 3.7.ae_o_abq 
(-4, 21, -49), [0, 1, 3], 3.7.ae_v_abx 
(-3, 0, 14), [1, 0, 2], 3.7.ad_a_o 
(-3, 7, -28), [1, 3, 0], 3.7.ad_h_abc 
(-3, 7, -21), [1, 3, 3], 3.7.ad_h_av 
(-3, 7, -14), [1, 3, 2], 3.7.ad_h_ao 
(-3, 7, -7), [1, 3, 1], 3.7.ad_h_ah 
(-3, 14, -28), [1, 2, 0], 3.7.ad_o_abc 
(-2, 0, 0), [2, 0, 0], 3.7.ac_a_a 
(-2, 7, -35), [2, 3, 1], 3.7.ac_h_abj 
(-2, 7, -21), [2, 3, 3], 3.7.ac_h_av 
(-2, 7, -14), [2, 3, 2], 3.7.ac_h_ao 
(-2, 7, -7), [2, 3, 1], 3.7.ac_h_ah 
(-1, 0, 0), [3, 0, 0], 3.7.ab_a_a 
(-1, 0, 14), [3, 0, 2], 3.7.ab_a_o 
(-1, 0, 28), [3, 0, 0], 3.7.ab_a_bc 
(-1, 7, -28), [3, 3, 0], 3.7.ab_h_abc 
(-1, 7, -21), [3, 3, 3], 3.7.ab_h_av 
(-1, 7, -7), [3, 3, 1], 3.7.ab_h_ah 
(-1, 7, 7), [3, 3, 3], 3.7.ab_h_h 
(1, 0, -28), [1, 0, 0], 3.7.b_a_abc 
(1, 0, -14), [1, 0, 2], 3.7.b_a_ao 
(1, 0, 0), [1, 0, 0], 3.7.b_a_a 
(1, 7, -7), [1, 3, 1], 3.7.b_h_ah 
(1, 7, 7), [1, 3, 3], 3.7.b_h_h 
(1, 7, 21), [1, 3, 1], 3.7.b_h_v 
(1, 7, 28), [1, 3, 0], 3.7.b_h_bc 
(2, 0, 0), [2, 0, 0], 3.7.c_a_a 
(2, 7, 7), [2, 3, 3], 3.7.c_h_h 
(2, 7, 14), [2, 3, 2], 3.7.c_h_o 
(2, 7, 21), [2, 3, 1], 3.7.c_h_v 
(2, 7, 35), [2, 3, 3], 3.7.c_h_bj 
(3, 0, -14), [3, 0, 2], 3.7.d_a_ao 
(3, 7, 7), [3, 3, 3], 3.7.d_h_h 
(3, 7, 14), [3, 3, 2], 3.7.d_h_o 
(3, 7, 21), [3, 3, 1], 3.7.d_h_v 
(3, 7, 28), [3, 3, 0], 3.7.d_h_bc 
(3, 14, 28), [3, 2, 0], 3.7.d_o_bc 
(4, 7, 7), [0, 3, 3], 3.7.e_h_h 
(4, 7, 14), [0, 3, 2], 3.7.e_h_o 
(4, 14, 42), [0, 2, 2], 3.7.e_o_bq 
(4, 21, 49), [0, 1, 1], 3.7.e_v_bx 
(5, 14, 28), [1, 2, 0], 3.7.f_o_bc 
(5, 21, 56), [1, 1, 0], 3.7.f_v_ce 
(5, 21, 63), [1, 1, 3], 3.7.f_v_cl 
(6, 21, 56), [2, 1, 0], 3.7.g_v_ce 
(6, 21, 63), [2, 1, 3], 3.7.g_v_cl 
(8, 35, 105), [0, 3, 1], 3.7.i_bj_eb 
