(-7, 32, -104), [1, 0, 0], 3.8.ah_bg_aea 
(-5, 8, -8), [3, 0, 0], 3.8.af_i_ai 
(-5, 12, -32), [3, 4, 0], 3.8.af_m_abg 
(-5, 12, -24), [3, 4, 0], 3.8.af_m_ay 
(-5, 16, -48), [3, 0, 0], 3.8.af_q_abw 
(-5, 20, -64), [3, 4, 0], 3.8.af_u_acm 
(-5, 20, -56), [3, 4, 0], 3.8.af_u_ace 
(-5, 24, -72), [3, 0, 0], 3.8.af_y_acu 
(-3, -4, 32), [5, 4, 0], 3.8.ad_ae_bg 
(-3, -4, 40), [5, 4, 0], 3.8.ad_ae_bo 
(-3, 0, 8), [5, 0, 0], 3.8.ad_a_i 
(-3, 0, 16), [5, 0, 0], 3.8.ad_a_q 
(-3, 4, -8), [5, 4, 0], 3.8.ad_e_ai 
(-3, 4, 0), [5, 4, 0], 3.8.ad_e_a 
(-3, 4, 8), [5, 4, 0], 3.8.ad_e_i 
(-3, 8, -40), [5, 0, 0], 3.8.ad_i_abo 
(-3, 8, -32), [5, 0, 0], 3.8.ad_i_abg 
(-3, 8, -24), [5, 0, 0], 3.8.ad_i_ay 
(-3, 8, -16), [5, 0, 0], 3.8.ad_i_aq 
(-3, 8, -8), [5, 0, 0], 3.8.ad_i_ai 
(-3, 12, -40), [5, 4, 0], 3.8.ad_m_abo 
(-3, 12, -32), [5, 4, 0], 3.8.ad_m_abg 
(-3, 12, -24), [5, 4, 0], 3.8.ad_m_ay 
(-3, 16, -40), [5, 0, 0], 3.8.ad_q_abo 
(-3, 20, -40), [5, 4, 0], 3.8.ad_u_abo 
(-1, -4, 0), [7, 4, 0], 3.8.ab_ae_a 
(-1, -4, 8), [7, 4, 0], 3.8.ab_ae_i 
(-1, -4, 16), [7, 4, 0], 3.8.ab_ae_q 
(-1, -4, 32), [7, 4, 0], 3.8.ab_ae_bg 
(-1, 0, -24), [7, 0, 0], 3.8.ab_a_ay 
(-1, 0, -8), [7, 0, 0], 3.8.ab_a_ai 
(-1, 0, 0), [7, 0, 0], 3.8.ab_a_a 
(-1, 0, 16), [7, 0, 0], 3.8.ab_a_q 
(-1, 0, 24), [7, 0, 0], 3.8.ab_a_y 
(-1, 4, -32), [7, 4, 0], 3.8.ab_e_abg 
(-1, 4, -24), [7, 4, 0], 3.8.ab_e_ay 
(-1, 4, -8), [7, 4, 0], 3.8.ab_e_ai 
(-1, 4, 0), [7, 4, 0], 3.8.ab_e_a 
(-1, 4, 8), [7, 4, 0], 3.8.ab_e_i 
(-1, 4, 24), [7, 4, 0], 3.8.ab_e_y 
(-1, 8, -32), [7, 0, 0], 3.8.ab_i_abg 
(-1, 8, -24), [7, 0, 0], 3.8.ab_i_ay 
