(-7, 27, -81), [1, 3, 3], 3.9.ah_bb_add 
(-7, 33, -117), [1, 1, 3], 3.9.ah_bh_aen 
(-5, 3, 27), [3, 3, 3], 3.9.af_d_bb 
(-5, 9, -9), [3, 1, 3], 3.9.af_j_aj 
(-5, 12, -18), [3, 0, 2], 3.9.af_m_as 
(-5, 15, -45), [3, 3, 3], 3.9.af_p_abt 
(-5, 15, -27), [3, 3, 1], 3.9.af_p_abb 
(-5, 18, -54), [3, 2, 2], 3.9.af_s_acc 
(-5, 21, -81), [3, 1, 3], 3.9.af_v_add 
(-5, 21, -72), [3, 1, 0], 3.9.af_v_acu 
(-5, 27, -81), [3, 3, 3], 3.9.af_bb_add 
(-4, -3, 45), [0, 1, 1], 3.9.ae_ad_bt 
(-4, 3, 18), [0, 3, 2], 3.9.ae_d_s 
(-4, 9, -27), [0, 1, 1], 3.9.ae_j_abb 
(-4, 9, -18), [0, 1, 2], 3.9.ae_j_as 
(-4, 12, -36), [0, 0, 0], 3.9.ae_m_abk 
(-4, 15, -63), [0, 3, 1], 3.9.ae_p_acl 
(-4, 15, -54), [0, 3, 2], 3.9.ae_p_acc 
(-4, 15, -36), [0, 3, 0], 3.9.ae_p_abk 
(-4, 18, -54), [0, 2, 2], 3.9.ae_s_acc 
(-4, 21, -54), [0, 1, 2], 3.9.ae_v_acc 
(-2, -6, 36), [2, 2, 0], 3.9.ac_ag_bk 
(-2, -3, 9), [2, 1, 1], 3.9.ac_ad_j 
(-2, -3, 27), [2, 1, 3], 3.9.ac_ad_bb 
(-2, -3, 36), [2, 1, 0], 3.9.ac_ad_bk 
(-2, 0, 0), [2, 0, 0], 3.9.ac_a_a 
(-2, 3, -27), [2, 3, 1], 3.9.ac_d_abb 
(-2, 3, -18), [2, 3, 2], 3.9.ac_d_as 
(-2, 3, 0), [2, 3, 0], 3.9.ac_d_a 
(-2, 6, -18), [2, 2, 2], 3.9.ac_g_as 
(-2, 6, 0), [2, 2, 0], 3.9.ac_g_a 
(-2, 9, -54), [2, 1, 2], 3.9.ac_j_acc 
(-2, 9, -27), [2, 1, 1], 3.9.ac_j_abb 
(-2, 9, -9), [2, 1, 3], 3.9.ac_j_aj 
(-2, 12, -18), [2, 0, 2], 3.9.ac_m_as 
(-2, 15, -18), [2, 3, 2], 3.9.ac_p_as 
(-1, -6, 18), [3, 2, 2], 3.9.ab_ag_s 
(-1, -3, -9), [3, 1, 3], 3.9.ab_ad_aj 
(-1, -3, 0), [3, 1, 0], 3.9.ab_ad_a 
(-1, -3, 18), [3, 1, 2], 3.9.ab_ad_s 
(-1, -3, 27), [3, 1, 3], 3.9.ab_ad_bb 
(-1, -3, 45), [3, 1, 1], 3.9.ab_ad_bt 
(-1, 0, 0), [3, 0, 0], 3.9.ab_a_a 
(-1, 0, 36), [3, 0, 0], 3.9.ab_a_bk 
(-1, 3, -36), [3, 3, 0], 3.9.ab_d_abk 
(-1, 3, -27), [3, 3, 1], 3.9.ab_d_abb 
(-1, 3, -9), [3, 3, 3], 3.9.ab_d_aj 
(-1, 3, 0), [3, 3, 0], 3.9.ab_d_a 
(-1, 3, 18), [3, 3, 2], 3.9.ab_d_s 
(-1, 3, 27), [3, 3, 3], 3.9.ab_d_bb 
(-1, 6, -36), [3, 2, 0], 3.9.ab_g_abk 
(-1, 6, 0), [3, 2, 0], 3.9.ab_g_a 
(-1, 9, -27), [3, 1, 1], 3.9.ab_j_abb 
(-1, 9, 9), [3, 1, 1], 3.9.ab_j_j 
(-1, 12, 0), [3, 0, 0], 3.9.ab_m_a 
(-1, 15, -27), [3, 3, 1], 3.9.ab_p_abb 
(-1, 15, -9), [3, 3, 3], 3.9.ab_p_aj 
(1, -6, -18), [1, 2, 2], 3.9.b_ag_as 
(1, -3, -45), [1, 1, 3], 3.9.b_ad_abt 
(1, -3, -27), [1, 1, 1], 3.9.b_ad_abb 
(1, -3, -18), [1, 1, 2], 3.9.b_ad_as 
(1, -3, 0), [1, 1, 0], 3.9.b_ad_a 
(1, -3, 9), [1, 1, 1], 3.9.b_ad_j 
(1, 0, -36), [1, 0, 0], 3.9.b_a_abk 
(1, 0, 0), [1, 0, 0], 3.9.b_a_a 
(1, 3, -27), [1, 3, 1], 3.9.b_d_abb 
(1, 3, -18), [1, 3, 2], 3.9.b_d_as 
(1, 3, 0), [1, 3, 0], 3.9.b_d_a 
(1, 3, 9), [1, 3, 1], 3.9.b_d_j 
(1, 3, 27), [1, 3, 3], 3.9.b_d_bb 
(1, 3, 36), [1, 3, 0], 3.9.b_d_bk 
(1, 6, 0), [1, 2, 0], 3.9.b_g_a 
(1, 6, 36), [1, 2, 0], 3.9.b_g_bk 
(1, 9, -9), [1, 1, 3], 3.9.b_j_aj 
(1, 9, 27), [1, 1, 3], 3.9.b_j_bb 
(1, 12, 0), [1, 0, 0], 3.9.b_m_a 
(1, 15, 9), [1, 3, 1], 3.9.b_p_j 
(1, 15, 27), [1, 3, 3], 3.9.b_p_bb 
(2, -6, -36), [2, 2, 0], 3.9.c_ag_abk 
(2, -3, -36), [2, 1, 0], 3.9.c_ad_abk 
(2, -3, -27), [2, 1, 1], 3.9.c_ad_abb 
(2, -3, -9), [2, 1, 3], 3.9.c_ad_aj 
(2, 0, 0), [2, 0, 0], 3.9.c_a_a 
(2, 3, 0), [2, 3, 0], 3.9.c_d_a 
(2, 3, 18), [2, 3, 2], 3.9.c_d_s 
(2, 3, 27), [2, 3, 3], 3.9.c_d_bb 
(2, 6, 0), [2, 2, 0], 3.9.c_g_a 
(2, 6, 18), [2, 2, 2], 3.9.c_g_s 
(2, 9, 9), [2, 1, 1], 3.9.c_j_j 
(2, 9, 27), [2, 1, 3], 3.9.c_j_bb 
(2, 9, 54), [2, 1, 2], 3.9.c_j_cc 
(2, 12, 18), [2, 0, 2], 3.9.c_m_s 
(2, 15, 18), [2, 3, 2], 3.9.c_p_s 
(4, -3, -45), [0, 1, 3], 3.9.e_ad_abt 
(4, 3, -18), [0, 3, 2], 3.9.e_d_as 
(4, 9, 18), [0, 1, 2], 3.9.e_j_s 
(4, 9, 27), [0, 1, 3], 3.9.e_j_bb 
(4, 12, 36), [0, 0, 0], 3.9.e_m_bk 
(4, 15, 36), [0, 3, 0], 3.9.e_p_bk 
(4, 15, 54), [0, 3, 2], 3.9.e_p_cc 
