(-13, 82, -330), [3, 2, 2], 3.11.an_de_ams 
(-12, 72, -286), [0, 0, 2], 3.11.am_cu_ala 
(-12, 74, -297), [0, 2, 3], 3.11.am_cw_all 
(-11, 57, -209), [1, 1, 3], 3.11.al_cf_aib 
(-11, 64, -253), [1, 0, 3], 3.11.al_cm_ajt 
(-11, 65, -253), [1, 1, 3], 3.11.al_cn_ajt 
(-11, 67, -264), [1, 3, 0], 3.11.al_cp_ake 
(-10, 54, -209), [2, 2, 3], 3.11.ak_cc_aib 
(-10, 57, -231), [2, 1, 1], 3.11.ak_cf_aix 
(-10, 58, -231), [2, 2, 1], 3.11.ak_cg_aix 
(-10, 59, -231), [2, 3, 1], 3.11.ak_ch_aix 
(-10, 60, -231), [2, 0, 1], 3.11.ak_ci_aix 
(-10, 62, -242), [2, 2, 2], 3.11.ak_ck_aji 
(-9, 34, -99), [3, 2, 1], 3.11.aj_bi_adv 
(-9, 38, -121), [3, 2, 3], 3.11.aj_bm_aer 
(-9, 46, -176), [3, 2, 0], 3.11.aj_bu_agu 
(-9, 46, -165), [3, 2, 3], 3.11.aj_bu_agj 
(-9, 48, -187), [3, 0, 1], 3.11.aj_bw_ahf 
(-9, 48, -176), [3, 0, 0], 3.11.aj_bw_agu 
(-9, 50, -187), [3, 2, 1], 3.11.aj_by_ahf 
(-9, 54, -209), [3, 2, 3], 3.11.aj_cc_aib 
(-8, 14, 11), [0, 2, 3], 3.11.ai_o_l 
(-8, 19, -22), [0, 3, 2], 3.11.ai_t_aw 
(-8, 24, -55), [0, 0, 1], 3.11.ai_y_acd 
(-8, 28, -77), [0, 0, 3], 3.11.ai_bc_acz 
(-8, 32, -99), [0, 0, 1], 3.11.ai_bg_adv 
(-8, 34, -121), [0, 2, 3], 3.11.ai_bi_aer 
(-8, 36, -121), [0, 0, 3], 3.11.ai_bk_aer 
(-8, 38, -143), [0, 2, 1], 3.11.ai_bm_afn 
(-8, 40, -143), [0, 0, 1], 3.11.ai_bo_afn 
(-8, 42, -165), [0, 2, 3], 3.11.ai_bq_agj 
(-8, 46, -165), [0, 2, 3], 3.11.ai_bu_agj 
(-7, -1, 88), [1, 3, 0], 3.11.ah_ab_dk 
(-7, 4, 55), [1, 0, 3], 3.11.ah_e_cd 
(-7, 14, -11), [1, 2, 1], 3.11.ah_o_al 
(-7, 18, -33), [1, 2, 3], 3.11.ah_s_abh 
(-7, 24, -77), [1, 0, 3], 3.11.ah_y_acz 
(-7, 26, -77), [1, 2, 3], 3.11.ah_ba_acz 
(-7, 28, -99), [1, 0, 1], 3.11.ah_bc_adv 
(-7, 30, -99), [1, 2, 1], 3.11.ah_be_adv 
(-7, 32, -121), [1, 0, 3], 3.11.ah_bg_aer 
(-7, 34, -143), [1, 2, 1], 3.11.ah_bi_afn 
(-7, 36, -121), [1, 0, 3], 3.11.ah_bk_aer 
(-7, 38, -143), [1, 2, 1], 3.11.ah_bm_afn 
(-7, 40, -143), [1, 0, 1], 3.11.ah_bo_afn 
(-7, 42, -143), [1, 2, 1], 3.11.ah_bq_afn 
(-6, -6, 99), [2, 2, 3], 3.11.ag_ag_dv 
(-6, -2, 77), [2, 2, 1], 3.11.ag_ac_cz 
(-6, 1, 55), [2, 1, 3], 3.11.ag_b_cd 
(-6, 4, 33), [2, 0, 1], 3.11.ag_e_bh 
(-6, 8, 11), [2, 0, 3], 3.11.ag_i_l 
(-6, 12, -11), [2, 0, 1], 3.11.ag_m_al 
(-6, 14, -33), [2, 2, 3], 3.11.ag_o_abh 
(-6, 16, -33), [2, 0, 3], 3.11.ag_q_abh 
(-6, 18, -55), [2, 2, 1], 3.11.ag_s_acd 
(-6, 18, -33), [2, 2, 3], 3.11.ag_s_abh 
(-6, 20, -55), [2, 0, 1], 3.11.ag_u_acd 
(-6, 24, -99), [2, 0, 1], 3.11.ag_y_adv 
(-6, 24, -77), [2, 0, 3], 3.11.ag_y_acz 
(-6, 26, -99), [2, 2, 1], 3.11.ag_ba_adv 
(-6, 26, -77), [2, 2, 3], 3.11.ag_ba_acz 
(-6, 28, -121), [2, 0, 3], 3.11.ag_bc_aer 
(-6, 28, -99), [2, 0, 1], 3.11.ag_bc_adv 
(-6, 30, -121), [2, 2, 3], 3.11.ag_be_aer 
(-6, 30, -99), [2, 2, 1], 3.11.ag_be_adv 
(-6, 32, -121), [2, 0, 3], 3.11.ag_bg_aer 
(-6, 32, -99), [2, 0, 1], 3.11.ag_bg_adv 
(-6, 34, -121), [2, 2, 3], 3.11.ag_bi_aer 
(-6, 36, -121), [2, 0, 3], 3.11.ag_bk_aer 
(-6, 38, -121), [2, 2, 3], 3.11.ag_bm_aer 
(-5, -8, 99), [3, 0, 3], 3.11.af_ai_dv 
(-5, -7, 88), [3, 1, 0], 3.11.af_ah_dk 
(-5, -6, 77), [3, 2, 1], 3.11.af_ag_cz 
(-5, -4, 77), [3, 0, 1], 3.11.af_ae_cz 
(-5, -2, 55), [3, 2, 3], 3.11.af_ac_cd 
(-5, 2, 33), [3, 2, 1], 3.11.af_c_bh 
(-5, 4, 11), [3, 0, 3], 3.11.af_e_l 
(-5, 4, 33), [3, 0, 1], 3.11.af_e_bh 
(-5, 6, 11), [3, 2, 3], 3.11.af_g_l 
(-5, 8, -11), [3, 0, 1], 3.11.af_i_al 
(-5, 8, 11), [3, 0, 3], 3.11.af_i_l 
(-5, 10, -11), [3, 2, 1], 3.11.af_k_al 
(-5, 12, -33), [3, 0, 3], 3.11.af_m_abh 
(-5, 12, -11), [3, 0, 1], 3.11.af_m_al 
(-5, 14, -55), [3, 2, 1], 3.11.af_o_acd 
(-5, 14, -33), [3, 2, 3], 3.11.af_o_abh 
(-5, 16, -55), [3, 0, 1], 3.11.af_q_acd 
(-5, 16, -33), [3, 0, 3], 3.11.af_q_abh 
(-5, 18, -77), [3, 2, 3], 3.11.af_s_acz 
(-5, 18, -55), [3, 2, 1], 3.11.af_s_acd 
(-5, 18, -33), [3, 2, 3], 3.11.af_s_abh 
(-5, 20, -55), [3, 0, 1], 3.11.af_u_acd 
(-5, 24, -99), [3, 0, 1], 3.11.af_y_adv 
(-5, 24, -77), [3, 0, 3], 3.11.af_y_acz 
(-5, 26, -77), [3, 2, 3], 3.11.af_ba_acz 
(-5, 28, -99), [3, 0, 1], 3.11.af_bc_adv 
(-5, 30, -99), [3, 2, 1], 3.11.af_be_adv 
(-5, 32, -99), [3, 0, 1], 3.11.af_bg_adv 
(-5, 34, -99), [3, 2, 1], 3.11.af_bi_adv 
(-4, -9, 77), [0, 3, 1], 3.11.ae_aj_cz 
(-4, -8, 77), [0, 0, 1], 3.11.ae_ai_cz 
(-4, -6, 55), [0, 2, 3], 3.11.ae_ag_cd 
(-4, -6, 77), [0, 2, 1], 3.11.ae_ag_cz 
(-4, -4, 55), [0, 0, 3], 3.11.ae_ae_cd 
(-4, -2, 33), [0, 2, 1], 3.11.ae_ac_bh 
(-4, -2, 55), [0, 2, 3], 3.11.ae_ac_cd 
(-4, 2, 11), [0, 2, 3], 3.11.ae_c_l 
(-4, 2, 33), [0, 2, 1], 3.11.ae_c_bh 
(-4, 4, -11), [0, 0, 1], 3.11.ae_e_al 
(-4, 4, 11), [0, 0, 3], 3.11.ae_e_l 
(-4, 6, -11), [0, 2, 1], 3.11.ae_g_al 
(-4, 6, 11), [0, 2, 3], 3.11.ae_g_l 
(-4, 8, -33), [0, 0, 3], 3.11.ae_i_abh 
(-4, 8, -11), [0, 0, 1], 3.11.ae_i_al 
(-4, 8, 11), [0, 0, 3], 3.11.ae_i_l 
(-4, 10, -33), [0, 2, 3], 3.11.ae_k_abh 
(-4, 10, -11), [0, 2, 1], 3.11.ae_k_al 
(-4, 12, -55), [0, 0, 1], 3.11.ae_m_acd 
(-4, 12, -33), [0, 0, 3], 3.11.ae_m_abh 
(-4, 12, -11), [0, 0, 1], 3.11.ae_m_al 
(-4, 14, -77), [0, 2, 3], 3.11.ae_o_acz 
(-4, 14, -55), [0, 2, 1], 3.11.ae_o_acd 
(-4, 14, -33), [0, 2, 3], 3.11.ae_o_abh 
(-4, 16, -77), [0, 0, 3], 3.11.ae_q_acz 
(-4, 16, -55), [0, 0, 1], 3.11.ae_q_acd 
(-4, 16, -33), [0, 0, 3], 3.11.ae_q_abh 
(-4, 18, -77), [0, 2, 3], 3.11.ae_s_acz 
(-4, 18, -55), [0, 2, 1], 3.11.ae_s_acd 
(-4, 18, -33), [0, 2, 3], 3.11.ae_s_abh 
(-4, 20, -77), [0, 0, 3], 3.11.ae_u_acz 
(-4, 20, -55), [0, 0, 1], 3.11.ae_u_acd 
(-4, 24, -77), [0, 0, 3], 3.11.ae_y_acz 
(-4, 24, -55), [0, 0, 1], 3.11.ae_y_acd 
(-4, 26, -77), [0, 2, 3], 3.11.ae_ba_acz 
(-4, 28, -77), [0, 0, 3], 3.11.ae_bc_acz 
(-4, 29, -77), [0, 1, 3], 3.11.ae_bd_acz 
(-4, 30, -77), [0, 2, 3], 3.11.ae_be_acz 
(-4, 32, -77), [0, 0, 3], 3.11.ae_bg_acz 
(-3, -9, 55), [1, 3, 3], 3.11.ad_aj_cd 
(-3, -8, 55), [1, 0, 3], 3.11.ad_ai_cd 
(-3, -8, 77), [1, 0, 1], 3.11.ad_ai_cz 
(-3, -6, 33), [1, 2, 1], 3.11.ad_ag_bh 
(-3, -6, 55), [1, 2, 3], 3.11.ad_ag_cd 
(-3, -6, 77), [1, 2, 1], 3.11.ad_ag_cz 
(-3, -4, 33), [1, 0, 1], 3.11.ad_ae_bh 
(-3, -4, 55), [1, 0, 3], 3.11.ad_ae_cd 
(-3, -2, 11), [1, 2, 3], 3.11.ad_ac_l 
(-3, -2, 33), [1, 2, 1], 3.11.ad_ac_bh 
(-3, -2, 55), [1, 2, 3], 3.11.ad_ac_cd 
