(-15, 110, -494), [11, 6, 0], 3.13.ap_eg_ata 
(-14, 99, -442), [12, 8, 0], 3.13.ao_dv_ara 
(-14, 102, -455), [12, 11, 0], 3.13.ao_dy_arn 
(-13, 79, -325), [0, 1, 0], 3.13.an_db_amn 
(-13, 83, -351), [0, 5, 0], 3.13.an_df_ann 
(-12, 72, -299), [1, 7, 0], 3.13.am_cu_aln 
(-12, 76, -325), [1, 11, 0], 3.13.am_cy_amn 
(-12, 80, -351), [1, 2, 0], 3.13.am_dc_ann 
(-11, 58, -221), [2, 6, 0], 3.13.al_cg_ain 
(-11, 62, -247), [2, 10, 0], 3.13.al_ck_ajn 
(-11, 66, -273), [2, 1, 0], 3.13.al_co_akn 
(-11, 70, -299), [2, 5, 0], 3.13.al_cs_aln 
(-10, 54, -221), [3, 2, 0], 3.13.ak_cc_ain 
(-10, 56, -221), [3, 4, 0], 3.13.ak_ce_ain 
(-10, 58, -247), [3, 6, 0], 3.13.ak_cg_ajn 
(-10, 60, -247), [3, 8, 0], 3.13.ak_ci_ajn 
(-10, 62, -273), [3, 10, 0], 3.13.ak_ck_akn 
(-10, 64, -273), [3, 12, 0], 3.13.ak_cm_akn 
(-10, 66, -273), [3, 1, 0], 3.13.ak_co_akn 
(-9, 36, -117), [4, 10, 0], 3.13.aj_bk_aen 
(-9, 44, -169), [4, 5, 0], 3.13.aj_bs_agn 
(-9, 48, -195), [4, 9, 0], 3.13.aj_bw_ahn 
(-9, 50, -195), [4, 11, 0], 3.13.aj_by_ahn 
(-9, 54, -221), [4, 2, 0], 3.13.aj_cc_ain 
(-9, 56, -221), [4, 4, 0], 3.13.aj_ce_ain 
(-9, 62, -247), [4, 10, 0], 3.13.aj_ck_ajn 
(-8, 18, -13), [5, 5, 0], 3.13.ai_s_an 
(-8, 22, -39), [5, 9, 0], 3.13.ai_w_abn 
(-8, 30, -91), [5, 4, 0], 3.13.ai_be_adn 
(-8, 34, -117), [5, 8, 0], 3.13.ai_bi_aen 
(-8, 36, -143), [5, 10, 0], 3.13.ai_bk_afn 
(-8, 36, -117), [5, 10, 0], 3.13.ai_bk_aen 
(-8, 38, -143), [5, 12, 0], 3.13.ai_bm_afn 
(-8, 40, -169), [5, 1, 0], 3.13.ai_bo_agn 
(-8, 40, -143), [5, 1, 0], 3.13.ai_bo_afn 
(-8, 42, -169), [5, 3, 0], 3.13.ai_bq_agn 
(-8, 44, -195), [5, 5, 0], 3.13.ai_bs_ahn 
(-8, 44, -169), [5, 5, 0], 3.13.ai_bs_agn 
(-8, 46, -195), [5, 7, 0], 3.13.ai_bu_ahn 
(-8, 46, -169), [5, 7, 0], 3.13.ai_bu_agn 
(-8, 48, -195), [5, 9, 0], 3.13.ai_bw_ahn 
(-8, 50, -195), [5, 11, 0], 3.13.ai_by_ahn 
(-8, 58, -221), [5, 6, 0], 3.13.ai_cg_ain 
(-7, -2, 104), [6, 11, 0], 3.13.ah_ac_ea 
(-7, 4, 65), [6, 4, 0], 3.13.ah_e_cn 
(-7, 8, 39), [6, 8, 0], 3.13.ah_i_bn 
(-7, 11, 13), [6, 11, 0], 3.13.ah_l_n 
(-7, 12, 13), [6, 12, 0], 3.13.ah_m_n 
(-7, 16, -13), [6, 3, 0], 3.13.ah_q_an 
(-7, 18, -39), [6, 5, 0], 3.13.ah_s_abn 
(-7, 20, -39), [6, 7, 0], 3.13.ah_u_abn 
(-7, 22, -65), [6, 9, 0], 3.13.ah_w_acn 
(-7, 24, -65), [6, 11, 0], 3.13.ah_y_acn 
(-7, 28, -91), [6, 2, 0], 3.13.ah_bc_adn 
(-7, 30, -117), [6, 4, 0], 3.13.ah_be_aen 
(-7, 30, -91), [6, 4, 0], 3.13.ah_be_adn 
(-7, 32, -117), [6, 6, 0], 3.13.ah_bg_aen 
(-7, 34, -143), [6, 8, 0], 3.13.ah_bi_afn 
(-7, 34, -117), [6, 8, 0], 3.13.ah_bi_aen 
(-7, 36, -169), [6, 10, 0], 3.13.ah_bk_agn 
(-7, 36, -143), [6, 10, 0], 3.13.ah_bk_afn 
(-7, 38, -169), [6, 12, 0], 3.13.ah_bm_agn 
(-7, 40, -169), [6, 1, 0], 3.13.ah_bo_agn 
(-7, 40, -143), [6, 1, 0], 3.13.ah_bo_afn 
(-7, 42, -169), [6, 3, 0], 3.13.ah_bq_agn 
(-7, 46, -169), [6, 7, 0], 3.13.ah_bu_agn 
(-6, -11, 143), [7, 2, 0], 3.13.ag_al_fn 
(-6, -1, 78), [7, 12, 0], 3.13.ag_ab_da 
(-6, 2, 65), [7, 2, 0], 3.13.ag_c_cn 
(-6, 4, 39), [7, 4, 0], 3.13.ag_e_bn 
(-6, 6, 39), [7, 6, 0], 3.13.ag_g_bn 
(-6, 8, 13), [7, 8, 0], 3.13.ag_i_n 
(-6, 10, 13), [7, 10, 0], 3.13.ag_k_n 
(-6, 11, 13), [7, 11, 0], 3.13.ag_l_n 
(-6, 12, -13), [7, 12, 0], 3.13.ag_m_an 
(-6, 14, -13), [7, 1, 0], 3.13.ag_o_an 
(-6, 16, -39), [7, 3, 0], 3.13.ag_q_abn 
(-6, 18, -65), [7, 5, 0], 3.13.ag_s_acn 
(-6, 18, -39), [7, 5, 0], 3.13.ag_s_abn 
(-6, 20, -65), [7, 7, 0], 3.13.ag_u_acn 
(-6, 20, -39), [7, 7, 0], 3.13.ag_u_abn 
(-6, 22, -91), [7, 9, 0], 3.13.ag_w_adn 
(-6, 22, -65), [7, 9, 0], 3.13.ag_w_acn 
(-6, 24, -91), [7, 11, 0], 3.13.ag_y_adn 
(-6, 24, -65), [7, 11, 0], 3.13.ag_y_acn 
(-6, 28, -117), [7, 2, 0], 3.13.ag_bc_aen 
(-6, 28, -91), [7, 2, 0], 3.13.ag_bc_adn 
(-6, 30, -143), [7, 4, 0], 3.13.ag_be_afn 
(-6, 30, -117), [7, 4, 0], 3.13.ag_be_aen 
(-6, 30, -91), [7, 4, 0], 3.13.ag_be_adn 
(-6, 32, -143), [7, 6, 0], 3.13.ag_bg_afn 
(-6, 32, -117), [7, 6, 0], 3.13.ag_bg_aen 
(-6, 34, -143), [7, 8, 0], 3.13.ag_bi_afn 
(-6, 34, -117), [7, 8, 0], 3.13.ag_bi_aen 
(-6, 36, -143), [7, 10, 0], 3.13.ag_bk_afn 
(-6, 36, -117), [7, 10, 0], 3.13.ag_bk_aen 
(-6, 38, -143), [7, 12, 0], 3.13.ag_bm_afn 
(-6, 40, -143), [7, 1, 0], 3.13.ag_bo_afn 
(-6, 42, -143), [7, 3, 0], 3.13.ag_bq_afn 
(-6, 44, -143), [7, 5, 0], 3.13.ag_bs_afn 
(-5, -10, 117), [8, 3, 0], 3.13.af_ak_en 
(-5, -6, 91), [8, 7, 0], 3.13.af_ag_dn 
(-5, -4, 91), [8, 9, 0], 3.13.af_ae_dn 
(-5, -3, 65), [8, 10, 0], 3.13.af_ad_cn 
(-5, -2, 65), [8, 11, 0], 3.13.af_ac_cn 
(-5, 2, 39), [8, 2, 0], 3.13.af_c_bn 
(-5, 4, 13), [8, 4, 0], 3.13.af_e_n 
(-5, 4, 39), [8, 4, 0], 3.13.af_e_bn 
(-5, 6, 13), [8, 6, 0], 3.13.af_g_n 
(-5, 8, -13), [8, 8, 0], 3.13.af_i_an 
(-5, 8, 13), [8, 8, 0], 3.13.af_i_n 
(-5, 10, -13), [8, 10, 0], 3.13.af_k_an 
(-5, 10, 13), [8, 10, 0], 3.13.af_k_n 
(-5, 12, -13), [8, 12, 0], 3.13.af_m_an 
(-5, 14, -39), [8, 1, 0], 3.13.af_o_abn 
(-5, 14, -13), [8, 1, 0], 3.13.af_o_an 
(-5, 16, -65), [8, 3, 0], 3.13.af_q_acn 
(-5, 16, -39), [8, 3, 0], 3.13.af_q_abn 
(-5, 18, -91), [8, 5, 0], 3.13.af_s_adn 
(-5, 18, -65), [8, 5, 0], 3.13.af_s_acn 
(-5, 18, -39), [8, 5, 0], 3.13.af_s_abn 
(-5, 20, -91), [8, 7, 0], 3.13.af_u_adn 
(-5, 20, -65), [8, 7, 0], 3.13.af_u_acn 
(-5, 20, -39), [8, 7, 0], 3.13.af_u_abn 
(-5, 22, -117), [8, 9, 0], 3.13.af_w_aen 
(-5, 22, -91), [8, 9, 0], 3.13.af_w_adn 
(-5, 22, -65), [8, 9, 0], 3.13.af_w_acn 
(-5, 24, -117), [8, 11, 0], 3.13.af_y_aen 
(-5, 24, -91), [8, 11, 0], 3.13.af_y_adn 
(-5, 24, -65), [8, 11, 0], 3.13.af_y_acn 
(-5, 28, -117), [8, 2, 0], 3.13.af_bc_aen 
(-5, 30, -91), [8, 4, 0], 3.13.af_be_adn 
(-5, 32, -117), [8, 6, 0], 3.13.af_bg_aen 
(-5, 34, -117), [8, 8, 0], 3.13.af_bi_aen 
(-5, 36, -117), [8, 10, 0], 3.13.af_bk_aen 
(-5, 38, -117), [8, 12, 0], 3.13.af_bm_aen 
(-5, 40, -117), [8, 1, 0], 3.13.af_bo_aen 
(-4, -11, 91), [9, 2, 0], 3.13.ae_al_dn 
(-4, -11, 117), [9, 2, 0], 3.13.ae_al_en 
(-4, -10, 91), [9, 3, 0], 3.13.ae_ak_dn 
(-4, -10, 117), [9, 3, 0], 3.13.ae_ak_en 
(-4, -8, 91), [9, 5, 0], 3.13.ae_ai_dn 
(-4, -7, 91), [9, 6, 0], 3.13.ae_ah_dn 
(-4, -6, 65), [9, 7, 0], 3.13.ae_ag_cn 
(-4, -6, 91), [9, 7, 0], 3.13.ae_ag_dn 
(-4, -4, 65), [9, 9, 0], 3.13.ae_ae_cn 
(-4, -2, 39), [9, 11, 0], 3.13.ae_ac_bn 
(-4, -2, 65), [9, 11, 0], 3.13.ae_ac_cn 
(-4, 2, 13), [9, 2, 0], 3.13.ae_c_n 
(-4, 2, 39), [9, 2, 0], 3.13.ae_c_bn 
(-4, 4, -13), [9, 4, 0], 3.13.ae_e_an 
(-4, 4, 13), [9, 4, 0], 3.13.ae_e_n 
(-4, 4, 39), [9, 4, 0], 3.13.ae_e_bn 
