(-17, 139, -692), [15, 11, 12], 3.16.ar_fj_abaq 
(-16, 125, -612), [0, 13, 12], 3.16.aq_ev_axo 
(-16, 127, -628), [0, 15, 12], 3.16.aq_ex_aye 
(-15, 109, -516), [1, 13, 12], 3.16.ap_ef_atw 
(-15, 111, -532), [1, 15, 12], 3.16.ap_eh_aum 
(-15, 113, -548), [1, 1, 12], 3.16.ap_ej_avc 
(-15, 113, -544), [1, 1, 0], 3.16.ap_ej_auy 
(-15, 115, -564), [1, 3, 12], 3.16.ap_el_avs 
(-15, 115, -560), [1, 3, 0], 3.16.ap_el_avo 
(-15, 117, -576), [1, 5, 0], 3.16.ap_en_awe 
(-15, 117, -572), [1, 5, 4], 3.16.ap_en_awa 
(-15, 119, -584), [1, 7, 8], 3.16.ap_ep_awm 
(-14, 95, -436), [2, 15, 12], 3.16.ao_dr_aqu 
(-14, 99, -468), [2, 3, 12], 3.16.ao_dv_asa 
(-14, 101, -480), [2, 5, 0], 3.16.ao_dx_asm 
(-14, 103, -496), [2, 7, 0], 3.16.ao_dz_atc 
(-14, 103, -492), [2, 7, 4], 3.16.ao_dz_asy 
(-14, 105, -512), [2, 9, 0], 3.16.ao_eb_ats 
(-14, 107, -520), [2, 11, 8], 3.16.ao_ed_aua 
(-14, 107, -516), [2, 11, 12], 3.16.ao_ed_atw 
(-13, 77, -324), [3, 13, 12], 3.16.an_cz_amm 
(-13, 79, -340), [3, 15, 12], 3.16.an_db_anc 
(-13, 81, -356), [3, 1, 12], 3.16.an_dd_ans 
(-13, 83, -372), [3, 3, 12], 3.16.an_df_aoi 
(-13, 83, -368), [3, 3, 0], 3.16.an_df_aoe 
(-13, 85, -388), [3, 5, 12], 3.16.an_dh_aoy 
(-13, 85, -384), [3, 5, 0], 3.16.an_dh_aou 
(-13, 87, -404), [3, 7, 12], 3.16.an_dj_apo 
(-13, 87, -400), [3, 7, 0], 3.16.an_dj_apk 
(-13, 87, -396), [3, 7, 4], 3.16.an_dj_apg 
(-13, 89, -420), [3, 9, 12], 3.16.an_dl_aqe 
(-13, 89, -412), [3, 9, 4], 3.16.an_dl_apw 
(-13, 89, -408), [3, 9, 8], 3.16.an_dl_aps 
(-13, 91, -436), [3, 11, 12], 3.16.an_dn_aqu 
(-13, 91, -432), [3, 11, 0], 3.16.an_dn_aqq 
(-13, 91, -428), [3, 11, 4], 3.16.an_dn_aqm 
(-13, 91, -424), [3, 11, 8], 3.16.an_dn_aqi 
(-13, 93, -448), [3, 13, 0], 3.16.an_dp_arg 
(-13, 93, -444), [3, 13, 4], 3.16.an_dp_arc 
(-13, 93, -440), [3, 13, 8], 3.16.an_dp_aqy 
(-13, 93, -436), [3, 13, 12], 3.16.an_dp_aqu 
(-13, 95, -464), [3, 15, 0], 3.16.an_dr_arw 
(-13, 95, -456), [3, 15, 8], 3.16.an_dr_aro 
(-13, 95, -452), [3, 15, 12], 3.16.an_dr_ark 
(-13, 95, -448), [3, 15, 0], 3.16.an_dr_arg 
(-13, 97, -464), [3, 1, 0], 3.16.an_dt_arw 
(-13, 97, -460), [3, 1, 4], 3.16.an_dt_ars 
(-13, 99, -472), [3, 3, 8], 3.16.an_dv_ase 
(-12, 73, -324), [4, 9, 12], 3.16.am_cv_amm 
