(-18, 150, -765), [16, 14, 0], 3.17.as_fu_abdl 
(-17, 142, -731), [0, 6, 0], 3.17.ar_fm_abcd 
(-16, 126, -629), [1, 7, 0], 3.17.aq_ew_ayf 
(-16, 130, -663), [1, 11, 0], 3.17.aq_fa_azn 
(-15, 105, -493), [2, 3, 0], 3.17.ap_eb_asz 
(-15, 114, -561), [2, 12, 0], 3.17.ap_ek_avp 
(-15, 115, -578), [2, 13, 0], 3.17.ap_el_awg 
(-15, 116, -578), [2, 14, 0], 3.17.ap_em_awg 
(-14, 106, -527), [3, 4, 0], 3.17.ao_ec_auh 
(-14, 107, -544), [3, 5, 0], 3.17.ao_ed_auy 
(-13, 78, -340), [4, 10, 0], 3.17.an_da_anc 
(-13, 80, -357), [4, 12, 0], 3.17.an_dc_ant 
(-13, 82, -374), [4, 14, 0], 3.17.an_de_aok 
(-13, 90, -425), [4, 5, 0], 3.17.an_dm_aqj 
(-13, 94, -459), [4, 9, 0], 3.17.an_dq_arr 
(-13, 100, -493), [4, 15, 0], 3.17.an_dw_asz 
(-12, 64, -255), [5, 13, 0], 3.17.am_cm_ajv 
(-12, 72, -323), [5, 4, 0], 3.17.am_cu_aml 
(-12, 76, -357), [5, 8, 0], 3.17.am_cy_ant 
(-12, 78, -357), [5, 10, 0], 3.17.am_da_ant 
(-12, 80, -391), [5, 12, 0], 3.17.am_dc_apb 
(-12, 82, -391), [5, 14, 0], 3.17.am_de_apb 
(-12, 84, -391), [5, 16, 0], 3.17.am_dg_apb 
(-12, 86, -425), [5, 1, 0], 3.17.am_di_aqj 
(-12, 88, -425), [5, 3, 0], 3.17.am_dk_aqj 
(-12, 96, -459), [5, 11, 0], 3.17.am_ds_arr 
(-11, 47, -153), [6, 13, 0], 3.17.al_bv_afx 
(-11, 52, -187), [6, 1, 0], 3.17.al_ca_ahf 
(-11, 56, -221), [6, 5, 0], 3.17.al_ce_ain 
(-11, 60, -255), [6, 9, 0], 3.17.al_ci_ajv 
(-11, 66, -289), [6, 15, 0], 3.17.al_co_ald 
(-11, 70, -323), [6, 2, 0], 3.17.al_cs_aml 
(-11, 72, -357), [6, 4, 0], 3.17.al_cu_ant 
(-11, 72, -323), [6, 4, 0], 3.17.al_cu_aml 
(-11, 74, -357), [6, 6, 0], 3.17.al_cw_ant 
(-11, 75, -340), [6, 7, 0], 3.17.al_cx_anc 
(-11, 76, -357), [6, 8, 0], 3.17.al_cy_ant 
(-11, 78, -357), [6, 10, 0], 3.17.al_da_ant 
(-11, 80, -391), [6, 12, 0], 3.17.al_dc_apb 
(-11, 82, -391), [6, 14, 0], 3.17.al_de_apb 
