(-18, 151, -798), [1, 18, 0], 3.19.as_fv_abes 
(-18, 158, -855), [1, 6, 0], 3.19.as_gc_abgx 
(-18, 161, -874), [1, 9, 0], 3.19.as_gf_abhq 
(-17, 136, -703), [2, 3, 0], 3.19.ar_fg_abbb 
(-17, 138, -722), [2, 5, 0], 3.19.ar_fi_abbu 
(-16, 128, -665), [3, 14, 0], 3.19.aq_ey_azp 
(-16, 132, -703), [3, 18, 0], 3.19.aq_fc_abbb 
(-15, 110, -551), [4, 15, 0], 3.19.ap_eg_avf 
(-15, 120, -627), [4, 6, 0], 3.19.ap_eq_ayd 
(-14, 88, -399), [5, 12, 0], 3.19.ao_dk_apj 
(-14, 90, -418), [5, 14, 0], 3.19.ao_dm_aqc 
(-14, 98, -475), [5, 3, 0], 3.19.ao_du_ash 
(-14, 102, -513), [5, 7, 0], 3.19.ao_dy_att 
(-14, 106, -551), [5, 11, 0], 3.19.ao_ec_avf 
(-14, 108, -551), [5, 13, 0], 3.19.ao_ee_avf 
(-14, 110, -589), [5, 15, 0], 3.19.ao_eg_awr 
(-14, 112, -589), [5, 17, 0], 3.19.ao_ei_awr 
(-13, 66, -247), [6, 9, 0], 3.19.an_co_ajn 
(-13, 83, -380), [6, 7, 0], 3.19.an_df_aoq 
(-13, 84, -399), [6, 8, 0], 3.19.an_dg_apj 
(-13, 88, -437), [6, 12, 0], 3.19.an_dk_aqv 
(-13, 90, -456), [6, 14, 0], 3.19.an_dm_aro 
(-13, 90, -437), [6, 14, 0], 3.19.an_dm_aqv 
(-13, 94, -475), [6, 18, 0], 3.19.an_dq_ash 
(-13, 96, -475), [6, 1, 0], 3.19.an_ds_ash 
(-13, 98, -513), [6, 3, 0], 3.19.an_du_att 
(-13, 100, -513), [6, 5, 0], 3.19.an_dw_att 
(-13, 102, -513), [6, 7, 0], 3.19.an_dy_att 
(-13, 105, -532), [6, 10, 0], 3.19.an_eb_aum 
(-13, 107, -551), [6, 12, 0], 3.19.an_ed_avf 
(-13, 108, -551), [6, 13, 0], 3.19.an_ee_avf 
(-12, 58, -209), [7, 1, 0], 3.19.am_cg_aib 
(-12, 62, -247), [7, 5, 0], 3.19.am_ck_ajn 
(-12, 66, -285), [7, 9, 0], 3.19.am_co_akz 
(-12, 72, -323), [7, 15, 0], 3.19.am_cu_aml 
(-12, 78, -361), [7, 2, 0], 3.19.am_da_anx 
(-12, 80, -399), [7, 4, 0], 3.19.am_dc_apj 
(-12, 82, -399), [7, 6, 0], 3.19.am_de_apj 
(-12, 84, -437), [7, 8, 0], 3.19.am_dg_aqv 
(-12, 84, -399), [7, 8, 0], 3.19.am_dg_apj 
(-12, 86, -437), [7, 10, 0], 3.19.am_di_aqv 
(-12, 88, -475), [7, 12, 0], 3.19.am_dk_ash 
(-12, 88, -437), [7, 12, 0], 3.19.am_dk_aqv 
(-12, 90, -475), [7, 14, 0], 3.19.am_dm_ash 
(-12, 92, -475), [7, 16, 0], 3.19.am_do_ash 
(-12, 94, -475), [7, 18, 0], 3.19.am_dq_ash 
(-12, 96, -475), [7, 1, 0], 3.19.am_ds_ash 
(-12, 99, -494), [7, 4, 0], 3.19.am_dv_ata 
(-11, 29, 0), [8, 10, 0], 3.19.al_bd_a 
(-11, 40, -95), [8, 2, 0], 3.19.al_bo_adr 
(-11, 50, -171), [8, 12, 0], 3.19.al_by_agp 
(-11, 54, -209), [8, 16, 0], 3.19.al_cc_aib 
(-11, 58, -247), [8, 1, 0], 3.19.al_cg_ajn 
(-11, 60, -247), [8, 3, 0], 3.19.al_ci_ajn 
(-11, 62, -285), [8, 5, 0], 3.19.al_ck_akz 
(-11, 64, -285), [8, 7, 0], 3.19.al_cm_akz 
(-11, 66, -323), [8, 9, 0], 3.19.al_co_aml 
(-11, 70, -323), [8, 13, 0], 3.19.al_cs_aml 
(-11, 72, -361), [8, 15, 0], 3.19.al_cu_anx 
(-11, 74, -361), [8, 17, 0], 3.19.al_cw_anx 
(-11, 78, -399), [8, 2, 0], 3.19.al_da_apj 
(-11, 80, -399), [8, 4, 0], 3.19.al_dc_apj 
(-11, 82, -399), [8, 6, 0], 3.19.al_de_apj 
(-11, 84, -437), [8, 8, 0], 3.19.al_dg_aqv 
(-11, 88, -437), [8, 12, 0], 3.19.al_dk_aqv 
(-11, 90, -437), [8, 14, 0], 3.19.al_dm_aqv 
(-10, 23, 19), [9, 4, 0], 3.19.ak_x_t 
(-10, 32, -57), [9, 13, 0], 3.19.ak_bg_acf 
(-10, 36, -95), [9, 17, 0], 3.19.ak_bk_adr 
(-10, 40, -133), [9, 2, 0], 3.19.ak_bo_afd 
(-10, 42, -133), [9, 4, 0], 3.19.ak_bq_afd 
(-10, 46, -171), [9, 8, 0], 3.19.ak_bu_agp 
(-10, 48, -171), [9, 10, 0], 3.19.ak_bw_agp 
(-10, 50, -209), [9, 12, 0], 3.19.ak_by_aib 
(-10, 52, -209), [9, 14, 0], 3.19.ak_ca_aib 
(-10, 54, -247), [9, 16, 0], 3.19.ak_cc_ajn 
(-10, 56, -247), [9, 18, 0], 3.19.ak_ce_ajn 
(-10, 58, -285), [9, 1, 0], 3.19.ak_cg_akz 
(-10, 58, -247), [9, 1, 0], 3.19.ak_cg_ajn 
(-10, 60, -285), [9, 3, 0], 3.19.ak_ci_akz 
