(-22, 224, -1357), [1, 17, 0], 3.23.aw_iq_acaf 
(-21, 210, -1265), [2, 3, 0], 3.23.av_ic_abwr 
(-20, 196, -1173), [3, 12, 0], 3.23.au_ho_abtd 
(-19, 169, -966), [4, 8, 0], 3.23.at_gn_able 
(-18, 162, -943), [5, 1, 0], 3.23.as_gg_abkh 
(-18, 163, -943), [5, 2, 0], 3.23.as_gh_abkh 
(-18, 166, -966), [5, 5, 0], 3.23.as_gk_able 
(-18, 168, -989), [5, 7, 0], 3.23.as_gm_abmb 
(-17, 148, -851), [6, 10, 0], 3.23.ar_fs_abgt 
(-17, 150, -874), [6, 12, 0], 3.23.ar_fu_abhq 
(-17, 154, -897), [6, 16, 0], 3.23.ar_fy_abin 
(-16, 114, -575), [7, 22, 0], 3.23.aq_ek_awd 
(-16, 124, -667), [7, 9, 0], 3.23.aq_eu_azr 
(-16, 130, -713), [7, 15, 0], 3.23.aq_fa_abbl 
(-16, 134, -759), [7, 19, 0], 3.23.aq_fe_abdf 
(-16, 140, -805), [7, 2, 0], 3.23.aq_fk_abez 
(-16, 146, -851), [7, 8, 0], 3.23.aq_fq_abgt 
(-16, 148, -851), [7, 10, 0], 3.23.aq_fs_abgt 
(-15, 97, -460), [8, 5, 0], 3.23.ap_dt_ars 
(-15, 110, -575), [8, 18, 0], 3.23.ap_eg_awd 
(-15, 114, -621), [8, 22, 0], 3.23.ap_ek_axx 
(-15, 116, -621), [8, 1, 0], 3.23.ap_em_axx 
(-15, 120, -667), [8, 5, 0], 3.23.ap_eq_azr 
(-15, 122, -667), [8, 7, 0], 3.23.ap_es_azr 
(-15, 124, -713), [8, 9, 0], 3.23.ap_eu_abbl 
(-15, 126, -713), [8, 11, 0], 3.23.ap_ew_abbl 
(-15, 128, -713), [8, 13, 0], 3.23.ap_ey_abbl 
(-15, 130, -759), [8, 15, 0], 3.23.ap_fa_abdf 
(-15, 132, -759), [8, 17, 0], 3.23.ap_fc_abdf 
(-15, 134, -759), [8, 19, 0], 3.23.ap_fe_abdf 
(-14, 78, -322), [9, 9, 0], 3.23.ao_da_amk 
(-14, 86, -391), [9, 17, 0], 3.23.ao_di_apb 
(-14, 90, -437), [9, 21, 0], 3.23.ao_dm_aqv 
(-14, 96, -483), [9, 4, 0], 3.23.ao_ds_asp 
(-14, 100, -529), [9, 8, 0], 3.23.ao_dw_auj 
(-14, 102, -529), [9, 10, 0], 3.23.ao_dy_auj 
(-14, 106, -575), [9, 14, 0], 3.23.ao_ec_awd 
(-14, 108, -575), [9, 16, 0], 3.23.ao_ee_awd 
(-14, 110, -621), [9, 18, 0], 3.23.ao_eg_axx 
(-14, 112, -621), [9, 20, 0], 3.23.ao_ei_axx 
(-14, 114, -667), [9, 22, 0], 3.23.ao_ek_azr 
(-14, 114, -621), [9, 22, 0], 3.23.ao_ek_axx 
(-14, 116, -667), [9, 1, 0], 3.23.ao_em_azr 
(-14, 118, -667), [9, 3, 0], 3.23.ao_eo_azr 
(-14, 120, -667), [9, 5, 0], 3.23.ao_eq_azr 
(-14, 121, -667), [9, 6, 0], 3.23.ao_er_azr 
(-14, 126, -713), [9, 11, 0], 3.23.ao_ew_abbl 
(-14, 128, -713), [9, 13, 0], 3.23.ao_ey_abbl 
(-13, 49, -92), [10, 3, 0], 3.23.an_bx_ado 
(-13, 66, -253), [10, 20, 0], 3.23.an_co_ajt 
(-13, 72, -299), [10, 3, 0], 3.23.an_cu_aln 
(-13, 76, -345), [10, 7, 0], 3.23.an_cy_anh 
(-13, 86, -437), [10, 17, 0], 3.23.an_di_aqv 
(-13, 90, -483), [10, 21, 0], 3.23.an_dm_asp 
(-13, 94, -483), [10, 2, 0], 3.23.an_dq_asp 
(-13, 96, -529), [10, 4, 0], 3.23.an_ds_auj 
(-13, 98, -529), [10, 6, 0], 3.23.an_du_auj 
(-13, 100, -575), [10, 8, 0], 3.23.an_dw_awd 
(-13, 100, -529), [10, 8, 0], 3.23.an_dw_auj 
(-13, 102, -575), [10, 10, 0], 3.23.an_dy_awd 
(-13, 104, -575), [10, 12, 0], 3.23.an_ea_awd 
(-13, 106, -621), [10, 14, 0], 3.23.an_ec_axx 
(-13, 106, -575), [10, 14, 0], 3.23.an_ec_awd 
(-13, 108, -621), [10, 16, 0], 3.23.an_ee_axx 
(-13, 110, -621), [10, 18, 0], 3.23.an_eg_axx 
(-13, 112, -621), [10, 20, 0], 3.23.an_ei_axx 
(-13, 114, -621), [10, 22, 0], 3.23.an_ek_axx 
(-12, 37, -23), [11, 14, 0], 3.23.am_bl_ax 
(-12, 42, -69), [11, 19, 0], 3.23.am_bq_acr 
(-12, 52, -161), [11, 6, 0], 3.23.am_ca_agf 
(-12, 58, -207), [11, 12, 0], 3.23.am_cg_ahz 
(-12, 62, -253), [11, 16, 0], 3.23.am_ck_ajt 
(-12, 66, -299), [11, 20, 0], 3.23.am_co_aln 
(-12, 68, -299), [11, 22, 0], 3.23.am_cq_aln 
(-12, 72, -345), [11, 3, 0], 3.23.am_cu_anh 
(-12, 74, -345), [11, 5, 0], 3.23.am_cw_anh 
(-12, 76, -391), [11, 7, 0], 3.23.am_cy_apb 
(-12, 78, -391), [11, 9, 0], 3.23.am_da_apb 
(-12, 80, -391), [11, 11, 0], 3.23.am_dc_apb 
(-12, 82, -437), [11, 13, 0], 3.23.am_de_aqv 
(-12, 84, -437), [11, 15, 0], 3.23.am_dg_aqv 
(-12, 86, -483), [11, 17, 0], 3.23.am_di_asp 
(-12, 86, -437), [11, 17, 0], 3.23.am_di_aqv 
(-12, 88, -483), [11, 19, 0], 3.23.am_dk_asp 
(-12, 90, -529), [11, 21, 0], 3.23.am_dm_auj 
(-12, 90, -483), [11, 21, 0], 3.23.am_dm_asp 
(-12, 94, -529), [11, 2, 0], 3.23.am_dq_auj 
(-12, 94, -483), [11, 2, 0], 3.23.am_dq_asp 
(-12, 96, -529), [11, 4, 0], 3.23.am_ds_auj 
(-12, 98, -529), [11, 6, 0], 3.23.am_du_auj 
(-12, 100, -529), [11, 8, 0], 3.23.am_dw_auj 
(-12, 102, -575), [11, 10, 0], 3.23.am_dy_awd 
(-12, 104, -575), [11, 12, 0], 3.23.am_ea_awd 
(-12, 106, -575), [11, 14, 0], 3.23.am_ec_awd 
