(-23, 247, -1565), [1, 3, 3], 3.25.ax_jn_acif 
(-22, 229, -1435), [2, 1, 1], 3.25.aw_iv_acdf 
(-22, 232, -1465), [2, 0, 3], 3.25.aw_iy_acej 
(-22, 233, -1470), [2, 1, 2], 3.25.aw_iz_aceo 
(-21, 209, -1285), [3, 1, 3], 3.25.av_ib_abxl 
(-21, 211, -1305), [3, 3, 3], 3.25.av_id_abyf 
(-21, 212, -1315), [3, 0, 1], 3.25.av_ie_abyp 
(-21, 214, -1335), [3, 2, 1], 3.25.av_ig_abzj 
(-21, 217, -1355), [3, 1, 1], 3.25.av_ij_acad 
(-20, 192, -1165), [0, 0, 3], 3.25.au_hk_absv 
(-20, 194, -1185), [0, 2, 3], 3.25.au_hm_abtp 
(-20, 196, -1205), [0, 0, 3], 3.25.au_ho_abuj 
(-20, 197, -1215), [0, 1, 1], 3.25.au_hp_abut 
(-20, 197, -1210), [0, 1, 2], 3.25.au_hp_abuo 
(-20, 198, -1220), [0, 2, 0], 3.25.au_hq_abuy 
(-20, 198, -1215), [0, 2, 1], 3.25.au_hq_abut 
(-20, 199, -1235), [0, 3, 1], 3.25.au_hr_abvn 
(-20, 199, -1230), [0, 3, 2], 3.25.au_hr_abvi 
(-20, 202, -1255), [0, 2, 1], 3.25.au_hu_abwh 
(-20, 204, -1265), [0, 0, 3], 3.25.au_hw_abwr 
(-19, 172, -1015), [1, 0, 1], 3.25.at_gq_abnb 
(-19, 174, -1035), [1, 2, 1], 3.25.at_gs_abnv 
(-19, 176, -1055), [1, 0, 1], 3.25.at_gu_abop 
(-19, 177, -1060), [1, 1, 0], 3.25.at_gv_abou 
(-19, 179, -1085), [1, 3, 3], 3.25.at_gx_abpt 
(-19, 179, -1080), [1, 3, 0], 3.25.at_gx_abpo 
(-19, 181, -1105), [1, 1, 3], 3.25.at_gz_abqn 
(-19, 182, -1115), [1, 2, 1], 3.25.at_ha_abqx 
(-19, 182, -1110), [1, 2, 2], 3.25.at_ha_abqs 
(-19, 183, -1115), [1, 3, 1], 3.25.at_hb_abqx 
(-19, 184, -1135), [1, 0, 1], 3.25.at_hc_abrr 
(-19, 184, -1130), [1, 0, 2], 3.25.at_hc_abrm 
(-19, 184, -1120), [1, 0, 0], 3.25.at_hc_abrc 
(-19, 186, -1145), [1, 2, 3], 3.25.at_he_absb 
(-19, 186, -1135), [1, 2, 1], 3.25.at_he_abrr 
(-19, 187, -1145), [1, 3, 3], 3.25.at_hf_absb 
(-19, 188, -1155), [1, 0, 1], 3.25.at_hg_absl 
(-19, 189, -1165), [1, 1, 3], 3.25.at_hh_absv 
(-18, 152, -865), [2, 0, 3], 3.25.as_fw_abhh 
(-18, 154, -885), [2, 2, 3], 3.25.as_fy_abib 
(-18, 156, -905), [2, 0, 3], 3.25.as_ga_abiv 
(-18, 157, -915), [2, 1, 1], 3.25.as_gb_abjf 
(-18, 157, -910), [2, 1, 2], 3.25.as_gb_abja 
(-18, 158, -920), [2, 2, 0], 3.25.as_gc_abjk 
(-18, 159, -935), [2, 3, 1], 3.25.as_gd_abjz 
(-18, 159, -930), [2, 3, 2], 3.25.as_gd_abju 
(-18, 162, -965), [2, 2, 3], 3.25.as_gg_abld 
(-18, 162, -955), [2, 2, 1], 3.25.as_gg_abkt 
(-18, 163, -970), [2, 3, 2], 3.25.as_gh_abli 
(-18, 163, -965), [2, 3, 3], 3.25.as_gh_abld 
(-18, 164, -985), [2, 0, 3], 3.25.as_gi_ablx 
(-18, 164, -980), [2, 0, 0], 3.25.as_gi_abls 
(-18, 166, -1005), [2, 2, 3], 3.25.as_gk_abmr 
(-18, 166, -995), [2, 2, 1], 3.25.as_gk_abmh 
(-18, 168, -1015), [2, 0, 1], 3.25.as_gm_abnb 
