(-4, 10, -21), [2, 1, 0], 3.3.ae_k_av 
(-2, -2, 9), [1, 1, 0], 3.3.ac_ac_j 
(-2, -1, 6), [1, 2, 0], 3.3.ac_ab_g 
(-2, 2, -3), [1, 2, 0], 3.3.ac_c_ad 
(-2, 4, -9), [1, 1, 0], 3.3.ac_e_aj 
(-2, 4, -3), [1, 1, 0], 3.3.ac_e_ad 
(-1, -2, 3), [2, 1, 0], 3.3.ab_ac_d 
(-1, -1, 9), [2, 2, 0], 3.3.ab_ab_j 
(-1, 2, -9), [2, 2, 0], 3.3.ab_c_aj 
(-1, 2, 3), [2, 2, 0], 3.3.ab_c_d 
(-1, 4, -3), [2, 1, 0], 3.3.ab_e_ad 
(0, -2, -3), [0, 1, 0], 3.3.a_ac_ad 
(0, -2, 3), [0, 1, 0], 3.3.a_ac_d 
(0, -1, -6), [0, 2, 0], 3.3.a_ab_ag 
(0, -1, 6), [0, 2, 0], 3.3.a_ab_g 
(0, 2, -3), [0, 2, 0], 3.3.a_c_ad 
(0, 2, 3), [0, 2, 0], 3.3.a_c_d 
(0, 4, -3), [0, 1, 0], 3.3.a_e_ad 
(0, 4, 3), [0, 1, 0], 3.3.a_e_d 
(1, -2, -3), [1, 1, 0], 3.3.b_ac_ad 
(1, -1, -9), [1, 2, 0], 3.3.b_ab_aj 
(1, 2, -3), [1, 2, 0], 3.3.b_c_ad 
(1, 2, 9), [1, 2, 0], 3.3.b_c_j 
(1, 4, 3), [1, 1, 0], 3.3.b_e_d 
(2, -2, -9), [2, 1, 0], 3.3.c_ac_aj 
(2, -1, -6), [2, 2, 0], 3.3.c_ab_ag 
(2, 2, 3), [2, 2, 0], 3.3.c_c_d 
(2, 4, 3), [2, 1, 0], 3.3.c_e_d 
(2, 4, 9), [2, 1, 0], 3.3.c_e_j 
(4, 10, 21), [1, 1, 0], 3.3.e_k_v 
