(-8, 32, -85), [0, 0, 3], 3.5.ai_bg_adh 
(-7, 23, -55), [1, 3, 1], 3.5.ah_x_acd 
(-7, 28, -75), [1, 0, 1], 3.5.ah_bc_acx 
(-6, 22, -55), [2, 2, 1], 3.5.ag_w_acd 
(-5, 12, -25), [3, 0, 3], 3.5.af_m_az 
(-5, 17, -45), [3, 1, 3], 3.5.af_r_abt 
(-5, 18, -45), [3, 2, 3], 3.5.af_s_abt 
(-4, 1, 15), [0, 1, 3], 3.5.ae_b_p 
(-4, 2, 10), [0, 2, 2], 3.5.ae_c_k 
(-4, 4, 0), [0, 0, 0], 3.5.ae_e_a 
(-4, 6, -5), [0, 2, 3], 3.5.ae_g_af 
(-4, 8, -15), [0, 0, 1], 3.5.ae_i_ap 
(-4, 12, -35), [0, 0, 1], 3.5.ae_m_abj 
(-4, 12, -25), [0, 0, 3], 3.5.ae_m_az 
(-4, 14, -35), [0, 2, 1], 3.5.ae_o_abj 
(-4, 16, -35), [0, 0, 1], 3.5.ae_q_abj 
(-3, -3, 25), [1, 1, 1], 3.5.ad_ad_z 
(-3, -1, 15), [1, 3, 3], 3.5.ad_ab_p 
(-3, 2, 5), [1, 2, 1], 3.5.ad_c_f 
(-3, 4, -5), [1, 0, 3], 3.5.ad_e_af 
(-3, 6, -15), [1, 2, 1], 3.5.ad_g_ap 
(-3, 6, -5), [1, 2, 3], 3.5.ad_g_af 
(-3, 8, -25), [1, 0, 3], 3.5.ad_i_az 
(-3, 8, -15), [1, 0, 1], 3.5.ad_i_ap 
(-3, 14, -25), [1, 2, 3], 3.5.ad_o_az 
(-2, -4, 20), [2, 0, 0], 3.5.ac_ae_u 
(-2, -2, 15), [2, 2, 3], 3.5.ac_ac_p 
(-2, -1, 5), [2, 3, 1], 3.5.ac_ab_f 
(-2, 2, -5), [2, 2, 3], 3.5.ac_c_af 
(-2, 2, 5), [2, 2, 1], 3.5.ac_c_f 
(-2, 3, -15), [2, 3, 1], 3.5.ac_d_ap 
(-2, 3, 5), [2, 3, 1], 3.5.ac_d_f 
(-2, 4, -15), [2, 0, 1], 3.5.ac_e_ap 
(-2, 4, -5), [2, 0, 3], 3.5.ac_e_af 
(-2, 6, -25), [2, 2, 3], 3.5.ac_g_az 
(-2, 6, -15), [2, 2, 1], 3.5.ac_g_ap 
(-2, 6, -5), [2, 2, 3], 3.5.ac_g_af 
(-2, 8, -15), [2, 0, 1], 3.5.ac_i_ap 
(-2, 12, -15), [2, 0, 1], 3.5.ac_m_ap 
(-1, -2, 5), [3, 2, 1], 3.5.ab_ac_f 
(-1, -2, 15), [3, 2, 3], 3.5.ab_ac_p 
(-1, -1, 15), [3, 3, 3], 3.5.ab_ab_p 
(-1, 2, -15), [3, 2, 1], 3.5.ab_c_ap 
(-1, 2, -5), [3, 2, 3], 3.5.ab_c_af 
(-1, 2, 5), [3, 2, 1], 3.5.ab_c_f 
(-1, 4, -15), [3, 0, 1], 3.5.ab_e_ap 
(-1, 4, -5), [3, 0, 3], 3.5.ab_e_af 
(-1, 6, -15), [3, 2, 1], 3.5.ab_g_ap 
(-1, 6, -5), [3, 2, 3], 3.5.ab_g_af 
(-1, 8, -5), [3, 0, 3], 3.5.ab_i_af 
(0, -3, -5), [0, 1, 3], 3.5.a_ad_af 
(0, -3, 5), [0, 1, 1], 3.5.a_ad_f 
(0, -2, -5), [0, 2, 3], 3.5.a_ac_af 
(0, -2, 5), [0, 2, 1], 3.5.a_ac_f 
(0, 2, -15), [0, 2, 1], 3.5.a_c_ap 
(0, 2, -5), [0, 2, 3], 3.5.a_c_af 
(0, 2, 5), [0, 2, 1], 3.5.a_c_f 
(0, 2, 15), [0, 2, 3], 3.5.a_c_p 
(0, 4, -5), [0, 0, 3], 3.5.a_e_af 
(0, 4, 5), [0, 0, 1], 3.5.a_e_f 
(0, 6, -5), [0, 2, 3], 3.5.a_g_af 
(0, 6, 5), [0, 2, 1], 3.5.a_g_f 
(0, 8, -5), [0, 0, 3], 3.5.a_i_af 
(0, 8, 5), [0, 0, 1], 3.5.a_i_f 
(1, -2, -15), [1, 2, 1], 3.5.b_ac_ap 
(1, -2, -5), [1, 2, 3], 3.5.b_ac_af 
(1, -1, -15), [1, 3, 1], 3.5.b_ab_ap 
(1, 2, -5), [1, 2, 3], 3.5.b_c_af 
(1, 2, 5), [1, 2, 1], 3.5.b_c_f 
(1, 2, 15), [1, 2, 3], 3.5.b_c_p 
(1, 4, 5), [1, 0, 1], 3.5.b_e_f 
(1, 4, 15), [1, 0, 3], 3.5.b_e_p 
(1, 6, 5), [1, 2, 1], 3.5.b_g_f 
(1, 6, 15), [1, 2, 3], 3.5.b_g_p 
(1, 8, 5), [1, 0, 1], 3.5.b_i_f 
(2, -4, -20), [2, 0, 0], 3.5.c_ae_au 
(2, -2, -15), [2, 2, 1], 3.5.c_ac_ap 
(2, -1, -5), [2, 3, 3], 3.5.c_ab_af 
(2, 2, -5), [2, 2, 3], 3.5.c_c_af 
(2, 2, 5), [2, 2, 1], 3.5.c_c_f 
(2, 3, -5), [2, 3, 3], 3.5.c_d_af 
(2, 3, 15), [2, 3, 3], 3.5.c_d_p 
(2, 4, 5), [2, 0, 1], 3.5.c_e_f 
(2, 4, 15), [2, 0, 3], 3.5.c_e_p 
(2, 6, 5), [2, 2, 1], 3.5.c_g_f 
(2, 6, 15), [2, 2, 3], 3.5.c_g_p 
(2, 6, 25), [2, 2, 1], 3.5.c_g_z 
(2, 8, 15), [2, 0, 3], 3.5.c_i_p 
(2, 12, 15), [2, 0, 3], 3.5.c_m_p 
(3, -3, -25), [3, 1, 3], 3.5.d_ad_az 
(3, -1, -15), [3, 3, 1], 3.5.d_ab_ap 
